# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  34               3.14720179E-02   1.78256150E+02   8.38209576E-01   1.60489808E-01   7.07590919E-04   4.62875584E-04   5.43000062E-05   3.25283734E-05   2.29842349E-05   1.28262613E-05  
  35               3.58151827E-02   1.85850620E+02   8.38203413E-01   1.60488628E-01   7.07590281E-04   4.62875166E-04   5.42999572E-05   3.25283440E-05   2.29840659E-05   1.28262497E-05  
  36               4.07480919E-02   1.93759068E+02   8.38185148E-01   1.60485131E-01   7.07588819E-04   4.62874210E-04   5.42998450E-05   3.25282768E-05   2.29835651E-05   1.28262232E-05  
  37               4.63459389E-02   2.01907299E+02   8.38133347E-01   1.60475213E-01   7.07585499E-04   4.62872038E-04   5.42995903E-05   3.25281242E-05   2.29821447E-05   1.28261631E-05  
  38               5.26935912E-02   2.10353720E+02   8.37674969E-01   1.60387449E-01   7.07580402E-04   4.62868704E-04   5.42991992E-05   3.25278899E-05   2.29695757E-05   1.28260707E-05  
  39               5.98844013E-02   2.19046901E+02   8.38211984E-01   1.60490269E-01   7.07766593E-04   4.62990502E-04   5.43134873E-05   3.25364492E-05   2.29843009E-05   1.28294457E-05  
  40               6.80258322E-02   2.28036239E+02   8.38211408E-01   1.60490159E-01   7.08148492E-04   4.63240324E-04   5.43427939E-05   3.25540053E-05   2.29842852E-05   1.28363682E-05  
  41               7.72423008E-02   2.37293658E+02   8.38211409E-01   1.60490159E-01   7.08147876E-04   4.63239921E-04   5.43427467E-05   3.25539770E-05   2.29842852E-05   1.28363571E-05  
  42               8.76761295E-02   2.46860289E+02   8.38211412E-01   1.60490160E-01   7.08145725E-04   4.63238514E-04   5.43425816E-05   3.25538782E-05   2.29842853E-05   1.28363181E-05  
  43               9.94828207E-02   2.56725037E+02   8.38211408E-01   1.60490159E-01   7.08148881E-04   4.63240578E-04   5.43428238E-05   3.25540232E-05   2.29842851E-05   1.28363753E-05  
  44               1.12837015E-01   2.66910364E+02   8.38211408E-01   1.60490159E-01   7.08148878E-04   4.63240577E-04   5.43428236E-05   3.25540231E-05   2.29842851E-05   1.28363752E-05  
  45               1.27939142E-01   2.77425165E+02   8.38211408E-01   1.60490159E-01   7.08148853E-04   4.63240560E-04   5.43428217E-05   3.25540220E-05   2.29842851E-05   1.28363748E-05  
  46               1.45009310E-01   2.88276125E+02   8.38211408E-01   1.60490159E-01   7.08148885E-04   4.63240581E-04   5.43428241E-05   3.25540234E-05   2.29842851E-05   1.28363754E-05  
  47               1.64301545E-01   2.99485571E+02   8.38211408E-01   1.60490159E-01   7.08148887E-04   4.63240582E-04   5.43428242E-05   3.25540235E-05   2.29842851E-05   1.28363754E-05  
  48               1.86103556E-01   3.11053663E+02   8.38211407E-01   1.60490159E-01   7.08148888E-04   4.63240583E-04   5.43428243E-05   3.25540235E-05   2.29842851E-05   1.28363754E-05  
  49               2.10734795E-01   3.23016967E+02   8.38211407E-01   1.60490159E-01   7.08148891E-04   4.63240585E-04   5.43428246E-05   3.25540237E-05   2.29842851E-05   1.28363755E-05  
  50               2.38551035E-01   3.35366062E+02   8.38211407E-01   1.60490159E-01   7.08148892E-04   4.63240586E-04   5.43428247E-05   3.25540237E-05   2.29842851E-05   1.28363755E-05  
  51               2.69942329E-01   3.48143888E+02   8.38211407E-01   1.60490159E-01   7.08148906E-04   4.63240595E-04   5.43428257E-05   3.25540244E-05   2.29842851E-05   1.28363757E-05  
  52               3.05350509E-01   3.61327569E+02   8.38211389E-01   1.60490155E-01   7.08148884E-04   4.63240580E-04   5.43428240E-05   3.25540234E-05   2.29842846E-05   1.28363753E-05  
  53               3.45268184E-01   3.74967262E+02   8.38211390E-01   1.60490153E-01   7.08149441E-04   4.63240945E-04   5.43428668E-05   3.25540490E-05   2.29842843E-05   1.28363854E-05  
  54               3.90230753E-01   3.89026290E+02   8.38211391E-01   1.60490153E-01   7.08149442E-04   4.63240946E-04   5.43428669E-05   3.25540490E-05   2.29842842E-05   1.28363855E-05  
  55               4.40823855E-01   4.03561477E+02   8.38211392E-01   1.60490151E-01   7.08149442E-04   4.63240945E-04   5.43428668E-05   3.25540490E-05   2.29842840E-05   1.28363855E-05  
  56               4.97699220E-01   4.18530876E+02   8.38211055E-01   1.60490083E-01   7.08149439E-04   4.63240944E-04   5.43428666E-05   3.25540489E-05   2.29842743E-05   1.28363854E-05  
