# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   7.17866945E+01   8.38373236E-01   1.60521144E-01   4.98867641E-04   2.54187642E-04   2.62489707E-04   3.16410400E-109  5.82104853E-05   2.29887867E-05  
  2                1.17175486E-04   9.56583980E+01   8.38274773E-01   1.60502292E-01   4.98809444E-04   2.54157989E-04   2.62459086E-04   9.24232815E-110  5.82036946E-05   2.29860868E-05  
  3                2.29299467E-04   1.11139316E+02   8.38373129E-01   1.60521124E-01   4.98926432E-04   2.54217598E-04   2.62520642E-04   1.44572795E-98   5.82173454E-05   2.29887838E-05  
  4                3.54142686E-04   1.23287332E+02   8.38373128E-01   1.60521124E-01   4.98926753E-04   2.54217762E-04   2.62520810E-04   1.26206909E-88   5.82173828E-05   2.29887838E-05  
  5                4.95966951E-04   1.32875056E+02   8.38373122E-01   1.60521123E-01   4.98926752E-04   2.54217761E-04   2.62520810E-04   4.52247033E-82   5.82173827E-05   2.29887836E-05  
  6                6.58550585E-04   1.41847390E+02   8.38373078E-01   1.60521114E-01   4.98926723E-04   2.54217746E-04   2.62520795E-04   9.68654993E-77   5.82173793E-05   2.29887824E-05  
  7                8.45840711E-04   1.49868550E+02   8.38372830E-01   1.60521067E-01   4.98926536E-04   2.54217651E-04   2.62520696E-04   1.61142411E-72   5.82173575E-05   2.29887756E-05  
  8                1.06231078E-03   1.57791555E+02   8.38371951E-01   1.60520898E-01   4.98926093E-04   2.54217425E-04   2.62520463E-04   9.01865311E-69   5.82173058E-05   2.29887515E-05  
  9                1.31319176E-03   1.64904058E+02   8.38368393E-01   1.60520217E-01   4.98923738E-04   2.54216226E-04   2.62519224E-04   1.01868426E-65   5.82170311E-05   2.29886539E-05  
  10               1.60449850E-03   1.72369764E+02   8.38359082E-01   1.60518434E-01   4.98920435E-04   2.54214542E-04   2.62517486E-04   8.76986046E-63   5.82166456E-05   2.29883986E-05  
  11               1.94304410E-03   1.79262524E+02   8.38328696E-01   1.60512616E-01   4.98823586E-04   2.54165195E-04   2.62466527E-04   2.70176918E-60   5.82053448E-05   2.29875654E-05  
  12               2.33670896E-03   1.86600037E+02   8.38260508E-01   1.60499561E-01   4.98966057E-04   2.54237788E-04   2.62541491E-04   7.59009206E-58   5.82219690E-05   2.29856956E-05  
  13               2.79436082E-03   1.93561333E+02   8.37894899E-01   1.60429558E-01   4.98777338E-04   2.54141631E-04   2.62442193E-04   1.06764440E-55   5.81999484E-05   2.29756704E-05  
  14               3.32661404E-03   2.01144786E+02   8.38372420E-01   1.60520988E-01   4.99317241E-04   2.54416727E-04   2.62726274E-04   1.59157695E-53   5.82629470E-05   2.29887644E-05  
  15               3.94577992E-03   2.08224760E+02   8.38372415E-01   1.60520987E-01   4.99319992E-04   2.54418129E-04   2.62727722E-04   1.21329039E-51   5.82632681E-05   2.29887642E-05  
  16               4.66596529E-03   2.15783149E+02   8.38372415E-01   1.60520987E-01   4.99319992E-04   2.54418128E-04   2.62727722E-04   9.07616611E-50   5.82632680E-05   2.29887642E-05  
  17               5.50390195E-03   2.22813742E+02   8.38372415E-01   1.60520987E-01   4.99319995E-04   2.54418130E-04   2.62727723E-04   3.82840909E-48   5.82632684E-05   2.29887642E-05  
  18               6.47880262E-03   2.30284931E+02   8.38372415E-01   1.60520987E-01   4.99319992E-04   2.54418129E-04   2.62727722E-04   1.59184745E-46   5.82632680E-05   2.29887642E-05  
  19               7.61316597E-03   2.37131248E+02   8.38372415E-01   1.60520987E-01   4.99319978E-04   2.54418121E-04   2.62727714E-04   3.90470346E-45   5.82632664E-05   2.29887642E-05  
  20               8.93342912E-03   2.44414934E+02   8.38372415E-01   1.60520987E-01   4.99320000E-04   2.54418132E-04   2.62727726E-04   9.66682928E-44   5.82632689E-05   2.29887642E-05  
  21               1.04700539E-02   2.51256692E+02   8.38372415E-01   1.60520987E-01   4.99320001E-04   2.54418133E-04   2.62727727E-04   1.64973770E-42   5.82632691E-05   2.29887642E-05  
  22               1.22581764E-02   2.58702645E+02   8.38372415E-01   1.60520987E-01   4.99320003E-04   2.54418134E-04   2.62727728E-04   3.06040062E-41   5.82632694E-05   2.29887642E-05  
  23               1.43385681E-02   2.65786016E+02   8.38372415E-01   1.60520987E-01   4.99320005E-04   2.54418135E-04   2.62727729E-04   4.20171660E-40   5.82632696E-05   2.29887642E-05  
  24               1.67587356E-02   2.73432665E+02   8.38372415E-01   1.60520987E-01   4.99320007E-04   2.54418136E-04   2.62727730E-04   6.11710952E-39   5.82632698E-05   2.29887642E-05  
  25               1.95734622E-02   2.80791405E+02   8.38372415E-01   1.60520987E-01   4.99320009E-04   2.54418137E-04   2.62727731E-04   6.97328011E-38   5.82632700E-05   2.29887642E-05  
