# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   3.23120103E+02   8.38474376E-01   1.60508278E-01   6.33415447E-31   3.97017006E-04   3.84424907E-04   1.45638288E-04   5.91237577E-05   0.00000000E+00  
  2                7.39975945E-04   3.78894011E+02   8.38465719E-01   1.60516907E-01   1.15282029E-26   3.97027899E-04   3.84435455E-04   1.45642284E-04   5.91253798E-05   0.00000000E+00  
  3                1.54723210E-03   3.95982820E+02   8.38465000E-01   1.60517621E-01   1.59125297E-25   3.97029676E-04   3.84437175E-04   1.45642936E-04   5.91256444E-05   0.00000000E+00  
  4                2.47326540E-03   4.14004436E+02   8.38466419E-01   1.60516205E-01   2.26640278E-24   3.97027889E-04   3.84435446E-04   1.45642281E-04   5.91253784E-05   0.00000000E+00  
  5                3.54334352E-03   4.22649377E+02   8.38465792E-01   1.60516794E-01   6.94578597E-24   3.97035915E-04   3.84443217E-04   1.45645225E-04   5.91265736E-05   0.00000000E+00  
  6                4.78478103E-03   4.36853345E+02   8.38466962E-01   1.60515590E-01   4.52576175E-23   3.97035018E-04   3.84442348E-04   1.45644896E-04   5.91264400E-05   0.00000000E+00  
  7                6.22714689E-03   4.43918649E+02   8.38466187E-01   1.60515935E-01   1.03508615E-22   3.97035728E-04   3.84443036E-04   1.45645156E-04   5.91265458E-05   0.00000000E+00  
  8                7.90530298E-03   4.56755965E+02   8.38464637E-01   1.60514734E-01   4.86568830E-22   3.97036648E-04   3.84443926E-04   1.45645494E-04   5.91266827E-05   0.00000000E+00  
  9                9.85839875E-03   4.63187441E+02   8.38464498E-01   1.60514810E-01   9.70331666E-22   3.97062280E-04   3.84468746E-04   1.45654897E-04   5.91304999E-05   0.00000000E+00  
  10               1.21362334E-02   4.73733085E+02   8.38465071E-01   1.60514238E-01   3.10193425E-21   3.97061670E-04   3.84468154E-04   1.45654672E-04   5.91304090E-05   0.00000000E+00  
  11               1.47939022E-02   4.79444450E+02   8.38464714E-01   1.60514594E-01   5.44995294E-21   3.97062385E-04   3.84468847E-04   1.45654935E-04   5.91305156E-05   0.00000000E+00  
  12               1.78951587E-02   4.89772080E+02   8.38465240E-01   1.60514069E-01   1.57936529E-20   3.97061819E-04   3.84468299E-04   1.45654727E-04   5.91304313E-05   0.00000000E+00  
  13               2.15129760E-02   4.95517845E+02   8.38464932E-01   1.60514376E-01   2.68875662E-20   3.97062452E-04   3.84468912E-04   1.45654959E-04   5.91305255E-05   0.00000000E+00  
  14               2.57312759E-02   5.06215643E+02   8.38465481E-01   1.60513827E-01   7.56918270E-20   3.97061856E-04   3.84468335E-04   1.45654741E-04   5.91304367E-05   0.00000000E+00  
  15               3.06468504E-02   5.12454111E+02   8.38465268E-01   1.60514039E-01   1.30779480E-19   3.97062370E-04   3.84468833E-04   1.45654930E-04   5.91305133E-05   0.00000000E+00  
  16               3.63734265E-02   5.23672546E+02   8.38465829E-01   1.60513479E-01   3.61645089E-19   3.97061767E-04   3.84468249E-04   1.45654708E-04   5.91304235E-05   0.00000000E+00  
  17               4.30415541E-02   5.30464846E+02   8.38465690E-01   1.60513618E-01   6.33775951E-19   3.97062180E-04   3.84468648E-04   1.45654860E-04   5.91304850E-05   0.00000000E+00  
  18               5.08012362E-02   5.42420943E+02   8.38466265E-01   1.60513044E-01   1.74681936E-18   3.97061570E-04   3.84468058E-04   1.45654636E-04   5.91303942E-05   0.00000000E+00  
  19               5.98247164E-02   5.50075022E+02   8.38466217E-01   1.60513092E-01   3.16867396E-18   3.97061870E-04   3.84468348E-04   1.45654746E-04   5.91304388E-05   0.00000000E+00  
  20               7.03099200E-02   5.63015139E+02   8.38466806E-01   1.60512504E-01   8.81097603E-18   3.97061263E-04   3.84467761E-04   1.45654523E-04   5.91303484E-05   0.00000000E+00  
  21               8.24799720E-02   5.71710376E+02   8.38466840E-01   1.60512469E-01   1.66065371E-17   3.97061461E-04   3.84467952E-04   1.45654596E-04   5.91303778E-05   0.00000000E+00  
  22               9.65881559E-02   5.85810804E+02   8.38467430E-01   1.60511881E-01   4.66836251E-17   3.97060873E-04   3.84467383E-04   1.45654380E-04   5.91302903E-05   0.00000000E+00  
  23               1.12919671E-01   5.95787031E+02   8.38467541E-01   1.60511769E-01   9.19155545E-17   3.97060987E-04   3.84467494E-04   1.45654422E-04   5.91303074E-05   0.00000000E+00  
  24               1.31802372E-01   6.11267637E+02   8.38468119E-01   1.60511193E-01   2.61807359E-16   3.97060437E-04   3.84466961E-04   1.45654220E-04   5.91302254E-05   0.00000000E+00  
  25               1.53599225E-01   6.22700809E+02   8.38468287E-01   1.60511024E-01   5.36825682E-16   3.97060477E-04   3.84466999E-04   1.45654235E-04   5.91302313E-05   0.00000000E+00  
  26               1.78730043E-01   6.39711495E+02   8.38468832E-01   1.60510479E-01   1.54072006E-15   3.97059994E-04   3.84466532E-04   1.45654058E-04   5.91301594E-05   0.00000000E+00  
  27               2.07667393E-01   6.52922460E+02   8.38469044E-01   1.60510266E-01   3.30228136E-15   3.97059981E-04   3.84466519E-04   1.45654053E-04   5.91301575E-05   0.00000000E+00  
  28               2.40951461E-01   6.71877653E+02   8.38469547E-01   1.60509754E-01   9.62895385E-15   3.97059621E-04   3.84466171E-04   1.45653921E-04   5.91301039E-05   0.00000000E+00  
  29               2.79177185E-01   6.87240347E+02   8.38469782E-01   1.60509513E-01   2.16029823E-14   3.97059569E-04   3.84466120E-04   1.45653902E-04   5.91300961E-05   0.00000000E+00  
  30               3.22998471E-01   7.08445041E+02   8.38470198E-01   1.60509042E-01   6.37304057E-14   3.97059623E-04   3.84466172E-04   1.45653922E-04   5.91301041E-05   0.00000000E+00  
  31               3.73104416E-01   7.26360801E+02   8.38470412E-01   1.60508784E-01   1.49327137E-13   3.97059481E-04   3.84466035E-04   1.45653870E-04   5.91300831E-05   0.00000000E+00  
  32               4.30234638E-01   7.50248516E+02   8.38470689E-01   1.60508350E-01   4.45145881E-13   3.97062092E-04   3.84468563E-04   1.45654827E-04   5.91304719E-05   0.00000000E+00  
  33               4.95201684E-01   7.71187435E+02   8.38470722E-01   1.60508058E-01   1.08492543E-12   3.97061969E-04   3.84468444E-04   1.45654782E-04   5.91304536E-05   0.00000000E+00  
  34               5.69023986E-01   7.98100408E+02   8.38471073E-01   1.60507697E-01   3.23533270E-12   3.97064195E-04   3.84470599E-04   1.45655599E-04   5.91307850E-05   0.00000000E+00  
  35               6.52783626E-01   8.22238796E+02   8.38471308E-01   1.60507448E-01   8.03434531E-12   3.97064190E-04   3.84470594E-04   1.45655597E-04   5.91307842E-05   0.00000000E+00  
  36               7.47612737E-01   8.52236924E+02   8.38471634E-01   1.60507081E-01   2.34585987E-11   3.97064111E-04   3.84470518E-04   1.45655568E-04   5.91307725E-05   0.00000000E+00  
  37               8.54621786E-01   8.79553837E+02   8.38471860E-01   1.60506730E-01   5.79153023E-11   3.97064251E-04   3.84470654E-04   1.45655619E-04   5.91307934E-05   0.00000000E+00  
  38               9.75028445E-01   9.12492452E+02   8.38472171E-01   1.60506068E-01   1.61910139E-10   3.97064917E-04   3.84471299E-04   1.45655864E-04   5.91308925E-05   0.00000000E+00  
  39               1.11007368E+00   9.42576025E+02   8.38471820E-01   1.60505035E-01   3.85787919E-10   3.97066551E-04   3.84472881E-04   1.45656463E-04   5.91311359E-05   0.00000000E+00  
  40               1.26136923E+00   9.77873845E+02   8.38471784E-01   1.60503059E-01   1.00616164E-09   3.97076461E-04   3.84482473E-04   1.45660097E-04   5.91326112E-05   0.00000000E+00  
  41               1.43066740E+00   1.01001554E+03   8.38474509E-01   1.60500344E-01   2.25427439E-09   3.97073309E-04   3.84479410E-04   1.45658937E-04   5.91321401E-05   0.00000000E+00  
  42               1.61987113E+00   1.04685530E+03   8.38480004E-01   1.60494875E-01   5.37970864E-09   3.97066606E-04   3.84472876E-04   1.45656461E-04   5.91311353E-05   8.24095818E-16  
  43               1.83100430E+00   1.08009642E+03   8.38487378E-01   1.60487535E-01   1.11160020E-08   3.97058168E-04   3.84464525E-04   1.45653292E-04   5.91298517E-05   4.75787316E-15  
  44               2.06658247E+00   1.11760216E+03   8.38499883E-01   1.60475070E-01   2.40554878E-08   3.97043687E-04   3.84449841E-04   1.45647697E-04   5.91275977E-05   3.09504164E-14  
  45               2.32937463E+00   1.15118291E+03   8.38513683E-01   1.60461296E-01   4.56252905E-08   3.97030049E-04   3.84434194E-04   1.45641571E-04   5.91252189E-05   1.47821404E-13  
  46               2.62283456E+00   1.18897073E+03   8.38533063E-01   1.60441924E-01   9.02089428E-08   3.97014278E-04   3.84410736E-04   1.45631691E-04   5.91217468E-05   7.90294835E-13  
  47               2.95062769E+00   1.22284371E+03   8.38550813E-01   1.60424132E-01   1.59027740E-07   3.97017800E-04   3.84386694E-04   1.45617631E-04   5.91187014E-05   3.21362139E-12  
  48               3.31662918E+00   1.26107292E+03   8.38572369E-01   1.60402456E-01   2.92101441E-07   3.97061492E-04   3.84344857E-04   1.45581358E-04   5.91148595E-05   1.45855751E-11  
  49               3.72505285E+00   1.29535478E+03   8.38589556E-01   1.60385065E-01   4.84790844E-07   3.97233346E-04   3.84263174E-04   1.45470281E-04   5.91119783E-05   5.15508344E-11  
  50               4.18122620E+00   1.33404808E+03   8.38608639E-01   1.60365687E-01   8.36253189E-07   3.97684685E-04   3.84045098E-04   1.45125703E-04   5.91086925E-05   2.01225991E-10  
  51               4.69105436E+00   1.36863406E+03   8.38622710E-01   1.60351556E-01   1.31544727E-06   3.98734400E-04   3.83481245E-04   1.44143747E-04   5.91065292E-05   6.21822548E-10  
  52               5.26195647E+00   1.40764783E+03   8.38638252E-01   1.60336607E-01   2.14462948E-06   4.00861786E-04   3.82160082E-04   1.41755358E-04   5.91041617E-05   2.09915820E-09  
  53               5.90420979E+00   1.44249851E+03   8.38650205E-01   1.60326599E-01   3.21779679E-06   4.04659302E-04   3.79476574E-04   1.36834889E-04   5.91024045E-05   5.72583745E-09  
  54               6.63052286E+00   1.48200831E+03   8.38665490E-01   1.60316597E-01   5.00270054E-06   4.10799939E-04   3.74720277E-04   1.28181950E-04   5.91007448E-05   1.06579970E-08  
  55               7.45444199E+00   1.51744154E+03   8.38675099E-01   1.60309958E-01   7.22396101E-06   4.19226504E-04   3.67900631E-04   1.16642340E-04   5.90989656E-05   4.17662696E-08  
  56               8.39071769E+00   1.55790579E+03   8.38688725E-01   1.60303849E-01   1.08198695E-05   4.30087734E-04   3.59811256E-04   1.02365747E-04   5.91023279E-05   7.22829790E-08  
  57               9.44607003E+00   1.59449025E+03   8.38683512E-01   1.60297161E-01   1.51944913E-05   4.41095326E-04   3.52198335E-04   9.07179722E-05   5.91023387E-05   2.51627103E-07  
  58               1.06135297E+01   1.63657216E+03   8.38684304E-01   1.60292381E-01   2.21910186E-05   4.53874589E-04   3.50753942E-04   7.63527215E-05   5.91214594E-05   4.89679880E-07  
  59               1.18751310E+01   1.67527685E+03   8.38681940E-01   1.60288080E-01   3.07650753E-05   4.63459463E-04   3.45001297E-04   6.73178691E-05   5.91235421E-05   1.58560773E-06  
  60               1.32002405E+01   1.72021309E+03   8.38667444E-01   1.60281575E-01   4.45534718E-05   4.74130202E-04   3.41188198E-04   5.63736933E-05   5.91289378E-05   5.67946429E-06  
  61               1.45329564E+01   1.76446462E+03   8.38628370E-01   1.60273254E-01   6.30924507E-05   4.84443403E-04   3.48474647E-04   4.59264542E-05   5.91477953E-05   1.67001940E-05  
  62               1.58005544E+01   1.80390388E+03   8.38556542E-01   1.60262551E-01   8.47396042E-05   4.93295877E-04   3.71181631E-04   3.69895412E-05   5.91790387E-05   3.65186911E-05  
  63               1.69482122E+01   1.83715474E+03   8.38479821E-01   1.60254316E-01   1.07492063E-04   5.00243472E-04   4.05500048E-04   2.99168525E-05   5.92272145E-05   6.34896980E-05  
  64               1.79794860E+01   1.86581723E+03   8.38460722E-01   1.60251351E-01   1.31033597E-04   5.03085335E-04   4.03897654E-04   2.71343180E-05   5.92236058E-05   6.33274293E-05  
  65               1.91239084E+01   1.89575312E+03   8.38426021E-01   1.60246091E-01   1.59977998E-04   5.05530323E-04   4.01431778E-04   2.46501811E-05   5.92168140E-05   6.31514429E-05  
  66               2.00490750E+01   1.91918513E+03   8.38404106E-01   1.60243444E-01   1.86208155E-04   5.07245379E-04   3.99704089E-04   2.29133465E-05   5.92286732E-05   6.30120916E-05  
  67               2.07424602E+01   1.93587969E+03   8.38386491E-01   1.60241442E-01   2.06915968E-04   5.08323240E-04   3.98592136E-04   2.18106937E-05   5.92227612E-05   6.29099764E-05  
  68               2.15291375E+01   1.95462053E+03   8.38364503E-01   1.60239032E-01   2.32456526E-04   5.09460342E-04   3.97425926E-04   2.06433554E-05   5.92148625E-05   6.27948611E-05  
  69               2.24177240E+01   1.97475048E+03   8.38338200E-01   1.60236268E-01   2.62612582E-04   5.10553300E-04   3.96302750E-04   1.95218709E-05   5.92040972E-05   6.26677456E-05  
  70               2.34171534E+01   1.99699113E+03   8.38305573E-01   1.60232940E-01   2.99674897E-04   5.11668165E-04   3.95153999E-04   1.83696691E-05   5.91890304E-05   6.25262120E-05  
  71               2.45345171E+01   2.02062432E+03   8.38236045E-01   1.60223250E-01   3.43490521E-04   5.12688910E-04   3.94066507E-04   1.72820614E-05   5.91649853E-05   6.23693879E-05  
  72               2.53540990E+01   2.03772700E+03   8.38204739E-01   1.60220231E-01   3.78462443E-04   5.13412631E-04   3.93333695E-04   1.65421354E-05   5.91950336E-05   6.22570866E-05  
