# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  1                1.00000000E-05   5.13395195E+01   8.38281019E-01   1.60503493E-01   6.35016503E-04   3.94502684E-04   9.42233061E-05   5.64063779E-05   3.16375038E-109  2.29865742E-05  
  2                9.39114878E-05   6.43279168E+01   8.38281019E-01   1.60503493E-01   6.35016535E-04   3.94502704E-04   9.42233109E-05   5.64063807E-05   1.03238777E-109  2.29865742E-05  
  3                1.93022291E-04   7.40785421E+01   8.38281019E-01   1.60503493E-01   6.35016555E-04   3.94502716E-04   9.42233139E-05   5.64063825E-05   7.20109395E-110  2.29865742E-05  
  4                3.07241649E-04   7.99667095E+01   8.38281019E-01   1.60503493E-01   6.35016568E-04   3.94502725E-04   9.42233158E-05   5.64063837E-05   5.70771352E-110  2.29865742E-05  
  5                4.36607070E-04   8.63653821E+01   8.38281019E-01   1.60503493E-01   6.35016579E-04   3.94502731E-04   9.42233174E-05   5.64063846E-05   4.78802962E-110  2.29865742E-05  
  6                5.83966723E-04   9.07685165E+01   8.38281019E-01   1.60503493E-01   6.35016588E-04   3.94502737E-04   9.42233187E-05   5.64063854E-05   4.14007454E-110  2.29865742E-05  
  7                7.52948436E-04   9.65876807E+01   8.38281018E-01   1.60503493E-01   6.35016596E-04   3.94502742E-04   9.42233200E-05   5.64063862E-05   3.64602458E-110  2.29865742E-05  
  8                9.47493182E-04   1.00592351E+02   8.38277958E-01   1.60502907E-01   6.35016603E-04   3.94502746E-04   9.42233210E-05   5.64063868E-05   1.50671629E-109  2.29864902E-05  
  9                1.17207536E-03   1.06376853E+02   8.38273481E-01   1.60502050E-01   6.35014485E-04   3.94501430E-04   9.42230067E-05   5.64061986E-05   1.76811852E-103  2.29863675E-05  
  10               1.43180978E-03   1.10443794E+02   8.38190101E-01   1.60486086E-01   6.35015050E-04   3.94501782E-04   9.42230906E-05   5.64062489E-05   1.32128207E-99   2.29840811E-05  
  11               1.73271649E-03   1.16459679E+02   8.38280994E-01   1.60503489E-01   6.35032040E-04   3.94512337E-04   9.42256116E-05   5.64077580E-05   2.36097773E-94   2.29865735E-05  
  12               2.08173419E-03   1.20628649E+02   8.38280897E-01   1.60503470E-01   6.35094064E-04   3.94550869E-04   9.42348146E-05   5.64132674E-05   4.92599187E-91   2.29865708E-05  
  13               2.48680133E-03   1.27005015E+02   8.38280897E-01   1.60503470E-01   6.35094090E-04   3.94550885E-04   9.42348185E-05   5.64132697E-05   2.32334577E-86   2.29865708E-05  
  14               2.95694087E-03   1.31521283E+02   8.38280897E-01   1.60503470E-01   6.35093982E-04   3.94550818E-04   9.42348025E-05   5.64132601E-05   2.45639732E-83   2.29865708E-05  
  15               3.50287469E-03   1.38359549E+02   8.38280896E-01   1.60503470E-01   6.35093605E-04   3.94550584E-04   9.42347465E-05   5.64132266E-05   4.07289334E-79   2.29865708E-05  
  16               4.13702397E-03   1.43201973E+02   8.38280886E-01   1.60503468E-01   6.35094101E-04   3.94550892E-04   9.42348201E-05   5.64132706E-05   2.20094199E-76   2.29865705E-05  
  17               4.87380000E-03   1.50573479E+02   8.38280867E-01   1.60503464E-01   6.35094096E-04   3.94550889E-04   9.42348194E-05   5.64132703E-05   1.51666824E-72   2.29865700E-05  
  18               5.72979591E-03   1.55947504E+02   8.38280697E-01   1.60503432E-01   6.35094105E-04   3.94550894E-04   9.42348208E-05   5.64132711E-05   5.49132094E-70   2.29865654E-05  
  19               6.72459523E-03   1.63943496E+02   8.38280396E-01   1.60503374E-01   6.35094071E-04   3.94550873E-04   9.42348156E-05   5.64132680E-05   1.78019082E-66   2.29865571E-05  
  20               7.88122097E-03   1.69778328E+02   8.38278091E-01   1.60502933E-01   6.35094176E-04   3.94550938E-04   9.42348312E-05   5.64132773E-05   3.91795283E-64   2.29864939E-05  
  21               9.22630539E-03   1.78280224E+02   8.38274599E-01   1.60502264E-01   6.35088597E-04   3.94547472E-04   9.42340034E-05   5.64127817E-05   5.55486788E-61   2.29863981E-05  
  22               1.07899691E-02   1.84639686E+02   8.38179802E-01   1.60484114E-01   6.35101667E-04   3.94555592E-04   9.42359427E-05   5.64139427E-05   7.98712872E-59   2.29837987E-05  
  23               1.26064748E-02   1.93797296E+02   8.38280884E-01   1.60503468E-01   6.35101931E-04   3.94555756E-04   9.42359819E-05   5.64139662E-05   5.92715929E-56   2.29865705E-05  
