# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.08081051E+02   8.38489419E-01   1.60514076E-01   1.20423715E-32   5.29271803E-04   3.75008487E-04   6.05521557E-05   0.00000000E+00   0.00000000E+00  
  2                1.03555106E-04   3.74867648E+02   8.38492424E-01   1.60511076E-01   1.46318632E-26   5.29268189E-04   3.75005927E-04   6.05517424E-05   0.00000000E+00   0.00000000E+00  
  3                2.01156802E-04   4.09593283E+02   8.38493036E-01   1.60509981E-01   4.00928977E-24   5.29268043E-04   3.75005823E-04   6.05517256E-05   0.00000000E+00   0.00000000E+00  
  4                3.08078037E-04   4.35120520E+02   8.38493114E-01   1.60509898E-01   1.40312844E-22   5.29271261E-04   3.75008103E-04   6.05520938E-05   0.00000000E+00   0.00000000E+00  
  5                4.27638681E-04   4.49738892E+02   8.38493196E-01   1.60509816E-01   8.50985750E-22   5.29271187E-04   3.75008050E-04   6.05520852E-05   0.00000000E+00   0.00000000E+00  
  6                5.62752309E-04   4.64163312E+02   8.38493284E-01   1.60509728E-01   4.57717383E-21   5.29271082E-04   3.75007976E-04   6.05520733E-05   0.00000000E+00   0.00000000E+00  
  7                7.16011231E-04   4.74466322E+02   8.38493306E-01   1.60509706E-01   1.39171849E-20   5.29271075E-04   3.75007971E-04   6.05520725E-05   0.00000000E+00   0.00000000E+00  
  8                8.90225355E-04   4.86399104E+02   8.38493358E-01   1.60509654E-01   4.87561560E-20   5.29271013E-04   3.75007928E-04   6.05520655E-05   0.00000000E+00   0.00000000E+00  
  9                1.08852051E-03   4.95005983E+02   8.38493365E-01   1.60509647E-01   1.13135481E-19   5.29271031E-04   3.75007940E-04   6.05520675E-05   0.00000000E+00   0.00000000E+00  
  10               1.31444421E-03   5.05715338E+02   8.38493400E-01   1.60509612E-01   3.18078631E-19   5.29270993E-04   3.75007913E-04   6.05520631E-05   0.00000000E+00   0.00000000E+00  
  11               1.57197848E-03   5.13603218E+02   8.38493402E-01   1.60509610E-01   6.47933980E-19   5.29271008E-04   3.75007924E-04   6.05520648E-05   0.00000000E+00   0.00000000E+00  
  12               1.86570998E-03   5.24010012E+02   8.38493432E-01   1.60509580E-01   1.64950294E-18   5.29270975E-04   3.75007900E-04   6.05520610E-05   0.00000000E+00   0.00000000E+00  
  13               2.20084836E-03   5.31725041E+02   8.38493433E-01   1.60509579E-01   3.15354531E-18   5.29271012E-04   3.75007926E-04   6.05520653E-05   0.00000000E+00   0.00000000E+00  
  14               2.58331903E-03   5.42117085E+02   8.38493460E-01   1.60509552E-01   7.53803310E-18   5.29270999E-04   3.75007918E-04   6.05520638E-05   0.00000000E+00   0.00000000E+00  
  15               3.01982945E-03   5.49890611E+02   8.38493461E-01   1.60509551E-01   1.38785582E-17   5.29271016E-04   3.75007929E-04   6.05520657E-05   0.00000000E+00   0.00000000E+00  
  16               3.51798000E-03   5.60554543E+02   8.38493486E-01   1.60509525E-01   3.20598072E-17   5.29270986E-04   3.75007908E-04   6.05520623E-05   0.00000000E+00   0.00000000E+00  
