# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  34               4.65284981E-02   1.18465833E+02   8.38082987E-01   1.60465583E-01   7.79179537E-04   5.29661442E-04   7.27472747E-05   2.43607353E-05   2.29801734E-05   3.71485702E-13  
  35               5.64759157E-02   1.25584886E+02   8.38014994E-01   1.60452565E-01   7.79177487E-04   5.29660048E-04   7.27470833E-05   2.43606712E-05   2.29783090E-05   4.61528004E-12  
  36               6.85282113E-02   1.33081231E+02   8.38098166E-01   1.60468490E-01   7.79200568E-04   5.29675738E-04   7.27492382E-05   2.43613928E-05   2.29805896E-05   5.42606411E-11  
  37               8.31327213E-02   1.41301405E+02   8.38098055E-01   1.60468468E-01   7.79274107E-04   5.29725728E-04   7.27561042E-05   2.43636920E-05   2.29805865E-05   5.12505498E-10  
  38               1.00837035E-01   1.49839685E+02   8.38098051E-01   1.60468468E-01   7.79274105E-04   5.29725727E-04   7.27561040E-05   2.43636920E-05   2.29805864E-05   4.48926364E-09  
  39               1.22301760E-01   1.59098189E+02   8.38098030E-01   1.60468464E-01   7.79274103E-04   5.29725725E-04   7.27561038E-05   2.43636919E-05   2.29805859E-05   3.00549751E-08  
  40               1.48322307E-01   1.68426526E+02   8.38097906E-01   1.60468440E-01   7.79274110E-04   5.29725730E-04   7.27561044E-05   2.43636921E-05   2.29805825E-05   1.77773737E-07  
  41               1.79872163E-01   1.78197612E+02   8.38097349E-01   1.60468333E-01   7.79274126E-04   5.29725740E-04   7.27561059E-05   2.43636926E-05   2.29805672E-05   8.41835984E-07  
  42               2.18151182E-01   1.87992329E+02   8.38094778E-01   1.60467841E-01   7.79274485E-04   5.29725984E-04   7.27561394E-05   2.43637038E-05   2.29804967E-05   3.90425927E-06  
  43               2.64575362E-01   1.98574275E+02   8.38085593E-01   1.60466082E-01   7.79275428E-04   5.29726625E-04   7.27562275E-05   2.43637333E-05   2.29802448E-05   1.48463649E-05  
  44               3.20770473E-01   2.09235785E+02   8.38059128E-01   1.60461015E-01   7.79282406E-04   5.29731369E-04   7.27568790E-05   2.43639515E-05   2.29795192E-05   4.63670697E-05  
