# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   3.07870743E+02   8.38425467E-01   1.60502423E-01   1.13612518E-32   4.52810454E-04   3.14071522E-04   2.15313700E-04   5.84722633E-05   2.29859873E-05  
  2                3.63349859E-05   3.30307663E+02   8.38425121E-01   1.60502701E-01   1.94495111E-30   4.52812300E-04   3.14072802E-04   2.15314578E-04   5.84725016E-05   2.29860271E-05  
  3                6.77033778E-05   3.48483572E+02   8.38426322E-01   1.60501502E-01   8.99055815E-29   4.52811612E-04   3.14072325E-04   2.15314251E-04   5.84724129E-05   2.29858554E-05  
  4                1.05715275E-04   3.53548534E+02   8.38425385E-01   1.60502434E-01   2.11742187E-28   4.52813845E-04   3.14073873E-04   2.15315313E-04   5.84727012E-05   2.29859889E-05  
  5                1.52041024E-04   3.66397997E+02   8.38426033E-01   1.60501508E-01   2.38950320E-27   4.52813517E-04   3.14073646E-04   2.15315157E-04   5.84726588E-05   2.29858562E-05  
  6                2.08589707E-04   3.69762648E+02   8.38425285E-01   1.60502244E-01   3.91722232E-27   4.52818725E-04   3.14077259E-04   2.15317634E-04   5.84733314E-05   2.29859617E-05  
  7                2.77734722E-04   3.81053043E+02   8.38426035E-01   1.60501494E-01   2.78736289E-26   4.52818694E-04   3.14077237E-04   2.15317619E-04   5.84733274E-05   2.29858542E-05  
  8                3.62298279E-04   3.84137296E+02   8.38425406E-01   1.60502118E-01   4.24584776E-26   4.52820557E-04   3.14078529E-04   2.15318504E-04   5.84735679E-05   2.29859436E-05  
  9                4.65783456E-04   3.94923792E+02   8.38426084E-01   1.60501441E-01   2.42705461E-25   4.52820630E-04   3.14078580E-04   2.15318539E-04   5.84735773E-05   2.29858466E-05  
  10               5.92409971E-04   3.98046091E+02   8.38425547E-01   1.60501973E-01   3.62781890E-25   4.52822336E-04   3.14079763E-04   2.15319350E-04   5.84737976E-05   2.29859228E-05  
  11               7.47403116E-04   4.08589695E+02   8.38425464E-01   1.60501243E-01   1.77635731E-24   4.52822144E-04   3.14079630E-04   2.15319259E-04   5.84737729E-05   2.29858182E-05  
  12               9.37098086E-04   4.11710034E+02   8.38425009E-01   1.60501665E-01   2.58397761E-24   4.52832957E-04   3.14087130E-04   2.15324401E-04   5.84751691E-05   2.29858787E-05  
  13               1.16931146E-03   4.22127634E+02   8.38425533E-01   1.60501141E-01   1.11949662E-23   4.52833326E-04   3.14087385E-04   2.15324576E-04   5.84752168E-05   2.29858037E-05  
  14               1.45358290E-03   4.25190088E+02   8.38424996E-01   1.60501619E-01   1.57302235E-23   4.52835252E-04   3.14088721E-04   2.15325492E-04   5.84754655E-05   2.29858722E-05  
  15               1.80167697E-03   4.35597849E+02   8.38425430E-01   1.60501183E-01   6.19929993E-23   4.52836251E-04   3.14089415E-04   2.15325967E-04   5.84755945E-05   2.29858096E-05  
  16               2.22789949E-03   4.38774372E+02   8.38424597E-01   1.60501589E-01   8.63402292E-23   4.52837773E-04   3.14090470E-04   2.15326691E-04   5.84757910E-05   2.29858679E-05  
  17               2.74974756E-03   4.49407783E+02   8.38422657E-01   1.60501015E-01   3.21401448E-22   4.52840711E-04   3.14092508E-04   2.15328088E-04   5.84761704E-05   2.29857856E-05  
  18               3.38837732E-03   4.52966608E+02   8.38422367E-01   1.60501242E-01   4.58793201E-22   4.52867661E-04   3.14111201E-04   2.15340903E-04   5.84796505E-05   2.29858182E-05  
  19               4.17061801E-03   4.62904060E+02   8.38422671E-01   1.60500938E-01   1.44071833E-21   4.52868353E-04   3.14111681E-04   2.15341232E-04   5.84797399E-05   2.29857745E-05  
  20               5.12858955E-03   4.66493807E+02   8.38422205E-01   1.60501400E-01   2.01303540E-21   4.52870119E-04   3.14112905E-04   2.15342071E-04   5.84799679E-05   2.29858407E-05  
  21               6.30142005E-03   4.76783964E+02   8.38422502E-01   1.60501101E-01   6.14464514E-21   4.52870849E-04   3.14113411E-04   2.15342418E-04   5.84800622E-05   2.29857979E-05  
  22               7.73672430E-03   4.80691431E+02   8.38422042E-01   1.60501557E-01   8.69069669E-21   4.52872639E-04   3.14114653E-04   2.15343270E-04   5.84802933E-05   2.29858632E-05  
  23               9.49257870E-03   4.91397295E+02   8.38422335E-01   1.60501262E-01   2.59083514E-20   4.52873402E-04   3.14115183E-04   2.15343633E-04   5.84803920E-05   2.29858209E-05  
