# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  1                1.00000000E-05   4.01126021E+02   8.38523580E-01   1.60514673E-01   4.63737243E-24   4.77637960E-04   3.18392816E-04   5.97148232E-05   7.27282463E-05   0.00000000E+00  
  2                1.77875533E-05   4.35017637E+02   8.38523303E-01   1.60514943E-01   5.75668282E-22   4.77642301E-04   3.18395709E-04   5.97153658E-05   7.27289073E-05   0.00000000E+00  
  3                2.72463987E-05   4.43769488E+02   8.38523294E-01   1.60514952E-01   1.53402548E-21   4.77642338E-04   3.18395734E-04   5.97153705E-05   7.27289129E-05   0.00000000E+00  
  4                3.89614415E-05   4.55747839E+02   8.38523294E-01   1.60514952E-01   6.10128415E-21   4.77642371E-04   3.18395756E-04   5.97153746E-05   7.27289179E-05   0.00000000E+00  
  5                5.35035747E-05   4.61746628E+02   8.38523285E-01   1.60514961E-01   1.10304779E-20   4.77642433E-04   3.18395797E-04   5.97153824E-05   7.27289274E-05   0.00000000E+00  
  6                7.15774670E-05   4.72324710E+02   8.38523285E-01   1.60514961E-01   3.42206879E-20   4.77642488E-04   3.18395834E-04   5.97153892E-05   7.27289357E-05   0.00000000E+00  
  7                9.40481929E-05   4.77849604E+02   8.38523276E-01   1.60514970E-01   5.69005142E-20   4.77642572E-04   3.18395890E-04   5.97153998E-05   7.27289486E-05   0.00000000E+00  
  8                1.21999611E-04   4.87840356E+02   8.38523276E-01   1.60514970E-01   1.54576528E-19   4.77642648E-04   3.18395941E-04   5.97154093E-05   7.27289602E-05   0.00000000E+00  
  9                1.56768347E-04   4.93256703E+02   8.38523267E-01   1.60514979E-01   2.46818348E-19   4.77642754E-04   3.18396011E-04   5.97154225E-05   7.27289763E-05   0.00000000E+00  
  10               2.00025438E-04   5.03004015E+02   8.38523267E-01   1.60514979E-01   6.15616043E-19   4.77642850E-04   3.18396075E-04   5.97154345E-05   7.27289909E-05   0.00000000E+00  
  11               2.53835157E-04   5.08463834E+02   8.38523257E-01   1.60514988E-01   9.59550057E-19   4.77642977E-04   3.18396160E-04   5.97154503E-05   7.27290102E-05   0.00000000E+00  
  12               3.20781804E-04   5.18165140E+02   8.38523257E-01   1.60514988E-01   2.25445701E-18   4.77643091E-04   3.18396236E-04   5.97154646E-05   7.27290275E-05   0.00000000E+00  
  13               4.04076152E-04   5.23749519E+02   8.38523245E-01   1.60514999E-01   3.45686910E-18   4.77643234E-04   3.18396331E-04   5.97154825E-05   7.27290494E-05   0.00000000E+00  
  14               5.07718625E-04   5.33599573E+02   8.38523245E-01   1.60514999E-01   7.81667526E-18   4.77643375E-04   3.18396425E-04   5.97155001E-05   7.27290708E-05   0.00000000E+00  
  15               6.36663594E-04   5.39433512E+02   8.38523233E-01   1.60515010E-01   1.19180513E-17   4.77643536E-04   3.18396532E-04   5.97155202E-05   7.27290953E-05   0.00000000E+00  
  16               7.97072837E-04   5.49566600E+02   8.38523233E-01   1.60515010E-01   2.62607635E-17   4.77643679E-04   3.18396628E-04   5.97155381E-05   7.27291171E-05   0.00000000E+00  
  17               9.96584710E-04   5.55663358E+02   8.38523220E-01   1.60515023E-01   3.97883492E-17   4.77643855E-04   3.18396745E-04   5.97155601E-05   7.27291439E-05   0.00000000E+00  
  18               1.24470470E-03   5.66005609E+02   8.38523220E-01   1.60515022E-01   8.48549775E-17   4.77644017E-04   3.18396853E-04   5.97155804E-05   7.27291686E-05   0.00000000E+00  
  19               1.55322673E-03   5.72209104E+02   8.38523205E-01   1.60515037E-01   1.25994843E-16   4.77644208E-04   3.18396981E-04   5.97156043E-05   7.27291977E-05   0.00000000E+00  
  20               1.93682859E-03   5.82641990E+02   8.38523204E-01   1.60515037E-01   2.57953668E-16   4.77644379E-04   3.18397095E-04   5.97156257E-05   7.27292238E-05   0.00000000E+00  
  21               2.41370345E-03   5.88893347E+02   8.38523183E-01   1.60515053E-01   3.74007155E-16   4.77644585E-04   3.18397232E-04   5.97156515E-05   7.27292551E-05   0.00000000E+00  
  22               3.00643955E-03   5.99433060E+02   8.38523183E-01   1.60515054E-01   7.37900099E-16   4.77644796E-04   3.18397372E-04   5.97156778E-05   7.27292872E-05   0.00000000E+00  
  23               3.74298239E-03   6.05838559E+02   8.38523160E-01   1.60515074E-01   1.05432245E-15   4.77645018E-04   3.18397520E-04   5.97157055E-05   7.27293210E-05   0.00000000E+00  
  24               4.65797748E-03   6.16600455E+02   8.38523159E-01   1.60515074E-01   2.02491589E-15   4.77645221E-04   3.18397656E-04   5.97157309E-05   7.27293519E-05   0.00000000E+00  
  25               5.79432369E-03   6.23127122E+02   8.38523123E-01   1.60515097E-01   2.84561062E-15   4.77645456E-04   3.18397812E-04   5.97157602E-05   7.27293876E-05   0.00000000E+00  
  26               7.20564142E-03   6.34070173E+02   8.38523121E-01   1.60515098E-01   5.31054817E-15   4.77645783E-04   3.18398030E-04   5.97158012E-05   7.27294375E-05   0.00000000E+00  
  27               8.95852024E-03   6.40726309E+02   8.38523085E-01   1.60515127E-01   7.34838841E-15   4.77646037E-04   3.18398200E-04   5.97158329E-05   7.27294761E-05   0.00000000E+00  
  28               1.11355505E-02   6.51842228E+02   8.38523081E-01   1.60515130E-01   1.33345545E-14   4.77646306E-04   3.18398379E-04   5.97158666E-05   7.27295172E-05   0.00000000E+00  
  29               1.38388596E-02   6.58666498E+02   8.38523005E-01   1.60515159E-01   1.82216148E-14   4.77646566E-04   3.18398553E-04   5.97158991E-05   7.27295568E-05   0.00000000E+00  
  30               1.71947619E-02   6.70209410E+02   8.38523000E-01   1.60515163E-01   3.26771109E-14   4.77647306E-04   3.18399046E-04   5.97159917E-05   7.27296695E-05   0.00000000E+00  
  31               2.13588197E-02   6.77404594E+02   8.38522938E-01   1.60515202E-01   4.46188547E-14   4.77647588E-04   3.18399233E-04   5.97160268E-05   7.27297123E-05   0.00000000E+00  
  32               2.65225906E-02   6.89424488E+02   8.38522932E-01   1.60515206E-01   7.92021521E-14   4.77648055E-04   3.18399545E-04   5.97160853E-05   7.27297835E-05   0.00000000E+00  
  33               3.29216046E-02   6.97256666E+02   8.38522754E-01   1.60515229E-01   1.09493759E-13   4.77648279E-04   3.18399694E-04   5.97161133E-05   7.27298176E-05   0.00000000E+00  
  34               4.08429121E-02   7.10338482E+02   8.38522694E-01   1.60515217E-01   1.98039321E-13   4.77651042E-04   3.18401536E-04   5.97164587E-05   7.27302382E-05   0.00000000E+00  
  35               5.06336005E-02   7.19414721E+02   8.38522646E-01   1.60515263E-01   2.84901633E-13   4.77652044E-04   3.18402204E-04   5.97165839E-05   7.27303908E-05   0.00000000E+00  
  36               6.27138088E-02   7.34256771E+02   8.38522665E-01   1.60515243E-01   5.39539102E-13   4.77652232E-04   3.18402330E-04   5.97166075E-05   7.27304195E-05   0.00000000E+00  
  37               7.75893118E-02   7.45181309E+02   8.38522452E-01   1.60515241E-01   8.24083678E-13   4.77652414E-04   3.18402451E-04   5.97166302E-05   7.27304471E-05   0.00000000E+00  
  38               9.58632402E-02   7.62119302E+02   8.38522503E-01   1.60515182E-01   1.63679895E-12   4.77655265E-04   3.18404351E-04   5.97169866E-05   7.27308812E-05   0.00000000E+00  
  39               1.18267857E-01   7.75298748E+02   8.38522502E-01   1.60515180E-01   2.66516780E-12   4.77655507E-04   3.18404512E-04   5.97170169E-05   7.27309181E-05   0.00000000E+00  
  40               1.45697502E-01   7.94842358E+02   8.38522636E-01   1.60515037E-01   5.57808138E-12   4.77655598E-04   3.18404573E-04   5.97170283E-05   7.27309321E-05   0.00000000E+00  
  41               1.79203412E-01   8.10833073E+02   8.38522708E-01   1.60514949E-01   9.72875381E-12   4.77655719E-04   3.18404653E-04   5.97170433E-05   7.27309503E-05   0.00000000E+00  
  42               2.20017393E-01   8.33498605E+02   8.38523015E-01   1.60514604E-01   2.14282032E-11   4.77655592E-04   3.18404569E-04   5.97170275E-05   7.27309311E-05   0.00000000E+00  
  43               2.69588907E-01   8.53073194E+02   8.38523260E-01   1.60514270E-01   4.02824024E-11   4.77655612E-04   3.18404582E-04   5.97170300E-05   7.27309341E-05   0.00000000E+00  
  44               3.29582096E-01   8.79704010E+02   8.38523972E-01   1.60513346E-01   9.37495855E-11   4.77655422E-04   3.18404456E-04   5.97170062E-05   7.27309051E-05   0.00000000E+00  
  45               4.01826562E-01   9.03607918E+02   8.38524561E-01   1.60512230E-01   1.89238819E-10   4.77655593E-04   3.18404570E-04   5.97170276E-05   7.27309312E-05   0.00000000E+00  
  46               4.88359631E-01   9.34874902E+02   8.38525876E-01   1.60509483E-01   4.60675026E-10   4.77657470E-04   3.18405821E-04   5.97172623E-05   7.27312170E-05   0.00000000E+00  
  47               5.91632788E-01   9.63940934E+02   8.38527807E-01   1.60505966E-01   9.90012814E-10   4.77664204E-04   3.18410310E-04   5.97181042E-05   7.27322423E-05   0.00000000E+00  
