# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  1                1.00000000E-05   4.20616458E+01   8.38209895E-01   1.60489876E-01   7.09761147E-04   4.64889455E-04   3.14265096E-05   5.40592287E-05   2.29863462E-05   3.16348157E-109 
  2                7.71606991E-05   5.23479617E+01   8.38209895E-01   1.60489876E-01   7.09761153E-04   4.64889459E-04   3.14265099E-05   5.40592291E-05   2.29863462E-05   1.13885185E-109 
  3                1.56506850E-04   5.85497297E+01   8.38209895E-01   1.60489876E-01   7.09761156E-04   4.64889461E-04   3.14265100E-05   5.40592294E-05   2.29863462E-05   7.99647592E-110 
  4                2.50253427E-04   6.33217081E+01   8.38209895E-01   1.60489876E-01   7.09761158E-04   4.64889462E-04   3.14265101E-05   5.40592295E-05   2.29863462E-05   6.32375873E-110 
  5                3.61000124E-04   6.69734153E+01   8.38209895E-01   1.60489876E-01   7.09761159E-04   4.64889463E-04   3.14265102E-05   5.40592296E-05   2.29863462E-05   5.26516073E-110 
  6                4.91808156E-04   7.07008908E+01   8.38209895E-01   1.60489876E-01   7.09761160E-04   4.64889464E-04   3.14265102E-05   5.40592297E-05   2.29863462E-05   4.51094411E-110 
  7                6.45816528E-04   7.38564528E+01   8.38209895E-01   1.60489876E-01   7.09761162E-04   4.64889465E-04   3.14265103E-05   5.40592298E-05   2.29863462E-05   3.93650431E-110 
  8                8.25262589E-04   7.74490707E+01   8.38209895E-01   1.60489876E-01   7.09761163E-04   4.64889465E-04   3.14265103E-05   5.40592299E-05   2.29863462E-05   3.48232443E-110 
  9                1.03306812E-03   8.05239398E+01   8.38209895E-01   1.60489876E-01   7.09761164E-04   4.64889466E-04   3.14265104E-05   5.40592300E-05   2.29863462E-05   3.11243886E-110 
  10               1.27301309E-03   8.41560645E+01   8.38209895E-01   1.60489876E-01   7.09761165E-04   4.64889467E-04   3.14265104E-05   5.40592301E-05   2.29863462E-05   2.80381189E-110 
