# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   1.13023262E+02   8.38340841E-01   1.60514946E-01   5.42869546E-04   2.06312343E-04   3.04411696E-04   3.44829265E-96   5.76602081E-05   2.29897611E-05  
  2                2.51545664E-04   1.43999668E+02   8.38332360E-01   1.60513322E-01   5.42859879E-04   2.06308669E-04   3.04406275E-04   2.44885232E-75   5.76591813E-05   2.29895285E-05  
  3                5.13644267E-04   1.68465571E+02   8.38253385E-01   1.60498201E-01   5.42794690E-04   2.06283895E-04   3.04369721E-04   4.62939301E-64   5.76522574E-05   2.29873628E-05  
  4                8.08848527E-04   1.82874490E+02   8.37781548E-01   1.60407859E-01   5.42598914E-04   2.06209492E-04   3.04259940E-04   7.44138890E-59   5.76314633E-05   2.29744236E-05  
  5                1.14700901E-03   1.95693917E+02   8.38340131E-01   1.60514810E-01   5.43297556E-04   2.06475004E-04   3.04651700E-04   7.26335760E-55   5.77056686E-05   2.29897416E-05  
  6                1.53715469E-03   2.04611673E+02   8.38340131E-01   1.60514810E-01   5.43297586E-04   2.06475016E-04   3.04651717E-04   2.11728482E-52   5.77056718E-05   2.29897416E-05  
  7                1.98924122E-03   2.14553835E+02   8.38340131E-01   1.60514810E-01   5.43297591E-04   2.06475018E-04   3.04651720E-04   6.94136543E-50   5.77056724E-05   2.29897416E-05  
  8                2.51402370E-03   2.21852132E+02   8.38340131E-01   1.60514810E-01   5.43297630E-04   2.06475032E-04   3.04651742E-04   3.40537474E-48   5.77056765E-05   2.29897416E-05  
  9                3.12387454E-03   2.30674213E+02   8.38340131E-01   1.60514810E-01   5.43297650E-04   2.06475040E-04   3.04651754E-04   2.77686275E-46   5.77056787E-05   2.29897416E-05  
  10               3.83295633E-03   2.37329095E+02   8.38340131E-01   1.60514810E-01   5.43297670E-04   2.06475047E-04   3.04651764E-04   6.03311465E-45   5.77056807E-05   2.29897416E-05  
  11               4.65814350E-03   2.45472421E+02   8.38340131E-01   1.60514810E-01   5.43297688E-04   2.06475054E-04   3.04651775E-04   2.12341698E-43   5.77056827E-05   2.29897416E-05  
  12               5.61883258E-03   2.51729007E+02   8.38340131E-01   1.60514810E-01   5.43297706E-04   2.06475061E-04   3.04651785E-04   2.73814820E-42   5.77056846E-05   2.29897416E-05  
  13               6.73769375E-03   2.59606555E+02   8.38340131E-01   1.60514810E-01   5.43297725E-04   2.06475068E-04   3.04651795E-04   5.87196235E-41   5.77056866E-05   2.29897416E-05  
  14               8.04103928E-03   2.65713548E+02   8.38340131E-01   1.60514810E-01   5.43297744E-04   2.06475076E-04   3.04651806E-04   5.46178550E-40   5.77056886E-05   2.29897416E-05  
  15               9.55958479E-03   2.73472020E+02   8.38340131E-01   1.60514810E-01   5.43297763E-04   2.06475083E-04   3.04651817E-04   8.21142846E-39   5.77056907E-05   2.29897416E-05  
  16               1.13286732E-02   2.79618589E+02   8.38340131E-01   1.60514810E-01   5.43297784E-04   2.06475091E-04   3.04651828E-04   6.19693210E-38   5.77056928E-05   2.29897416E-05  
  17               1.33894713E-02   2.87516455E+02   8.38340131E-01   1.60514810E-01   5.43297805E-04   2.06475099E-04   3.04651840E-04   7.48059254E-37   5.77056951E-05   2.29897416E-05  
  18               1.57899886E-02   2.93840086E+02   8.38340131E-01   1.60514810E-01   5.43297827E-04   2.06475107E-04   3.04651852E-04   4.89977436E-36   5.77056974E-05   2.29897416E-05  
  19               1.85861740E-02   3.01916932E+02   8.38340131E-01   1.60514810E-01   5.43297850E-04   2.06475116E-04   3.04651865E-04   4.91316010E-35   5.77056999E-05   2.29897416E-05  
  20               2.18423344E-02   3.08538951E+02   8.38340131E-01   1.60514810E-01   5.43297874E-04   2.06475125E-04   3.04651879E-04   2.92325775E-34   5.77057024E-05   2.29897416E-05  
