# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.71090102E+02   8.38472381E-01   1.60534957E-01   1.09436572E-37   5.29256069E-04   3.74279977E-04   6.05205462E-05   0.00000000E+00   2.29911480E-05  
  2                1.84652398E-05   3.25200796E+02   8.38493660E-01   1.60513727E-01   7.83694910E-31   5.29230685E-04   3.74262026E-04   6.05176436E-05   0.00000000E+00   2.29881076E-05  
  3                2.77412102E-05   3.47800396E+02   8.38495548E-01   1.60511844E-01   1.21141387E-28   5.29228523E-04   3.74260497E-04   6.05173963E-05   0.00000000E+00   2.29878379E-05  
  4                3.84297686E-05   3.65434612E+02   8.38493282E-01   1.60510579E-01   3.93463466E-27   5.29227732E-04   3.74259938E-04   6.05173058E-05   0.00000000E+00   2.29876566E-05  
  5                5.08951473E-05   3.78547825E+02   8.38493847E-01   1.60510017E-01   4.12567145E-26   5.29225519E-04   3.74258373E-04   6.05170528E-05   0.00000000E+00   2.29875762E-05  
  6                6.55043307E-05   3.92316841E+02   8.38494071E-01   1.60509786E-01   4.15878068E-25   5.29228871E-04   3.74260744E-04   6.05174361E-05   0.00000000E+00   2.29875431E-05  
  7                8.26598974E-05   4.03762480E+02   8.38494186E-01   1.60509665E-01   2.47461269E-24   5.29228750E-04   3.74260658E-04   6.05174223E-05   0.00000000E+00   2.29875257E-05  
  8                1.02920242E-04   4.12355580E+02   8.38494199E-01   1.60509617E-01   8.61784538E-24   5.29228714E-04   3.74260633E-04   6.05174182E-05   0.00000000E+00   2.29875189E-05  
  9                1.26895531E-04   4.21940974E+02   8.38494137E-01   1.60509563E-01   3.30615431E-23   5.29228742E-04   3.74260652E-04   6.05174213E-05   0.00000000E+00   2.29875112E-05  
  10               1.55302194E-04   4.29592558E+02   8.38493810E-01   1.60509564E-01   9.07474248E-23   5.29228970E-04   3.74260813E-04   6.05174474E-05   0.00000000E+00   2.29875112E-05  
