# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   3.81701000E+02   8.38494258E-01   1.60509001E-01   1.65152283E-25   5.29280887E-04   3.75082553E-04   6.06000059E-05   0.00000000E+00   0.00000000E+00  
  2                1.66845793E-05   4.47445458E+02   8.38494092E-01   1.60509173E-01   3.19142248E-21   5.29281048E-04   3.75082667E-04   6.06000243E-05   0.00000000E+00   0.00000000E+00  
  3                2.40966671E-05   4.79844079E+02   8.38494140E-01   1.60509147E-01   1.41365750E-19   5.29279883E-04   3.75081842E-04   6.05998910E-05   0.00000000E+00   0.00000000E+00  
  4                3.26691932E-05   4.98197478E+02   8.38494187E-01   1.60509119E-01   9.18601640E-19   5.29278273E-04   3.75080701E-04   6.05997066E-05   0.00000000E+00   0.00000000E+00  
  5                4.26872550E-05   5.17506333E+02   8.38494308E-01   1.60509030E-01   5.79208572E-18   5.29274487E-04   3.75078018E-04   6.05992731E-05   0.00000000E+00   0.00000000E+00  
  6                5.44520696E-05   5.30085762E+02   8.38494431E-01   1.60508923E-01   1.71961221E-17   5.29270916E-04   3.75075487E-04   6.05988642E-05   0.00000000E+00   0.00000000E+00  
  7                6.83103870E-05   5.46287964E+02   8.38494818E-01   1.60508568E-01   6.72319202E-17   5.29264761E-04   3.75071126E-04   6.05981596E-05   0.00000000E+00   0.00000000E+00  
  8                8.46551977E-05   5.57454619E+02   8.38495201E-01   1.60508191E-01   1.59035799E-16   5.29260864E-04   3.75068363E-04   6.05977133E-05   0.00000000E+00   0.00000000E+00  
  9                1.03950281E-04   5.72636597E+02   8.38496403E-01   1.60507024E-01   5.04094183E-16   5.29247545E-04   3.75058925E-04   6.05961884E-05   0.00000000E+00   0.00000000E+00  
  10               1.26738408E-04   5.83047823E+02   8.38497431E-01   1.60505972E-01   1.04070837E-15   5.29244843E-04   3.75057010E-04   6.05958790E-05   0.00000000E+00   0.00000000E+00  
  11               1.53664131E-04   5.97536123E+02   8.38500485E-01   1.60502940E-01   2.83732134E-15   5.29229323E-04   3.75046011E-04   6.05941020E-05   0.00000000E+00   0.00000000E+00  
  12               1.85482555E-04   6.07453056E+02   8.38502680E-01   1.60500588E-01   5.31863228E-15   5.29223521E-04   3.75041900E-04   6.05934378E-05   0.00000000E+00   0.00000000E+00  
  13               2.23087010E-04   6.21581783E+02   8.38509102E-01   1.60494145E-01   1.30490003E-14   5.29205253E-04   3.75028954E-04   6.05913461E-05   0.00000000E+00   0.00000000E+00  
  14               2.67536549E-04   6.31259731E+02   8.38513399E-01   1.60489863E-01   2.28855840E-14   5.29198265E-04   3.75024002E-04   6.05905460E-05   0.00000000E+00   0.00000000E+00  
  15               3.20109427E-04   6.45245577E+02   8.38524503E-01   1.60478588E-01   5.19178499E-14   5.29176190E-04   3.75008358E-04   6.05880186E-05   0.00000000E+00   0.00000000E+00  
  16               3.82310723E-04   6.54802622E+02   8.38530944E-01   1.60472163E-01   8.64704343E-14   5.29167553E-04   3.75002238E-04   6.05870297E-05   0.00000000E+00   0.00000000E+00  
