# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   5.55119589E+01   8.38156274E-01   1.60479606E-01   7.51761754E-04   5.03790695E-04   3.16328634E-109  1.03385358E-05   5.02177220E-05   2.29851019E-05  
  2                3.17923563E-05   8.57389954E+01   8.38156274E-01   1.60479606E-01   7.51761772E-04   5.03790707E-04   1.77409613E-109  1.03385361E-05   5.02177232E-05   2.29851019E-05  
  3                5.62260361E-05   9.39947162E+01   8.38156273E-01   1.60479606E-01   7.51761797E-04   5.03790724E-04   1.33404283E-109  1.03385364E-05   5.02177248E-05   2.29851019E-05  
  4                8.56098365E-05   9.72063529E+01   8.38156273E-01   1.60479606E-01   7.51761823E-04   5.03790741E-04   1.08112690E-109  1.03385368E-05   5.02177266E-05   2.29851019E-05  
  5                1.21464037E-04   1.00459312E+02   8.38146445E-01   1.60477724E-01   7.51761854E-04   5.03790762E-04   2.98609756E-109  1.03385372E-05   5.02177287E-05   2.29848324E-05  
  6                1.65165347E-04   1.04627559E+02   8.38068209E-01   1.60462744E-01   7.51744256E-04   5.03778968E-04   7.84636968E-105  1.03382952E-05   5.02165531E-05   2.29826869E-05  
  7                2.18347965E-04   1.09248180E+02   8.38156229E-01   1.60479597E-01   7.51791729E-04   5.03810783E-04   2.55882801E-100  1.03389480E-05   5.02197243E-05   2.29851007E-05  
  8                2.83058509E-04   1.14359207E+02   8.38156141E-01   1.60479580E-01   7.51850429E-04   5.03850120E-04   9.58004183E-96   1.03397553E-05   5.02236455E-05   2.29850983E-05  
  9                3.61854371E-04   1.19324622E+02   8.38156141E-01   1.60479580E-01   7.51850459E-04   5.03850140E-04   1.11376911E-91   1.03397557E-05   5.02236475E-05   2.29850983E-05  
  10               4.57906988E-04   1.24447311E+02   8.38156141E-01   1.60479580E-01   7.51850490E-04   5.03850161E-04   7.96468253E-88   1.03397561E-05   5.02236496E-05   2.29850983E-05  
  11               5.75080302E-04   1.29388574E+02   8.38156140E-01   1.60479580E-01   7.51850523E-04   5.03850183E-04   2.12081164E-84   1.03397566E-05   5.02236517E-05   2.29850983E-05  
  12               7.18068291E-04   1.34723478E+02   8.38156138E-01   1.60479580E-01   7.51850552E-04   5.03850202E-04   5.55139631E-81   1.03397570E-05   5.02236537E-05   2.29850982E-05  
  13               8.92585947E-04   1.40125332E+02   8.38156129E-01   1.60479578E-01   7.51850594E-04   5.03850231E-04   8.67941694E-78   1.03397576E-05   5.02236565E-05   2.29850979E-05  
  14               1.10557840E-03   1.46058901E+02   8.38156092E-01   1.60479571E-01   7.51850564E-04   5.03850211E-04   1.50227978E-74   1.03397572E-05   5.02236545E-05   2.29850969E-05  
  15               1.36549360E-03   1.52053072E+02   8.38155942E-01   1.60479542E-01   7.51850723E-04   5.03850317E-04   1.54711958E-71   1.03397594E-05   5.02236651E-05   2.29850928E-05  
  16               1.68268693E-03   1.58425846E+02   8.38155495E-01   1.60479457E-01   7.51850096E-04   5.03849897E-04   1.38926573E-68   1.03397507E-05   5.02236232E-05   2.29850806E-05  
  17               2.07000733E-03   1.64598273E+02   8.38154045E-01   1.60479179E-01   7.51851561E-04   5.03850879E-04   6.04462739E-66   1.03397709E-05   5.02237211E-05   2.29850408E-05  
  18               2.54321847E-03   1.71039305E+02   8.38150395E-01   1.60478480E-01   7.51846845E-04   5.03847719E-04   2.14317258E-63   1.03397060E-05   5.02234061E-05   2.29849407E-05  
  19               3.12145752E-03   1.77350670E+02   8.38140100E-01   1.60476509E-01   7.51858696E-04   5.03855660E-04   4.43044030E-61   1.03398690E-05   5.02241977E-05   2.29846584E-05  
  20               3.82803822E-03   1.83986297E+02   8.38024101E-01   1.60454299E-01   7.51832218E-04   5.03837916E-04   8.11168806E-59   1.03395049E-05   5.02224290E-05   2.29814773E-05  
  21               4.69130798E-03   1.90447206E+02   8.38155930E-01   1.60479540E-01   7.51991615E-04   5.03944735E-04   9.06405896E-57   1.03416969E-05   5.02330767E-05   2.29850925E-05  
  22               5.74566749E-03   1.97276926E+02   8.37657086E-01   1.60384028E-01   7.51898515E-04   5.03882345E-04   9.46647368E-55   1.03404166E-05   5.02268576E-05   2.29714125E-05  
  23               7.03305980E-03   2.03964361E+02   8.38155921E-01   1.60479538E-01   7.51997974E-04   5.03948997E-04   6.59739853E-53   1.03417844E-05   5.02335015E-05   2.29850922E-05  
  24               8.60468053E-03   2.11096259E+02   8.38155256E-01   1.60479411E-01   7.52443703E-04   5.04247701E-04   4.53280102E-51   1.03479142E-05   5.02632762E-05   2.29850740E-05  
  25               1.05232316E-02   2.18123171E+02   8.38155261E-01   1.60479412E-01   7.52440321E-04   5.04245434E-04   2.21750368E-49   1.03478677E-05   5.02630503E-05   2.29850741E-05  
  26               1.28632392E-02   2.25654217E+02   8.38155256E-01   1.60479411E-01   7.52443831E-04   5.04247787E-04   1.09742386E-47   1.03479160E-05   5.02632847E-05   2.29850740E-05  
