# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   5.72081045E+01   8.38153497E-01   1.60479070E-01   7.54570804E-04   5.06587935E-04   7.66185729E-06   3.16326930E-109  4.98523009E-05   2.29847361E-05  
  2                5.32695881E-04   7.77890473E+01   8.38153497E-01   1.60479070E-01   7.54571030E-04   5.06588086E-04   7.66185959E-06   4.33407575E-110  4.98523158E-05   2.29847361E-05  
  3                1.10438268E-03   9.25450854E+01   8.38153497E-01   1.60479070E-01   7.54571154E-04   5.06588170E-04   7.66186085E-06   3.01006846E-110  4.98523240E-05   2.29847361E-05  
  4                1.73547462E-03   1.02732115E+02   8.38147033E-01   1.60477832E-01   7.54568904E-04   5.06586659E-04   7.66183800E-06   2.44855436E-107  4.98521754E-05   2.29845589E-05  
  5                2.45239722E-03   1.10750103E+02   8.38058578E-01   1.60460896E-01   7.54567589E-04   5.06585777E-04   7.66182466E-06   1.93848966E-99   4.98520885E-05   2.29821332E-05  
  6                3.27524939E-03   1.18556215E+02   8.38153478E-01   1.60479066E-01   7.54583748E-04   5.06596625E-04   7.66198873E-06   8.98604102E-93   4.98531561E-05   2.29847356E-05  
  7                4.22434403E-03   1.25436953E+02   8.38153359E-01   1.60479044E-01   7.54663165E-04   5.06649942E-04   7.66279513E-06   1.36926476E-87   4.98584029E-05   2.29847324E-05  
  8                5.32189831E-03   1.32668234E+02   8.38153360E-01   1.60479044E-01   7.54662582E-04   5.06649551E-04   7.66278921E-06   1.01642913E-82   4.98583644E-05   2.29847324E-05  
  9                6.59319940E-03   1.39330165E+02   8.38153357E-01   1.60479043E-01   7.54663287E-04   5.06650024E-04   7.66279636E-06   1.10374858E-78   4.98584110E-05   2.29847323E-05  
  10               8.06784130E-03   1.46464683E+02   8.38153350E-01   1.60479042E-01   7.54663310E-04   5.06650039E-04   7.66279659E-06   9.12224799E-75   4.98584125E-05   2.29847321E-05  
  11               9.78005067E-03   1.53091595E+02   8.38153311E-01   1.60479035E-01   7.54663333E-04   5.06650055E-04   7.66279683E-06   1.85199432E-71   4.98584140E-05   2.29847310E-05  
  12               1.17694104E-02   1.60343655E+02   8.38153186E-01   1.60479011E-01   7.54663353E-04   5.06650069E-04   7.66279704E-06   3.76939611E-68   4.98584154E-05   2.29847276E-05  
  13               1.40827889E-02   1.67095926E+02   8.38152671E-01   1.60478912E-01   7.54663481E-04   5.06650154E-04   7.66279833E-06   2.48152505E-65   4.98584238E-05   2.29847135E-05  
  14               1.67747005E-02   1.74470535E+02   8.38151336E-01   1.60478656E-01   7.54662502E-04   5.06649497E-04   7.66278840E-06   1.68077163E-62   4.98583592E-05   2.29846769E-05  
  15               1.99075658E-02   1.81358736E+02   8.38146561E-01   1.60477742E-01   7.54666081E-04   5.06651900E-04   7.66282474E-06   4.54720063E-60   4.98585956E-05   2.29845459E-05  
