# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  34               4.05097104E-02   2.52816758E+02   8.38295176E-01   1.60506202E-01   6.16306266E-04   3.76438593E-04   1.14458299E-04   5.67930365E-05   2.29869021E-05   1.59521204E-42  
  35               4.67276833E-02   2.60485605E+02   8.38295176E-01   1.60506202E-01   6.16306344E-04   3.76438641E-04   1.14458313E-04   5.67930437E-05   2.29869021E-05   3.13377751E-41  
  36               5.38953490E-02   2.68972782E+02   8.38295176E-01   1.60506202E-01   6.16306425E-04   3.76438690E-04   1.14458328E-04   5.67930511E-05   2.29869021E-05   6.96547169E-40  
  37               6.21530106E-02   2.77306483E+02   8.38295176E-01   1.60506202E-01   6.16306503E-04   3.76438738E-04   1.14458343E-04   5.67930583E-05   2.29869021E-05   1.21115949E-38  
  38               7.16589890E-02   2.86641090E+02   8.38295176E-01   1.60506202E-01   6.16306622E-04   3.76438810E-04   1.14458365E-04   5.67930692E-05   2.29869021E-05   2.44772424E-37  
  39               8.25940089E-02   2.95901755E+02   8.38295175E-01   1.60506202E-01   6.16306717E-04   3.76438869E-04   1.14458383E-04   5.67930780E-05   2.29869021E-05   3.98860422E-36  
  40               9.51626261E-02   3.06383971E+02   8.38295175E-01   1.60506202E-01   6.16306822E-04   3.76438932E-04   1.14458402E-04   5.67930877E-05   2.29869021E-05   7.70250223E-35  
  41               1.09590089E-01   3.17370971E+02   8.38295175E-01   1.60506202E-01   6.16306936E-04   3.76439002E-04   1.14458423E-04   5.67930982E-05   2.29869020E-05   1.38995433E-33  
  42               1.26110867E-01   3.31202059E+02   8.38295174E-01   1.60506202E-01   6.16307063E-04   3.76439080E-04   1.14458447E-04   5.67931099E-05   2.29869020E-05   4.09089821E-32  
  43               1.44984156E-01   3.45386485E+02   8.38295172E-01   1.60506201E-01   6.16307212E-04   3.76439170E-04   1.14458474E-04   5.67931236E-05   2.29869019E-05   9.88536074E-31  
  44               1.66537939E-01   3.60177856E+02   8.38295172E-01   1.60506200E-01   6.16307362E-04   3.76439262E-04   1.14458502E-04   5.67931374E-05   2.29869018E-05   2.09324007E-29  
  45               1.91147358E-01   3.75374940E+02   8.38294933E-01   1.60506154E-01   6.16307584E-04   3.76439398E-04   1.14458544E-04   5.67931579E-05   2.29868951E-05   3.74331385E-28  
  46               2.19224731E-01   3.91228789E+02   8.38294959E-01   1.60506128E-01   6.16307373E-04   3.76439269E-04   1.14458504E-04   5.67931384E-05   2.29868915E-05   5.96545157E-27  
  47               2.51227958E-01   4.07517293E+02   8.38294956E-01   1.60506121E-01   6.16312930E-04   3.76442663E-04   1.14459536E-04   5.67936506E-05   2.29868904E-05   8.17828541E-26  
  48               2.87654133E-01   4.24485630E+02   8.38294968E-01   1.60506108E-01   6.16313136E-04   3.76442789E-04   1.14459575E-04   5.67936695E-05   2.29868885E-05   1.00894843E-24  
  49               3.29069069E-01   4.41900257E+02   8.38294984E-01   1.60506077E-01   6.16313369E-04   3.76442932E-04   1.14459618E-04   5.67936910E-05   2.29868841E-05   1.08584831E-23  
  50               3.76112022E-01   4.60032170E+02   8.38294641E-01   1.60505949E-01   6.16313571E-04   3.76443055E-04   1.14459656E-04   5.67937096E-05   2.29868659E-05   1.06342485E-22  
  51               4.29480692E-01   4.78631758E+02   8.38291615E-01   1.60505586E-01   6.16314828E-04   3.76443822E-04   1.14459889E-04   5.67938254E-05   2.29868138E-05   9.21206105E-22  
  52               4.89963194E-01   4.97978713E+02   8.38292119E-01   1.60505081E-01   6.16314827E-04   3.76443822E-04   1.14459889E-04   5.67938253E-05   2.29867415E-05   7.32713067E-21  
  53               5.58428280E-01   5.17802456E+02   8.38292454E-01   1.60504654E-01   6.16363728E-04   3.76473690E-04   1.14468970E-04   5.67983316E-05   2.29866804E-05   5.21287161E-20  
  54               6.35914052E-01   5.38417492E+02   8.38293154E-01   1.60503956E-01   6.16362855E-04   3.76473157E-04   1.14468808E-04   5.67982512E-05   2.29865804E-05   3.43763412E-19  
  55               7.23560686E-01   5.59553263E+02   8.38294224E-01   1.60502887E-01   6.16361773E-04   3.76472497E-04   1.14468607E-04   5.67981515E-05   2.29864274E-05   2.05432743E-18  
  56               8.22594339E-01   5.81525400E+02   8.38295748E-01   1.60501369E-01   6.16359444E-04   3.76471074E-04   1.14468175E-04   5.67979369E-05   2.29862099E-05   1.14701840E-17  
  57               9.34377447E-01   6.04028001E+02   8.38297662E-01   1.60499460E-01   6.16356397E-04   3.76469213E-04   1.14467609E-04   5.67976561E-05   2.29859365E-05   5.85326496E-17  
  58               1.06043884E+00   6.27390605E+02   8.38299887E-01   1.60497242E-01   6.16352825E-04   3.76467031E-04   1.14466946E-04   5.67973269E-05   2.29856189E-05   2.80642358E-16  
  59               1.20252187E+00   6.51303887E+02   8.38302206E-01   1.60494930E-01   6.16349121E-04   3.76464769E-04   1.14466258E-04   5.67969856E-05   2.29852877E-05   1.24052221E-15  
  60               1.36260430E+00   6.76129653E+02   8.38304509E-01   1.60492633E-01   6.16345531E-04   3.76462576E-04   1.14465591E-04   5.67966548E-05   2.29849587E-05   5.18784317E-15  
  61               1.54270858E+00   7.01525644E+02   8.38306627E-01   1.60490516E-01   6.16342358E-04   3.76460638E-04   1.14465002E-04   5.67963624E-05   2.29846555E-05   2.01550321E-14  
  62               1.74491371E+00   7.27815873E+02   8.38308534E-01   1.60488598E-01   6.16339731E-04   3.76459034E-04   1.14464514E-04   5.67961203E-05   2.29843808E-05   7.42690619E-14  
