# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  34               1.87281960E-01   8.10222170E+02   8.38537687E-01   1.60517933E-01   9.28431054E-12   5.08210608E-04   3.02712722E-04   5.99925843E-05   0.00000000E+00   4.01486699E-05  
  35               2.21402238E-01   8.27957898E+02   8.38537873E-01   1.60517712E-01   1.72522700E-11   5.08209865E-04   3.02712279E-04   5.99924966E-05   0.00000000E+00   4.01486112E-05  
  36               2.61283942E-01   8.53501127E+02   8.38538455E-01   1.60517043E-01   4.15636915E-11   5.08209511E-04   3.02712069E-04   5.99924549E-05   0.00000000E+00   4.01485832E-05  
  37               3.07743043E-01   8.74770728E+02   8.38538987E-01   1.60516291E-01   8.17877532E-11   5.08209027E-04   3.02711781E-04   5.99923977E-05   0.00000000E+00   4.01485450E-05  
  38               3.61645825E-01   9.03952772E+02   8.38540447E-01   1.60514297E-01   2.01736265E-10   5.08207069E-04   3.02710614E-04   5.99921665E-05   0.00000000E+00   4.01483903E-05  
  39               4.23846374E-01   9.29148461E+02   8.38541660E-01   1.60511715E-01   4.14743134E-10   5.08218806E-04   3.02717605E-04   5.99935521E-05   0.00000000E+00   4.01493175E-05  
  40               4.95418573E-01   9.62372101E+02   8.38546008E-01   1.60505734E-01   1.03413267E-09   5.08213467E-04   3.02714425E-04   5.99929218E-05   0.00000000E+00   4.01488958E-05  
  41               5.77625472E-01   9.91683853E+02   8.38553407E-01   1.60498373E-01   2.17537803E-09   5.08194687E-04   3.02703238E-04   5.99907047E-05   0.00000000E+00   4.01474119E-05  
  42               6.71763196E-01   1.02888507E+03   8.38568688E-01   1.60483130E-01   5.34651959E-09   5.08179159E-04   3.02693985E-04   5.99888710E-05   7.40353691E-16   4.01461843E-05  
  43               7.79099145E-01   1.06209550E+03   8.38585771E-01   1.60466133E-01   1.11957555E-08   5.08140475E-04   3.02670925E-04   5.99843014E-05   4.58047191E-15   4.01431227E-05  
  44               9.00963534E-01   1.10272608E+03   8.38613072E-01   1.60438894E-01   2.63639890E-08   5.08111350E-04   3.02653498E-04   5.99808505E-05   3.85517745E-14   4.01407899E-05  
  45               1.03885403E+00   1.13907350E+03   8.38637583E-01   1.60414462E-01   5.33320911E-08   5.08059874E-04   3.02622478E-04   5.99747218E-05   2.25297482E-13   4.01365229E-05  
  46               1.19478450E+00   1.18242285E+03   8.38668020E-01   1.60384021E-01   1.17950368E-07   5.08027987E-04   3.02602072E-04   5.99707728E-05   1.66736571E-12   4.01329940E-05  
  47               1.37098105E+00   1.22134354E+03   8.38690708E-01   1.60361293E-01   2.27096571E-07   5.07986687E-04   3.02572056E-04   5.99652751E-05   8.70016171E-12   4.01246407E-05  
  48               1.56973296E+00   1.26691697E+03   8.38714502E-01   1.60337279E-01   4.68510309E-07   5.07975587E-04   3.02547727E-04   5.99621314E-05   5.39770951E-11   4.01030682E-05  
  49               1.79332926E+00   1.30777380E+03   8.38730169E-01   1.60321278E-01   8.51185199E-07   5.07985625E-04   3.02500639E-04   5.99583332E-05   2.40457492E-10   4.00245236E-05  
  50               2.04461498E+00   1.35503381E+03   8.38745005E-01   1.60305770E-01   1.63518807E-06   5.08069689E-04   3.02415284E-04   5.99562430E-05   1.21918252E-09   3.97805488E-05  
  51               2.32668474E+00   1.39747041E+03   8.38753816E-01   1.60296044E-01   2.80514142E-06   5.08275744E-04   3.02237931E-04   5.99541503E-05   4.59827485E-09   3.90829452E-05  
  52               2.64392072E+00   1.44635160E+03   8.38761110E-01   1.60286973E-01   5.05471688E-06   5.08707322E-04   3.01933433E-04   5.99524708E-05   1.93053620E-08   3.74143914E-05  
  53               3.00114103E+00   1.49051023E+03   8.38762505E-01   1.60281157E-01   8.25152040E-06   5.09535139E-04   3.01627023E-04   5.99544730E-05   6.28087562E-08   3.40858984E-05  
  54               3.40125018E+00   1.54112301E+03   8.38751172E-01   1.60274080E-01   1.40653523E-05   5.10889341E-04   3.01761494E-04   5.99536526E-05   2.22105778E-07   2.85657793E-05  
  55               3.84503387E+00   1.58686216E+03   8.38746724E-01   1.60272891E-01   2.19490710E-05   5.13021260E-04   3.03944420E-04   5.99732514E-05   4.78795211E-07   2.22327892E-05  
  56               4.32325988E+00   1.63941670E+03   8.38729872E-01   1.60268330E-01   3.57842697E-05   5.15502377E-04   3.07339431E-04   5.99760803E-05   2.65045315E-06   1.66067194E-05  
  57               4.82300733E+00   1.68639696E+03   8.38692840E-01   1.60262913E-01   5.37153148E-05   5.18335653E-04   3.17181444E-04   6.00007795E-05   9.87147894E-06   1.26918651E-05  
  58               5.28025530E+00   1.72922452E+03   8.38617073E-01   1.60253718E-01   7.64808506E-05   5.20847733E-04   3.38868242E-04   6.00102662E-05   2.64413205E-05   9.52213023E-06  
  59               5.70420560E+00   1.76312287E+03   8.38528724E-01   1.60249060E-01   9.95282547E-05   5.23140240E-04   3.70128563E-04   6.00755877E-05   6.49413345E-05   7.01717888E-06  
  60               6.15424792E+00   1.80053379E+03   8.38492018E-01   1.60244548E-01   1.31998616E-04   5.24179938E-04   3.78820783E-04   6.00782017E-05   6.48148402E-05   5.94451974E-06  
  61               6.52878597E+00   1.82670567E+03   8.38455330E-01   1.60239826E-01   1.59119088E-04   5.24992464E-04   3.81293547E-04   6.00964941E-05   6.47163492E-05   5.39376753E-06  
  62               6.80277502E+00   1.84830148E+03   8.38431053E-01   1.60237452E-01   1.85514819E-04   5.25469927E-04   3.81483306E-04   6.00972907E-05   6.46411333E-05   4.93005332E-06  
  63               7.11837040E+00   1.86831481E+03   8.38406657E-01   1.60235182E-01   2.12343122E-04   5.25786626E-04   3.81269541E-04   6.00939626E-05   6.45619893E-05   4.61552356E-06  
  64               7.48011284E+00   1.89441965E+03   8.38369578E-01   1.60231758E-01   2.53215717E-04   5.26170542E-04   3.80886856E-04   6.00941109E-05   6.44662325E-05   4.17873436E-06  
  65               7.89269271E+00   1.91887227E+03   8.38299183E-01   1.60222240E-01   2.96068802E-04   5.26459514E-04   3.80480370E-04   6.00887123E-05   6.43630879E-05   3.87831508E-06  
  66               8.36409025E+00   1.94969134E+03   8.38240975E-01   1.60217025E-01   3.59996873E-04   5.26685864E-04   3.80053888E-04   6.00866776E-05   6.42433264E-05   3.48813502E-06  
  67               8.71933634E+00   1.96846293E+03   8.38201405E-01   1.60213477E-01   4.02880277E-04   5.27049592E-04   3.79972925E-04   6.01348046E-05   6.41604321E-05   3.32094605E-06  
  68               8.97590920E+00   1.98514051E+03   8.38161943E-01   1.60209968E-01   4.46090583E-04   5.27152148E-04   3.79747977E-04   6.01351142E-05   6.40953204E-05   3.13657866E-06  
  69               9.27454898E+00   1.99963832E+03   8.38126480E-01   1.60206841E-01   4.84819229E-04   5.27230496E-04   3.79583292E-04   6.01274404E-05   6.40279503E-05   3.03371061E-06  
  70               9.62026875E+00   2.02037165E+03   8.38068938E-01   1.60201744E-01   5.47571543E-04   5.27395646E-04   3.79408047E-04   6.01265887E-05   6.39431556E-05   2.84195187E-06  
  71               1.00180336E+01   2.03900821E+03   8.38014353E-01   1.60196945E-01   6.07103286E-04   5.27485574E-04   3.79243583E-04   6.01159556E-05   6.38548094E-05   2.72714293E-06  
  72               1.04723247E+01   2.06401014E+03   8.37930687E-01   1.60189574E-01   6.98338461E-04   5.27643190E-04   3.79018237E-04   6.01129398E-05   6.37473758E-05   2.53884768E-06  
  73               1.09930665E+01   2.08703542E+03   8.37847737E-01   1.60182303E-01   7.88719652E-04   5.27722524E-04   3.78846017E-04   6.00972075E-05   6.36345638E-05   2.42152043E-06  
  74               1.15870784E+01   2.11673136E+03   8.37724394E-01   1.60171480E-01   9.23096596E-04   5.27855116E-04   3.78611441E-04   6.00903884E-05   6.34997385E-05   2.24419259E-06  
  75               1.22622634E+01   2.14433662E+03   8.37599044E-01   1.60160518E-01   1.05957874E-03   5.27912521E-04   3.78436500E-04   6.00678716E-05   6.33583407E-05   2.13282253E-06  
  76               1.30262858E+01   2.17864807E+03   8.37418042E-01   1.60144679E-01   1.25664310E-03   5.28004580E-04   3.78200620E-04   6.00550261E-05   6.31927878E-05   1.97448789E-06  
  77               1.38883789E+01   2.21063838E+03   8.37231668E-01   1.60128406E-01   1.45947160E-03   5.28027204E-04   3.78024700E-04   6.00256811E-05   6.30197562E-05   1.87627533E-06  
  78               1.48573261E+01   2.24926673E+03   8.36969035E-01   1.60105465E-01   1.74528797E-03   5.28065730E-04   3.77789844E-04   6.00038516E-05   6.28205184E-05   1.74159865E-06  
  79               1.59443091E+01   2.28523940E+03   8.36695717E-01   1.60081416E-01   2.04047963E-03   5.28039912E-04   3.77624710E-04   5.99681880E-05   6.26130500E-05   1.66085989E-06  
  80               1.71596174E+01   2.32770978E+03   8.36313212E-01   1.60048564E-01   2.44755375E-03   5.28042828E-04   3.83612768E-04   5.99364954E-05   6.23774481E-05   1.52618346E-06  
  81               1.85164430E+01   2.36714996E+03   8.35927833E-01   1.60014967E-01   2.86661554E-03   5.27959593E-04   3.83550459E-04   5.98931530E-05   6.21335166E-05   1.46487359E-06  
  82               2.00250513E+01   2.41284262E+03   8.35407765E-01   1.59969617E-01   3.43222071E-03   5.27857210E-04   3.83415854E-04   5.98473065E-05   6.18597887E-05   1.38076775E-06  
  83               2.16900321E+01   2.45477432E+03   8.34881745E-01   1.59923775E-01   4.00425664E-03   5.27705214E-04   3.83305721E-04   5.97926557E-05   6.15798928E-05   1.33826151E-06  
  84               2.35387846E+01   2.50273466E+03   8.34185611E-01   1.59863093E-01   4.76134947E-03   5.27518664E-04   3.83127623E-04   5.97327848E-05   6.12682075E-05   1.27685948E-06  
  85               2.55936694E+01   2.54733595E+03   8.33476756E-01   1.59801327E-01   5.53222533E-03   5.27286433E-04   3.82977355E-04   5.96638503E-05   6.09469754E-05   1.24979902E-06  
  86               2.78730619E+01   2.59745634E+03   8.32563205E-01   1.59721712E-01   6.52575538E-03   5.27003040E-04   3.82759295E-04   5.95865272E-05   6.05926564E-05   1.20817565E-06  
  87               3.03993813E+01   2.64431696E+03   8.31634833E-01   1.59640828E-01   7.53534198E-03   5.26677856E-04   3.82574665E-04   5.94999415E-05   6.02281389E-05   1.19512596E-06  
