# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               H2S              Mg              
  34               6.33951467E-02   5.78965725E+02   8.38526503E-01   1.60521370E-01   3.38054061E-17   5.23707438E-04   3.18316183E-04   6.02095286E-05   2.29912930E-05   0.00000000E+00  
  35               7.30985585E-02   5.95313879E+02   8.38527134E-01   1.60520740E-01   1.10288907E-16   5.23706559E-04   3.18315648E-04   6.02094276E-05   2.29912028E-05   0.00000000E+00  
  36               8.41859891E-02   6.14694937E+02   8.38527817E-01   1.60520058E-01   4.16997868E-16   5.23705701E-04   3.18315127E-04   6.02093290E-05   2.29911051E-05   0.00000000E+00  
  37               9.68190425E-02   6.34144097E+02   8.38528352E-01   1.60519523E-01   1.45583857E-15   5.23705026E-04   3.18314717E-04   6.02092513E-05   2.29910285E-05   0.00000000E+00  
  38               1.11190273E-01   6.56988252E+02   8.38528891E-01   1.60518979E-01   5.80098513E-15   5.23704469E-04   3.18314378E-04   6.02091874E-05   2.29909506E-05   0.00000000E+00  
  39               1.27510963E-01   6.80163294E+02   8.38529293E-01   1.60518554E-01   2.14015240E-14   5.23704304E-04   3.18314278E-04   6.02091684E-05   2.29908897E-05   0.00000000E+00  
  40               1.45994779E-01   7.07035927E+02   8.38529514E-01   1.60518113E-01   8.79844556E-14   5.23707130E-04   3.18315996E-04   6.02094933E-05   2.29908265E-05   0.00000000E+00  
  41               1.66821805E-01   7.36423944E+02   8.38529800E-01   1.60517747E-01   3.67942394E-13   5.23710287E-04   3.18317915E-04   6.02098562E-05   2.29907740E-05   0.00000000E+00  
  42               1.90217175E-01   7.64930420E+02   8.38529900E-01   1.60517435E-01   1.32076558E-12   5.23709976E-04   3.18317725E-04   6.02098204E-05   2.29907289E-05   0.00000000E+00  
  43               2.16477656E-01   7.95608208E+02   8.38530215E-01   1.60517107E-01   4.72596822E-12   5.23709613E-04   3.18317505E-04   6.02097787E-05   2.29909976E-05   0.00000000E+00  
