# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.80141760E+02   8.38484877E-01   1.60530931E-01   2.48506588E-36   5.28751912E-04   3.63144455E-04   6.04036575E-05   0.00000000E+00   2.29903761E-05  
  2                1.87624688E-05   3.29563444E+02   8.38501423E-01   1.60514423E-01   2.26230424E-30   5.28732331E-04   3.63131007E-04   6.04014207E-05   0.00000000E+00   2.29880119E-05  
  3                2.85937453E-05   3.49428813E+02   8.38502705E-01   1.60513144E-01   1.69631521E-28   5.28730986E-04   3.63130083E-04   6.04012670E-05   0.00000000E+00   2.29878287E-05  
  4                4.01439506E-05   3.63317525E+02   8.38503148E-01   1.60512702E-01   2.53239973E-27   5.28730699E-04   3.63129886E-04   6.04012342E-05   0.00000000E+00   2.29877654E-05  
  5                5.38374416E-05   3.75900428E+02   8.38500538E-01   1.60511862E-01   2.46026242E-26   5.28730708E-04   3.63129893E-04   6.04012353E-05   0.00000000E+00   2.29876451E-05  
  6                7.01350289E-05   3.86648458E+02   8.38500980E-01   1.60511423E-01   1.50505020E-25   5.28729311E-04   3.63128933E-04   6.04010757E-05   0.00000000E+00   2.29875822E-05  
  7                8.95661025E-05   3.97845163E+02   8.38501124E-01   1.60511270E-01   9.02471510E-25   5.28732797E-04   3.63131327E-04   6.04014739E-05   0.00000000E+00   2.29875604E-05  
  8                1.12766877E-04   4.07266193E+02   8.38501196E-01   1.60511190E-01   3.71032502E-24   5.28733171E-04   3.63131584E-04   6.04015166E-05   0.00000000E+00   2.29875489E-05  
  9                1.40561529E-04   4.15514869E+02   8.38501205E-01   1.60511146E-01   1.19771829E-23   5.28733649E-04   3.63131912E-04   6.04015712E-05   0.00000000E+00   2.29875426E-05  
  10               1.73906511E-04   4.23634868E+02   8.38501128E-01   1.60511113E-01   3.62387080E-23   5.28734246E-04   3.63132322E-04   6.04016394E-05   0.00000000E+00   2.29875379E-05  
