# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  1                1.00000000E-05   1.79848513E+02   8.38512248E-01   1.60547757E-01   5.09933365E-04   3.02998848E-04   6.05813646E-59   6.00198404E-05   3.85027590E-05   2.29930700E-05  
  2                1.10770855E-04   2.10589353E+02   8.38512248E-01   1.60547757E-01   5.09933361E-04   3.02998846E-04   2.96632554E-50   6.00198399E-05   3.85027587E-05   2.29930700E-05  
  3                2.20204021E-04   2.35048930E+02   8.38512248E-01   1.60547757E-01   5.09933349E-04   3.02998839E-04   8.63873851E-45   6.00198385E-05   3.85027578E-05   2.29930700E-05  
  4                3.42799013E-04   2.44824839E+02   8.38512248E-01   1.60547757E-01   5.09933335E-04   3.02998830E-04   5.90495157E-43   6.00198369E-05   3.85027568E-05   2.29930700E-05  
  5                4.82317692E-04   2.59082460E+02   8.38512248E-01   1.60547756E-01   5.09933319E-04   3.02998821E-04   1.78995824E-40   6.00198351E-05   3.85027556E-05   2.29930699E-05  
  6                6.42005401E-04   2.64845408E+02   8.38512249E-01   1.60547756E-01   5.09933303E-04   3.02998812E-04   1.39954763E-39   6.00198332E-05   3.85027544E-05   2.29930699E-05  
  7                8.25584280E-04   2.76385751E+02   8.38512250E-01   1.60547755E-01   5.09933285E-04   3.02998801E-04   7.67307146E-38   6.00198310E-05   3.85027530E-05   2.29930697E-05  
  8                1.03698393E-03   2.81023379E+02   8.38512250E-01   1.60547754E-01   5.09933268E-04   3.02998790E-04   3.27274593E-37   6.00198290E-05   3.85027517E-05   2.29930697E-05  
  9                1.28083371E-03   2.91686799E+02   8.38512254E-01   1.60547751E-01   5.09933244E-04   3.02998777E-04   8.90646276E-36   6.00198262E-05   3.85027499E-05   2.29930691E-05  
  10               1.56226906E-03   2.95986259E+02   8.38512255E-01   1.60547750E-01   5.09933224E-04   3.02998765E-04   2.97518961E-35   6.00198239E-05   3.85027484E-05   2.29930690E-05  
  11               1.88738025E-03   3.06327577E+02   8.38512265E-01   1.60547739E-01   5.09933190E-04   3.02998744E-04   5.38523410E-34   6.00198199E-05   3.85027458E-05   2.29930675E-05  
  12               2.26307167E-03   3.10469940E+02   8.38512268E-01   1.60547737E-01   5.09933172E-04   3.02998734E-04   1.54117139E-33   6.00198177E-05   3.85027444E-05   2.29930672E-05  
  13               2.69754869E-03   3.20514851E+02   8.38512289E-01   1.60547714E-01   5.09933117E-04   3.02998701E-04   1.99354114E-32   6.00198112E-05   3.85027403E-05   2.29930638E-05  
  14               3.20010300E-03   3.24618441E+02   8.38512294E-01   1.60547709E-01   5.09933110E-04   3.02998697E-04   5.15123573E-32   6.00198104E-05   3.85027398E-05   2.29930632E-05  
  15               3.78171910E-03   3.34575115E+02   8.38512341E-01   1.60547662E-01   5.09933020E-04   3.02998643E-04   5.25280761E-31   6.00197998E-05   3.85027330E-05   2.29930565E-05  
  16               4.45491823E-03   3.38700970E+02   8.38512343E-01   1.60547653E-01   5.09932973E-04   3.02998615E-04   1.25840907E-30   6.00197943E-05   3.85027294E-05   2.29930552E-05  
  17               5.23432430E-03   3.48771222E+02   8.38512434E-01   1.60547562E-01   5.09932909E-04   3.02998577E-04   1.08820279E-29   6.00197868E-05   3.85027246E-05   2.29930422E-05  
  18               6.13663140E-03   3.53141442E+02   8.38512451E-01   1.60547546E-01   5.09932844E-04   3.02998539E-04   2.55146535E-29   6.00197791E-05   3.85027197E-05   2.29930398E-05  
  19               7.18134718E-03   3.63557771E+02   8.38512593E-01   1.60547371E-01   5.09932529E-04   3.02998351E-04   1.98614971E-28   6.00197420E-05   3.85026959E-05   2.29930147E-05  
  20               8.39082583E-03   3.68207501E+02   8.38512626E-01   1.60547335E-01   5.09933503E-04   3.02998930E-04   4.57579036E-28   6.00198566E-05   3.85027694E-05   2.29930097E-05  
  21               9.79103573E-03   3.78982921E+02   8.38512930E-01   1.60547032E-01   5.09933038E-04   3.02998654E-04   3.22150833E-27   6.00198020E-05   3.85027344E-05   2.29929662E-05  
  22               1.14114486E-02   3.84081777E+02   8.38512999E-01   1.60546964E-01   5.09932858E-04   3.02998547E-04   7.49193944E-27   6.00197808E-05   3.85027207E-05   2.29929565E-05  
  23               1.32861966E-02   3.95457506E+02   8.38513406E-01   1.60546406E-01   5.09932061E-04   3.02998073E-04   4.97223319E-26   6.00196869E-05   3.85026606E-05   2.29928766E-05  
  24               1.54541372E-02   4.01214995E+02   8.38513566E-01   1.60546247E-01   5.09931644E-04   3.02997826E-04   1.19695403E-25   6.00196378E-05   3.85026291E-05   2.29928537E-05  
  25               1.79601136E-02   4.13303270E+02   8.38514468E-01   1.60545348E-01   5.09929907E-04   3.02996793E-04   7.55169067E-25   6.00194334E-05   3.85024979E-05   2.29927250E-05  
  26               2.08545560E-02   4.19893920E+02   8.38514752E-01   1.60545042E-01   5.09941086E-04   3.03003436E-04   1.90309446E-24   6.00207492E-05   3.85033420E-05   2.29926812E-05  
  27               2.41961275E-02   4.32933886E+02   8.38515532E-01   1.60543485E-01   5.09938974E-04   3.03002181E-04   1.16656401E-23   6.00205007E-05   3.85031826E-05   2.29924583E-05  
  28               2.80511296E-02   4.40699581E+02   8.38516123E-01   1.60542826E-01   5.09937483E-04   3.03001295E-04   3.16274750E-23   6.00203251E-05   3.85030700E-05   2.29923638E-05  
  29               3.24950062E-02   4.55206236E+02   8.38517879E-01   1.60540668E-01   5.09935167E-04   3.02999919E-04   1.97235795E-22   6.00200526E-05   3.85028951E-05   2.29920547E-05  
  30               3.76091598E-02   4.64830397E+02   8.38518696E-01   1.60539847E-01   5.09937214E-04   3.03001135E-04   6.07445259E-22   6.00202935E-05   3.85030497E-05   2.29919371E-05  
  31               4.34896029E-02   4.80513207E+02   8.38519038E-01   1.60536809E-01   5.09932120E-04   3.02998109E-04   3.59227577E-21   6.00196939E-05   3.85026650E-05   2.29915021E-05  
  32               5.02462415E-02   4.91186618E+02   8.38520468E-01   1.60535327E-01   5.09960898E-04   3.03015208E-04   1.10064548E-20   6.00230811E-05   3.85048379E-05   2.29912899E-05  
  33               5.80017345E-02   5.08322733E+02   8.38523154E-01   1.60532648E-01   5.09957002E-04   3.03012893E-04   6.25720986E-20   6.00226225E-05   3.85045437E-05   2.29909062E-05  
  34               6.68906025E-02   5.20774149E+02   8.38524519E-01   1.60531288E-01   5.09954783E-04   3.03011575E-04   2.01488105E-19   6.00223614E-05   3.85043762E-05   2.29907114E-05  
  35               7.70699568E-02   5.39861741E+02   8.38526956E-01   1.60528858E-01   5.09951229E-04   3.03009463E-04   1.12611995E-18   6.00219431E-05   3.85041079E-05   2.29903634E-05  
  36               8.87072342E-02   5.54804717E+02   8.38528292E-01   1.60527526E-01   5.09949087E-04   3.03008190E-04   3.91831957E-18   6.00216910E-05   3.85039461E-05   2.29901726E-05  
  37               1.01983778E-01   5.76787925E+02   8.38530319E-01   1.60525504E-01   5.09946104E-04   3.03006418E-04   2.24342254E-17   6.00213398E-05   3.85037209E-05   2.29898831E-05  
  38               1.17090272E-01   5.95281648E+02   8.38531511E-01   1.60524315E-01   5.09944214E-04   3.03005295E-04   8.69331594E-17   6.00211174E-05   3.85035782E-05   2.29897128E-05  
  39               1.34227997E-01   6.21207078E+02   8.38533043E-01   1.60522787E-01   5.09941915E-04   3.03003929E-04   5.18524978E-16   6.00208468E-05   3.85034046E-05   2.29894940E-05  
  40               1.53585311E-01   6.45515957E+02   8.38534049E-01   1.60521781E-01   5.09940340E-04   3.03002993E-04   2.41148563E-15   6.00206613E-05   3.85032856E-05   2.29893499E-05  
  41               1.75454125E-01   6.72880038E+02   8.38534918E-01   1.60520904E-01   5.09939025E-04   3.03002211E-04   1.19676089E-14   6.00205066E-05   3.85031864E-05   2.29892243E-05  
  42               2.00136862E-01   6.98510794E+02   8.38535461E-01   1.60520321E-01   5.09938251E-04   3.03001751E-04   4.75471603E-14   6.00204155E-05   3.85031279E-05   2.29891406E-05  
  43               2.27951691E-01   7.27405968E+02   8.38535805E-01   1.60519770E-01   5.09938062E-04   3.03001639E-04   2.01354461E-13   6.00203932E-05   3.85031136E-05   2.29890618E-05  
  44               2.59234227E-01   7.54368395E+02   8.38535930E-01   1.60519375E-01   5.09940474E-04   3.03003072E-04   6.95804733E-13   6.00206771E-05   3.85032958E-05   2.29890049E-05  
  45               2.94357033E-01   7.84765863E+02   8.38536273E-01   1.60519021E-01   5.09942988E-04   3.03004566E-04   2.55446976E-12   6.00209730E-05   3.85034856E-05   2.29889537E-05  
  46               3.33814306E-01   8.13077735E+02   8.38536564E-01   1.60518712E-01   5.09942396E-04   3.03004215E-04   7.80392317E-12   6.00209034E-05   3.85034409E-05   2.29929146E-05  
  47               3.78103200E-01   8.45083085E+02   8.38536989E-01   1.60518223E-01   5.09941667E-04   3.03003781E-04   2.53234692E-11   6.00208176E-05   3.85033859E-05   2.30066483E-05  
  48               4.27707920E-01   8.74780588E+02   8.38537524E-01   1.60517475E-01   5.09940975E-04   3.03003370E-04   6.93997574E-11   6.00207362E-05   3.85033337E-05   2.30460642E-05  
  49               4.83130086E-01   9.08299934E+02   8.38538599E-01   1.60515783E-01   5.09940490E-04   3.03003082E-04   2.01002958E-10   6.00206790E-05   3.85032970E-05   2.31830925E-05  
  50               5.44858415E-01   9.39204499E+02   8.38540087E-01   1.60512836E-01   5.09942295E-04   3.03004155E-04   4.97479212E-10   6.00208915E-05   3.85034333E-05   2.35299898E-05  
  51               6.13570763E-01   9.74089669E+02   8.38544669E-01   1.60506730E-01   5.09943251E-04   3.03004722E-04   1.29748543E-09   6.00210040E-05   3.85035055E-05   2.42927265E-05  
  52               6.90022595E-01   1.00619376E+03   8.38553728E-01   1.60497700E-01   5.09928208E-04   3.02995783E-04   2.93571663E-09   6.00192333E-05   3.85023695E-05   2.42912836E-05  
  53               7.74956531E-01   1.04248583E+03   8.38570013E-01   1.60481470E-01   5.09902541E-04   3.02980527E-04   6.98813342E-09   6.00162114E-05   3.85004305E-05   2.42886764E-05  
  54               8.69103468E-01   1.07573199E+03   8.38589423E-01   1.60462125E-01   5.09871273E-04   3.02961932E-04   1.45913656E-08   6.00125282E-05   3.84980643E-05   2.42855211E-05  
  55               9.73289274E-01   1.11330091E+03   8.38616507E-01   1.60435119E-01   5.09829556E-04   3.02937077E-04   3.19521145E-08   6.00076074E-05   3.84948869E-05   2.42810103E-05  
  56               1.08839514E+00   1.14756500E+03   8.38641503E-01   1.60410175E-01   5.09790185E-04   3.02913409E-04   6.20219925E-08   6.00029339E-05   3.84917579E-05   2.42766336E-05  
  57               1.21565105E+00   1.18638573E+03   8.38669863E-01   1.60381828E-01   5.09748003E-04   3.02887270E-04   1.26147767E-07   5.99978299E-05   3.84877839E-05   2.42712775E-05  
  58               1.35633752E+00   1.22177787E+03   8.38691795E-01   1.60359841E-01   5.09717226E-04   3.02864849E-04   2.30111818E-07   5.99937338E-05   3.84815233E-05   2.42665041E-05  
  59               1.51171534E+00   1.26195037E+03   8.38713831E-01   1.60337632E-01   5.09695326E-04   3.02838277E-04   4.39143525E-07   5.99897505E-05   3.84638740E-05   2.42606507E-05  
  60               1.68303252E+00   1.29844723E+03   8.38729102E-01   1.60322080E-01   5.09701458E-04   3.02803711E-04   7.57858356E-07   5.99868451E-05   3.84075812E-05   2.42549261E-05  
  61               1.87193852E+00   1.33791100E+03   8.38742481E-01   1.60308221E-01   5.09748487E-04   3.02742468E-04   1.32491518E-06   5.99843519E-05   3.82486193E-05   2.42469770E-05  
  62               2.08046536E+00   1.37281290E+03   8.38750824E-01   1.60299321E-01   5.09869103E-04   3.02634904E-04   2.09745808E-06   5.99826370E-05   3.78505445E-05   2.42367646E-05  
  63               2.31098281E+00   1.41180495E+03   8.38758240E-01   1.60291035E-01   5.10100544E-04   3.02458714E-04   3.42424338E-06   5.99811127E-05   3.69921276E-05   2.42150575E-05  
  64               2.56637684E+00   1.44696172E+03   8.38760772E-01   1.60285372E-01   5.10504068E-04   3.02230103E-04   5.17105439E-06   5.99801728E-05   3.53444419E-05   2.41732867E-05  
  65               2.84938163E+00   1.48708866E+03   8.38764488E-01   1.60280588E-01   5.11157621E-04   3.02034257E-04   8.12234844E-06   5.99796095E-05   3.25178452E-05   2.38209749E-05  
  66               3.16202295E+00   1.52427148E+03   8.38751674E-01   1.60274513E-01   5.12154098E-04   3.02153032E-04   1.20143142E-05   5.99806192E-05   2.84182657E-05   2.37998242E-05  
  67               3.50431157E+00   1.56748488E+03   8.38749615E-01   1.60273377E-01   5.13729851E-04   3.03435594E-04   1.86187925E-05   6.00000910E-05   2.29109422E-05   2.19415596E-05  
  68               3.87244677E+00   1.60953164E+03   8.38742302E-01   1.60270359E-01   5.15477947E-04   3.05182219E-04   2.78159701E-05   6.00014087E-05   1.81297994E-05   2.19149117E-05  
  69               4.25747419E+00   1.65188189E+03   8.38722672E-01   1.60266519E-01   5.17474329E-04   3.09372015E-04   4.08528538E-05   6.00058295E-05   1.42342001E-05   2.18050204E-05  
  70               4.64817086E+00   1.69026640E+03   8.38687651E-01   1.60261924E-01   5.19533631E-04   3.18880162E-04   5.67692605E-05   6.00197234E-05   1.13332863E-05   2.15483373E-05  
  71               5.02579975E+00   1.72653567E+03   8.38629577E-01   1.60255676E-01   5.21448090E-04   3.35288518E-04   7.65000709E-05   6.00437291E-05   8.88624397E-06   2.11101446E-05  
  72               5.37250553E+00   1.75646594E+03   8.38565213E-01   1.60250198E-01   5.23226704E-04   3.55151257E-04   9.67370203E-05   6.01035290E-05   7.13982123E-06   2.06351548E-05  
  73               5.67732885E+00   1.78298078E+03   8.38510822E-01   1.60246780E-01   5.24284215E-04   3.72329945E-04   1.18448610E-04   6.01079320E-05   5.87820763E-06   2.02717837E-05  
