# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   3.84218117E+02   8.38494532E-01   1.60509035E-01   2.59286439E-25   5.29353155E-04   3.74469514E-04   6.06164038E-05   0.00000000E+00   0.00000000E+00  
  2                2.84279040E-05   4.61019743E+02   8.38494345E-01   1.60509226E-01   1.38305419E-20   5.29354129E-04   3.74470202E-04   6.06165148E-05   0.00000000E+00   0.00000000E+00  
  3                4.82455509E-05   4.92014128E+02   8.38494376E-01   1.60509208E-01   3.88727289E-19   5.29352552E-04   3.74469087E-04   6.06163336E-05   0.00000000E+00   0.00000000E+00  
  4                7.05547904E-05   5.15800879E+02   8.38494431E-01   1.60509173E-01   3.80648686E-18   5.29350515E-04   3.74467646E-04   6.06160997E-05   0.00000000E+00   0.00000000E+00  
  5                9.59645193E-05   5.32479099E+02   8.38494501E-01   1.60509117E-01   1.62018157E-17   5.29347777E-04   3.74465710E-04   6.06157857E-05   0.00000000E+00   0.00000000E+00  
  6                1.25102379E-04   5.48631962E+02   8.38494646E-01   1.60508993E-01   6.10748938E-17   5.29344483E-04   3.74463380E-04   6.06154081E-05   0.00000000E+00   0.00000000E+00  
  7                1.58625256E-04   5.61273459E+02   8.38494819E-01   1.60508829E-01   1.60373256E-16   5.29339878E-04   3.74460123E-04   6.06148804E-05   0.00000000E+00   0.00000000E+00  
  8                1.97269029E-04   5.74921531E+02   8.38495177E-01   1.60508487E-01   4.39577277E-16   5.29337319E-04   3.74458312E-04   6.06145868E-05   0.00000000E+00   0.00000000E+00  
  9                2.41869629E-04   5.85834865E+02   8.38495556E-01   1.60508106E-01   9.34651202E-16   5.29329296E-04   3.74452637E-04   6.06136678E-05   0.00000000E+00   0.00000000E+00  
  10               2.93393381E-04   5.98114262E+02   8.38496308E-01   1.60507367E-01   2.14311389E-15   5.29327402E-04   3.74451297E-04   6.06134506E-05   0.00000000E+00   0.00000000E+00  
  11               3.52950203E-04   6.08002726E+02   8.38496995E-01   1.60506636E-01   4.01042132E-15   5.29319631E-04   3.74445800E-04   6.06125604E-05   0.00000000E+00   0.00000000E+00  
  12               4.21820837E-04   6.19557803E+02   8.38498394E-01   1.60505249E-01   8.25783553E-15   5.29317645E-04   3.74444395E-04   6.06123327E-05   0.00000000E+00   0.00000000E+00  
  13               5.01488593E-04   6.28979991E+02   8.38499486E-01   1.60503955E-01   1.43594265E-14   5.29309616E-04   3.74438715E-04   6.06114129E-05   0.00000000E+00   0.00000000E+00  
  14               5.93702148E-04   6.40257507E+02   8.38501899E-01   1.60501554E-01   2.76930987E-14   5.29306799E-04   3.74436722E-04   6.06110900E-05   0.00000000E+00   0.00000000E+00  
  15               7.00476926E-04   6.49529035E+02   8.38503980E-01   1.60499491E-01   4.60037024E-14   5.29298196E-04   3.74430637E-04   6.06101046E-05   0.00000000E+00   0.00000000E+00  
  16               8.24139444E-04   6.60780080E+02   8.38507690E-01   1.60495578E-01   8.49134852E-14   5.29293887E-04   3.74427589E-04   6.06096109E-05   0.00000000E+00   0.00000000E+00  
  17               9.67371170E-04   6.70043935E+02   8.38510848E-01   1.60492436E-01   1.36422798E-13   5.29284448E-04   3.74420912E-04   6.06085297E-05   0.00000000E+00   0.00000000E+00  
  18               1.13326357E-03   6.81391697E+02   8.38516660E-01   1.60486641E-01   2.43519644E-13   5.29278007E-04   3.74416355E-04   6.06077919E-05   0.00000000E+00   0.00000000E+00  
  19               1.32536107E-03   6.90850328E+02   8.38521242E-01   1.60482079E-01   3.83548756E-13   5.29267310E-04   3.74408789E-04   6.06065668E-05   0.00000000E+00   0.00000000E+00  
