# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  34               5.29688102E-02   4.49939241E+02   8.38462387E-01   1.60534992E-01   4.09733595E-04   3.68912512E-04   7.84828099E-23   1.34322662E-04   5.99290338E-05   2.29914898E-05  
  35               6.10867898E-02   4.63700307E+02   8.38460598E-01   1.60533227E-01   4.09732897E-04   3.68911884E-04   4.15120756E-22   1.34322433E-04   5.99289420E-05   2.29912371E-05  
  36               7.03673582E-02   4.81475699E+02   8.38462961E-01   1.60530801E-01   4.09759662E-04   3.68935983E-04   3.15111632E-21   1.34331208E-04   5.99328678E-05   2.29908896E-05  
  37               8.09614234E-02   4.97220719E+02   8.38465195E-01   1.60528576E-01   4.09755995E-04   3.68932681E-04   1.66305895E-20   1.34330006E-04   5.99323430E-05   2.29905709E-05  
  38               9.30216720E-02   5.17914889E+02   8.38468587E-01   1.60525196E-01   4.09751419E-04   3.68928562E-04   1.29168094E-19   1.34328506E-04   5.99316861E-05   2.29900869E-05  
  39               1.06696574E-01   5.39175241E+02   8.38471815E-01   1.60521980E-01   4.09746591E-04   3.68924216E-04   8.99267254E-19   1.34326923E-04   5.99309934E-05   2.29896263E-05  
  40               1.22192762E-01   5.61953118E+02   8.38474780E-01   1.60519026E-01   4.09742267E-04   3.68920323E-04   6.11661914E-18   1.34325506E-04   5.99303754E-05   2.29892032E-05  
  41               1.39739684E-01   5.84482140E+02   8.38477073E-01   1.60516742E-01   4.09738463E-04   3.68916899E-04   3.50293015E-17   1.34324259E-04   5.99298350E-05   2.29888761E-05  
  42               1.59581587E-01   6.08629338E+02   8.38479002E-01   1.60514821E-01   4.09735163E-04   3.68913928E-04   1.97243374E-16   1.34323177E-04   5.99293700E-05   2.29886010E-05  
  43               1.81979057E-01   6.32464678E+02   8.38480414E-01   1.60513415E-01   4.09732187E-04   3.68911249E-04   9.50454529E-16   1.34322201E-04   5.99289550E-05   2.29883996E-05  
  44               2.07255534E-01   6.58011008E+02   8.38481574E-01   1.60512257E-01   4.09729437E-04   3.68908774E-04   4.52345114E-15   1.34321300E-04   5.99285761E-05   2.29882338E-05  
  45               2.35785256E-01   6.83256087E+02   8.38482407E-01   1.60511416E-01   4.09726790E-04   3.68906391E-04   1.87729895E-14   1.34320432E-04   5.99282162E-05   2.29881133E-05  
  46               2.67961605E-01   7.10339927E+02   8.38483069E-01   1.60510713E-01   4.09724235E-04   3.68904093E-04   7.73192729E-14   1.34319595E-04   5.99278743E-05   2.29880126E-05  
  47               3.04190094E-01   7.37069818E+02   8.38483409E-01   1.60510170E-01   4.09721998E-04   3.68902080E-04   2.81207194E-13   1.34318862E-04   5.99275836E-05   2.29879347E-05  
  48               3.44888518E-01   7.65662495E+02   8.38483634E-01   1.60509693E-01   4.09721369E-04   3.68901515E-04   1.01392895E-12   1.34318656E-04   5.99275331E-05   2.29878661E-05  
  49               3.90578154E-01   7.93829202E+02   8.38483974E-01   1.60509346E-01   4.09720774E-04   3.68900981E-04   3.26437271E-12   1.34318461E-04   5.99274916E-05   2.29878159E-05  
  50               4.41892406E-01   8.23973160E+02   8.38484319E-01   1.60508987E-01   4.09717481E-04   3.68898018E-04   1.04534773E-11   1.34317382E-04   5.99270589E-05   2.29928161E-05  
  51               4.99496280E-01   8.53703732E+02   8.38484671E-01   1.60508569E-01   4.09714041E-04   3.68894922E-04   3.02825833E-11   1.34316254E-04   5.99266076E-05   2.30073233E-05  
  52               5.64052786E-01   8.85455043E+02   8.38485164E-01   1.60507858E-01   4.09710489E-04   3.68891725E-04   8.72395072E-11   1.34315090E-04   5.99261421E-05   2.30552536E-05  
  53               6.36207779E-01   9.16684265E+02   8.38485778E-01   1.60506593E-01   4.09707353E-04   3.68888899E-04   2.29102958E-10   1.34314060E-04   5.99257384E-05   2.31920521E-05  
  54               7.16636870E-01   9.49861076E+02   8.38486868E-01   1.60504038E-01   4.09705097E-04   3.68886848E-04   5.96622505E-10   1.34313313E-04   5.99254621E-05   2.35915036E-05  
  55               8.06249294E-01   9.82458496E+02   8.38489817E-01   1.60499726E-01   4.09706136E-04   3.68887690E-04   1.42963152E-09   1.34313618E-04   5.99256577E-05   2.42916633E-05  
  56               9.06052290E-01   1.01705653E+03   8.38497631E-01   1.60491977E-01   4.09693574E-04   3.68875996E-04   3.40246185E-09   1.34309351E-04   5.99238195E-05   2.42904049E-05  
  57               1.01716387E+00   1.05108357E+03   8.38509502E-01   1.60480175E-01   4.09676173E-04   3.68858798E-04   7.52431775E-09   1.34303021E-04   5.99210983E-05   2.42884754E-05  
  58               1.14073263E+00   1.08715756E+03   8.38527448E-01   1.60462299E-01   4.09657144E-04   3.68835945E-04   1.65444030E-08   1.34294252E-04   5.99175175E-05   2.42855165E-05  
  59               1.27793891E+00   1.12259257E+03   8.38549155E-01   1.60440652E-01   4.09646100E-04   3.68804861E-04   3.40325829E-08   1.34280140E-04   5.99129407E-05   2.42818398E-05  
  60               1.43011732E+00   1.16005635E+03   8.38575039E-01   1.60414787E-01   4.09680059E-04   3.68760807E-04   6.95925702E-08   1.34248911E-04   5.99079680E-05   2.42772552E-05  
  61               1.59896579E+00   1.19689168E+03   8.38600238E-01   1.60389550E-01   4.09859445E-04   3.68665861E-04   1.34161546E-07   1.34137939E-04   5.99026856E-05   2.42724267E-05  
  62               1.78637112E+00   1.23584001E+03   8.38625419E-01   1.60364354E-01   4.10451978E-04   3.68383433E-04   2.57526503E-07   1.33705276E-04   5.98978462E-05   2.42669944E-05  
  63               1.99470643E+00   1.27428139E+03   8.38647352E-01   1.60343054E-01   4.12065853E-04   3.67464185E-04   4.69858218E-07   1.32133592E-04   5.98933240E-05   2.42613882E-05  
  64               2.22760583E+00   1.31194670E+03   8.38667201E-01   1.60326300E-01   4.15766557E-04   3.64882337E-04   8.15369366E-07   1.27524137E-04   5.98896680E-05   2.42553831E-05  
  65               2.49073431E+00   1.34778603E+03   8.38686952E-01   1.60314690E-01   4.22669514E-04   3.59173035E-04   1.33118906E-06   1.17590238E-04   5.98860675E-05   2.42485920E-05  
  66               2.79163532E+00   1.38455609E+03   8.38709036E-01   1.60306137E-01   4.33141515E-04   3.49459612E-04   2.13889856E-06   1.02341420E-04   5.98826400E-05   2.42385284E-05  
  67               3.14002918E+00   1.42071107E+03   8.38729138E-01   1.60300351E-01   4.45865885E-04   3.36999664E-04   3.31158346E-06   8.62135270E-05   5.98792989E-05   2.42210745E-05  
  68               3.54341210E+00   1.45895233E+03   8.38745943E-01   1.60295357E-01   4.59145010E-04   3.23996683E-04   5.13046196E-06   7.15360140E-05   5.98775391E-05   2.41813586E-05  
  69               4.00755069E+00   1.49764623E+03   8.38755793E-01   1.60290916E-01   4.70953327E-04   3.13148169E-04   7.78524078E-06   5.97129749E-05   5.98787870E-05   2.40865619E-05  
  70               4.53479019E+00   1.53931715E+03   8.38748400E-01   1.60284167E-01   4.81700077E-04   3.05390649E-04   1.19329990E-05   4.89578327E-05   5.98780758E-05   2.38324438E-05  
  71               5.12155025E+00   1.58215630E+03   8.38738914E-01   1.60280265E-01   4.92208539E-04   3.13440178E-04   1.80767379E-05   3.83033089E-05   5.98847485E-05   2.20597373E-05  
  72               5.75094145E+00   1.62830913E+03   8.38736068E-01   1.60276522E-01   4.99897376E-04   3.07558345E-04   2.77169819E-05   3.06456315E-05   5.99046238E-05   2.20210514E-05  
  73               6.40346460E+00   1.67592234E+03   8.38717395E-01   1.60271582E-01   5.06537468E-04   3.06623081E-04   4.21586614E-05   2.39661670E-05   5.99075001E-05   2.18801119E-05  
  74               7.05365720E+00   1.71969001E+03   8.38675645E-01   1.60265340E-01   5.11713435E-04   3.17025710E-04   6.06571415E-05   1.87602746E-05   5.99220142E-05   2.15432503E-05  
  75               7.65851130E+00   1.75755086E+03   8.38601347E-01   1.60256169E-01   5.15722259E-04   3.41027933E-04   8.18018630E-05   1.47153300E-05   5.99469804E-05   2.10418584E-05  
  76               8.19036221E+00   1.78893473E+03   8.38507720E-01   1.60248102E-01   5.19082117E-04   3.88044874E-04   1.03749505E-04   1.13264598E-05   5.99980757E-05   2.03585582E-05  
  77               8.64258095E+00   1.81430601E+03   8.38489545E-01   1.60246040E-01   5.20159737E-04   3.87072071E-04   1.24918867E-04   1.02402963E-05   5.99880618E-05   2.03674533E-05  
  78               9.14342569E+00   1.84124561E+03   8.38455593E-01   1.60241506E-01   5.21132414E-04   3.86037783E-04   1.51239897E-04   9.24137761E-06   5.99777518E-05   2.03725947E-05  
  79               9.56404892E+00   1.86285745E+03   8.38434134E-01   1.60239343E-01   5.21816836E-04   3.85314332E-04   1.75539841E-04   8.54306392E-06   5.99842443E-05   2.03737746E-05  
  80               9.89674560E+00   1.87950470E+03   8.38415574E-01   1.60237518E-01   5.22292957E-04   3.84805241E-04   1.96411091E-04   8.05457489E-06   5.99753918E-05   2.03725659E-05  
  81               1.02713576E+01   1.89760728E+03   8.38393240E-01   1.60235369E-01   5.22760362E-04   3.84301922E-04   2.21373788E-04   7.57278065E-06   5.99663514E-05   2.03691841E-05  
