# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  34               5.69785114E-02   5.89693971E+02   8.38550676E-01   1.60524615E-01   8.18181651E-17   5.05104862E-04   2.83868732E-04   6.03309592E-05   4.29600292E-05   2.29906579E-05  
  35               6.57892307E-02   6.05929625E+02   8.38551136E-01   1.60524168E-01   2.53145849E-16   5.05097276E-04   2.83864469E-04   6.03300473E-05   4.29593843E-05   2.29905939E-05  
  36               7.58636684E-02   6.26384080E+02   8.38551693E-01   1.60523624E-01   9.80761512E-16   5.05089458E-04   2.83860076E-04   6.03291074E-05   4.29587196E-05   2.29905160E-05  
  37               8.73585748E-02   6.45780230E+02   8.38552085E-01   1.60523242E-01   3.25165210E-15   5.05081570E-04   2.83855644E-04   6.03281590E-05   4.29580491E-05   2.29904613E-05  
  38               1.00452466E-01   6.69777644E+02   8.38552515E-01   1.60522813E-01   1.31798717E-14   5.05073502E-04   2.83851110E-04   6.03271888E-05   4.29573632E-05   2.29903998E-05  
  39               1.15331545E-01   6.93199547E+02   8.38552793E-01   1.60522495E-01   4.68302116E-14   5.05065692E-04   2.83846721E-04   6.03262492E-05   4.29566993E-05   2.29903543E-05  
  40               1.32186601E-01   7.21504738E+02   8.38552950E-01   1.60522136E-01   1.96213983E-13   5.05060071E-04   2.83843563E-04   6.03255707E-05   4.29562216E-05   2.29903026E-05  
  41               1.51174360E-01   7.51213860E+02   8.38553038E-01   1.60521812E-01   7.85974785E-13   5.05054356E-04   2.83840352E-04   6.03248807E-05   4.29557360E-05   2.29902561E-05  
  42               1.72517130E-01   7.80853256E+02   8.38553332E-01   1.60521526E-01   2.81603631E-12   5.05045084E-04   2.83835142E-04   6.03237655E-05   4.29549477E-05   2.29902144E-05  
  43               1.96521432E-01   8.11957684E+02   8.38553767E-01   1.60521078E-01   9.72236804E-12   5.05035284E-04   2.83829635E-04   6.03225869E-05   4.29541146E-05   2.29962805E-05  
  44               2.23510254E-01   8.43018239E+02   8.38554538E-01   1.60520216E-01   3.04916761E-11   5.05024884E-04   2.83823791E-04   6.03213363E-05   4.29532305E-05   2.30164590E-05  
  45               2.53809424E-01   8.75642210E+02   8.38556161E-01   1.60518255E-01   9.28325539E-11   5.05013838E-04   2.83817584E-04   6.03200083E-05   4.29522915E-05   2.30876966E-05  
  46               2.87734206E-01   9.08079097E+02   8.38558901E-01   1.60514117E-01   2.58610124E-10   5.05002790E-04   2.83811376E-04   6.03186796E-05   4.29513522E-05   2.33072246E-05  
  47               3.25594708E-01   9.42055856E+02   8.38565229E-01   1.60505862E-01   7.01350237E-10   5.04989379E-04   2.83803839E-04   6.03170680E-05   4.29502118E-05   2.42926234E-05  
  48               3.67840477E-01   9.75720200E+02   8.38579064E-01   1.60492115E-01   1.75432876E-09   5.04956004E-04   2.83785078E-04   6.03130708E-05   4.29473726E-05   2.42904808E-05  
  49               4.14972636E-01   1.01109677E+03   8.38601030E-01   1.60470271E-01   4.30618365E-09   5.04908974E-04   2.83758624E-04   6.03074382E-05   4.29433660E-05   2.42870566E-05  
  50               4.67514323E-01   1.04609519E+03   8.38628387E-01   1.60443040E-01   9.83024341E-09   5.04855142E-04   2.83728262E-04   6.03009777E-05   4.29387420E-05   2.42827326E-05  
  51               5.26012538E-01   1.08292210E+03   8.38660141E-01   1.60411415E-01   2.21268296E-08   5.04792758E-04   2.83692697E-04   6.02934359E-05   4.29331489E-05   2.42775852E-05  
  52               5.91046076E-01   1.11922126E+03   8.38689842E-01   1.60381817E-01   4.65715419E-08   5.04734527E-04   2.83657529E-04   6.02861444E-05   4.29263368E-05   2.42725254E-05  
  53               6.63302206E-01   1.15746260E+03   8.38717527E-01   1.60354206E-01   9.70294274E-08   5.04681559E-04   2.83616570E-04   6.02785428E-05   4.29108880E-05   2.42673681E-05  
  54               7.43756379E-01   1.19516897E+03   8.38739452E-01   1.60332322E-01   1.90461894E-07   5.04659399E-04   2.83560080E-04   6.02716340E-05   4.28546658E-05   2.42625598E-05  
