# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H                H2O              N2               CH4              H2S             
  34               6.09410712E-02   5.27785540E+02   8.38514583E-01   1.60526687E-01   4.69278978E-04   4.13787043E-19   3.16223389E-04   6.00487460E-05   8.03964396E-05   2.29911167E-05  
  35               7.02002488E-02   5.44302701E+02   8.38516280E-01   1.60524993E-01   4.69276784E-04   1.75839618E-18   3.16221992E-04   6.00491152E-05   8.03960734E-05   2.29908742E-05  
  36               8.07784300E-02   5.62181805E+02   8.38517847E-01   1.60523429E-01   4.69275133E-04   7.66849388E-18   3.16220969E-04   6.00496178E-05   8.03958011E-05   2.29906502E-05  
  37               9.28348975E-02   5.81667386E+02   8.38519266E-01   1.60522012E-01   4.69273441E-04   3.45324874E-17   3.16219926E-04   6.00501867E-05   8.03955225E-05   2.29904472E-05  
  38               1.06533410E-01   6.03220208E+02   8.38520542E-01   1.60520737E-01   4.69272206E-04   1.63515205E-16   3.16219200E-04   6.00508922E-05   8.03953232E-05   2.29902647E-05  
  39               1.22033875E-01   6.27781358E+02   8.38521696E-01   1.60519584E-01   4.69271003E-04   8.49493394E-16   3.16218504E-04   6.00516855E-05   8.03951301E-05   2.29900994E-05  
  40               1.39525049E-01   6.53817143E+02   8.38522602E-01   1.60518674E-01   4.69270260E-04   4.25893779E-15   3.16218128E-04   6.00526246E-05   8.03950169E-05   2.29899691E-05  
  41               1.59265910E-01   6.79675565E+02   8.38523237E-01   1.60518019E-01   4.69269894E-04   1.86213895E-14   3.16218016E-04   6.00536977E-05   8.03949690E-05   2.29898753E-05  
  42               1.81521234E-01   7.07141723E+02   8.38523708E-01   1.60517485E-01   4.69269939E-04   7.93497071E-14   3.16218188E-04   6.00549052E-05   8.03949922E-05   2.29897987E-05  
  43               2.06561343E-01   7.34356473E+02   8.38523918E-01   1.60517065E-01   4.69270775E-04   2.98753355E-13   3.16218901E-04   6.00562889E-05   8.03951514E-05   2.29897385E-05  
  44               2.34673955E-01   7.63236856E+02   8.38524048E-01   1.60516691E-01   4.69273561E-04   1.10091185E-12   3.16220935E-04   6.00579892E-05   8.03956452E-05   2.29896846E-05  
  45               2.66214753E-01   7.91781647E+02   8.38524329E-01   1.60516393E-01   4.69276478E-04   3.62618344E-12   3.16223061E-04   6.00597655E-05   8.03961613E-05   2.29896413E-05  
  46               3.01621671E-01   8.22154791E+02   8.38524678E-01   1.60516012E-01   4.69276582E-04   1.17813414E-11   3.16223296E-04   6.00612374E-05   8.03961957E-05   2.29959946E-05  
  47               3.41329068E-01   8.52146534E+02   8.38525160E-01   1.60515426E-01   4.69276532E-04   3.46051841E-11   3.16223431E-04   6.00627399E-05   8.03962036E-05   2.30155138E-05  
  48               3.85761962E-01   8.84039667E+02   8.38526048E-01   1.60514222E-01   4.69276198E-04   1.00532836E-10   3.16223376E-04   6.00642507E-05   8.03961626E-05   2.30811053E-05  
  49               4.35338883E-01   9.15351416E+02   8.38527068E-01   1.60511811E-01   4.69276134E-04   2.65483803E-10   3.16223503E-04   6.00658361E-05   8.03961671E-05   2.32693813E-05  
  50               4.90524685E-01   9.48585723E+02   8.38529780E-01   1.60507076E-01   4.69277285E-04   6.94432013E-10   3.16224449E-04   6.00676204E-05   8.03963786E-05   2.42928118E-05  
  51               5.51966688E-01   9.81119302E+02   8.38537683E-01   1.60499211E-01   4.69273691E-04   1.66495303E-09   3.16222179E-04   6.00688432E-05   8.03957711E-05   2.42915674E-05  
  52               6.20347085E-01   1.01576648E+03   8.38551491E-01   1.60485474E-01   4.69254881E-04   3.97712699E-09   3.16209584E-04   6.00681656E-05   8.03925318E-05   2.42893860E-05  
  53               6.96354331E-01   1.04958815E+03   8.38570422E-01   1.60466623E-01   4.69227632E-04   8.77019874E-09   3.16191001E-04   6.00664366E-05   8.03877258E-05   2.42863635E-05  
  54               7.80680275E-01   1.08562084E+03   8.38595968E-01   1.60441158E-01   4.69194756E-04   1.93141214E-08   3.16167465E-04   6.00639314E-05   8.03813924E-05   2.42822082E-05  
