# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  34               4.22288094E-01   6.25368079E+02   8.38318034E-01   1.60490386E-01   5.98115239E-04   3.88021970E-16   1.40890547E-04   3.57938674E-04   5.81606085E-05   2.29861791E-05  
  35               4.86333096E-01   6.46734237E+02   8.38319678E-01   1.60488747E-01   5.98112505E-04   1.46365886E-15   1.40889903E-04   3.57937038E-04   5.81603461E-05   2.29859444E-05  
  36               5.59334828E-01   6.68401429E+02   8.38321068E-01   1.60487360E-01   5.98110153E-04   5.14721287E-15   1.40889349E-04   3.57935630E-04   5.81601211E-05   2.29857457E-05  
  37               6.42408714E-01   6.92615290E+02   8.38322433E-01   1.60485992E-01   5.98107936E-04   1.92074411E-14   1.40888826E-04   3.57934303E-04   5.81599097E-05   2.29855498E-05  
  38               7.36707716E-01   7.17286082E+02   8.38323541E-01   1.60484863E-01   5.98106167E-04   6.69333741E-14   1.40888409E-04   3.57933244E-04   5.81597421E-05   2.29853881E-05  
  39               8.43413344E-01   7.44649376E+02   8.38324543E-01   1.60483791E-01   5.98104780E-04   2.43613260E-13   1.40888082E-04   3.57932414E-04   5.81596121E-05   2.29852344E-05  
  40               9.63790785E-01   7.72627931E+02   8.38325231E-01   1.60482899E-01   5.98104393E-04   8.29125211E-13   1.40887991E-04   3.57932182E-04   5.81595796E-05   2.29851064E-05  
  41               1.09951728E+00   8.03381980E+02   8.38325827E-01   1.60482078E-01   5.98106658E-04   2.89685163E-12   1.40888524E-04   3.57933537E-04   5.81598053E-05   2.29849884E-05  
  42               1.25235188E+00   8.35160546E+02   8.38326456E-01   1.60481429E-01   5.98109153E-04   9.56853564E-12   1.40889112E-04   3.57935030E-04   5.81600537E-05   2.29858740E-05  
  43               1.42423323E+00   8.67541786E+02   8.38326957E-01   1.60480880E-01   5.98108442E-04   2.94906906E-11   1.40888946E-04   3.57934605E-04   5.81599905E-05   2.29960289E-05  
  44               1.61709129E+00   9.00856859E+02   8.38327333E-01   1.60480350E-01   5.98108025E-04   8.61853517E-11   1.40888858E-04   3.57934355E-04   5.81599562E-05   2.30282982E-05  
  45               1.83287894E+00   9.34738658E+02   8.38327490E-01   1.60479734E-01   5.98108456E-04   2.36751586E-10   1.40889018E-04   3.57934613E-04   5.81600045E-05   2.31263481E-05  
  46               2.07422678E+00   9.69459017E+02   8.38327012E-01   1.60478791E-01   5.98111312E-04   6.18904666E-10   1.40889976E-04   3.57936321E-04   5.81602888E-05   2.34065729E-05  
  47               2.34419958E+00   1.00488148E+03   8.38326591E-01   1.60477443E-01   5.98126384E-04   1.53807447E-09   1.40894839E-04   3.57945338E-04   5.81617615E-05   2.42882993E-05  
  48               2.64600087E+00   1.04111078E+03   8.38328655E-01   1.60475395E-01   5.98122322E-04   3.65495503E-09   1.40899492E-04   3.57942881E-04   5.81613765E-05   2.42879115E-05  
  49               2.98319852E+00   1.07731760E+03   8.38332016E-01   1.60472031E-01   5.98115622E-04   8.16779358E-09   1.40920363E-04   3.57938663E-04   5.81607572E-05   2.42872698E-05  
  50               3.35993332E+00   1.11294357E+03   8.38337061E-01   1.60466924E-01   5.98104532E-04   1.70609859E-08   1.41000314E-04   3.57930591E-04   5.81598598E-05   2.42862845E-05  
  51               3.78094040E+00   1.14879589E+03   8.38344298E-01   1.60459448E-01   5.98081579E-04   3.41134973E-08   1.41270354E-04   3.57908432E-04   5.81586528E-05   2.42848178E-05  
  52               4.25251908E+00   1.18411501E+03   8.38353428E-01   1.60449612E-01   5.98014188E-04   6.45691764E-08   1.42093671E-04   3.57824898E-04   5.81573081E-05   2.42828308E-05  
  53               4.78171106E+00   1.21968610E+03   8.38364117E-01   1.60437195E-01   5.97768566E-04   1.17994847E-07   1.44337030E-04   3.57488336E-04   5.81562028E-05   2.42802149E-05  
  54               5.37644660E+00   1.25469527E+03   8.38374851E-01   1.60423077E-01   5.96877897E-04   2.05819448E-07   1.49749635E-04   3.56238090E-04   5.81561477E-05   2.42770472E-05  
  55               6.04644727E+00   1.28995769E+03   8.38385722E-01   1.60407605E-01   5.94056155E-04   3.48774340E-07   1.60916305E-04   3.52311509E-04   5.81578120E-05   2.42732565E-05  
  56               6.80518669E+00   1.32467218E+03   8.38398736E-01   1.60392796E-01   5.86717406E-04   5.68106188E-07   1.79628870E-04   3.42461832E-04   5.81608203E-05   2.42690613E-05  
  57               7.67269492E+00   1.35974718E+03   8.38419530E-01   1.60379831E-01   5.72008483E-04   9.04188178E-07   2.04488281E-04   3.24077955E-04   5.81627128E-05   2.42643837E-05  
  58               8.67648896E+00   1.39440059E+03   8.38447879E-01   1.60370043E-01   5.50760319E-04   1.39192012E-06   2.30403641E-04   3.00226421E-04   5.81618363E-05   2.42591401E-05  
  59               9.84580001E+00   1.42970125E+03   8.38478372E-01   1.60361873E-01   5.27414383E-04   2.10717907E-06   2.54892413E-04   2.75961797E-04   5.81594148E-05   2.42480609E-05  
  60               1.12045379E+01   1.46497273E+03   8.38505137E-01   1.60354845E-01   5.06126469E-04   3.11283760E-06   2.76361238E-04   2.54458098E-04   5.81569656E-05   2.42416644E-05  
  61               1.27707915E+01   1.50141877E+03   8.38529641E-01   1.60348254E-01   4.86632545E-04   4.56293488E-06   2.96463059E-04   2.34308777E-04   5.81551670E-05   2.41947877E-05  
  62               1.45582675E+01   1.53839858E+03   8.38548664E-01   1.60341809E-01   4.68766288E-04   6.58971696E-06   3.14449614E-04   2.16273642E-04   5.81524841E-05   2.41845307E-05  
