# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.66078525E+02   8.38138559E-01   1.60476217E-01   7.66532936E-04   5.17833601E-04   3.57691700E-64   3.18436617E-06   5.10244648E-05   2.29824343E-05  
  2                7.55545245E-05   1.98117983E+02   8.38138559E-01   1.60476217E-01   7.66532954E-04   5.17833613E-04   1.45000762E-53   3.18436624E-06   5.10244660E-05   2.29824343E-05  
  3                1.52990316E-04   2.13108554E+02   8.38138559E-01   1.60476217E-01   7.66533000E-04   5.17833644E-04   1.09488907E-49   3.18436643E-06   5.10244691E-05   2.29824343E-05  
  4                2.46717879E-04   2.19425957E+02   8.38138559E-01   1.60476217E-01   7.66533061E-04   5.17833685E-04   2.95126492E-48   3.18436668E-06   5.10244732E-05   2.29824343E-05  
  5                3.60751501E-04   2.28570146E+02   8.38138559E-01   1.60476217E-01   7.66533137E-04   5.17833736E-04   2.87580243E-46   3.18436700E-06   5.10244784E-05   2.29824343E-05  
  6                4.99718963E-04   2.32676548E+02   8.38138559E-01   1.60476217E-01   7.66533232E-04   5.17833800E-04   1.84227966E-45   3.18436740E-06   5.10244847E-05   2.29824343E-05  
  7                6.69336356E-04   2.40106780E+02   8.38138559E-01   1.60476217E-01   7.66533348E-04   5.17833879E-04   5.16890068E-44   3.18436788E-06   5.10244926E-05   2.29824343E-05  
  8                8.76489668E-04   2.43441889E+02   8.38138559E-01   1.60476217E-01   7.66533490E-04   5.17833975E-04   2.01094714E-43   3.18436847E-06   5.10245022E-05   2.29824343E-05  
  9                1.12961855E-03   2.50377353E+02   8.38138558E-01   1.60476217E-01   7.66533664E-04   5.17834092E-04   3.48236747E-42   3.18436919E-06   5.10245138E-05   2.29824343E-05  
  10               1.43891409E-03   2.53658314E+02   8.38138558E-01   1.60476217E-01   7.66533874E-04   5.17834234E-04   1.19320614E-41   3.18437006E-06   5.10245280E-05   2.29824343E-05  
  11               1.81689094E-03   2.60506636E+02   8.38138558E-01   1.60476216E-01   7.66534127E-04   5.17834405E-04   1.60189661E-40   3.18437111E-06   5.10245450E-05   2.29824343E-05  
  12               2.27871942E-03   2.63922446E+02   8.38138557E-01   1.60476216E-01   7.66534431E-04   5.17834611E-04   5.25442727E-40   3.18437238E-06   5.10245655E-05   2.29824343E-05  
  13               2.84299615E-03   2.70767010E+02   8.38138557E-01   1.60476216E-01   7.66534795E-04   5.17834857E-04   5.78133290E-39   3.18437389E-06   5.10245900E-05   2.29824343E-05  
  14               3.53229495E-03   2.74337878E+02   8.38138556E-01   1.60476216E-01   7.66535228E-04   5.17835149E-04   1.82733232E-38   3.18437569E-06   5.10246191E-05   2.29824342E-05  
  15               4.37426755E-03   2.81296164E+02   8.38138555E-01   1.60476216E-01   7.66535740E-04   5.17835495E-04   1.74350203E-37   3.18437782E-06   5.10246536E-05   2.29824342E-05  
  16               5.40244109E-03   2.85034997E+02   8.38138555E-01   1.60476216E-01   7.66536341E-04   5.17835901E-04   5.32453032E-37   3.18438031E-06   5.10246940E-05   2.29824342E-05  
  17               6.65774093E-03   2.92218924E+02   8.38138554E-01   1.60476215E-01   7.66537044E-04   5.17836375E-04   4.59899592E-36   3.18438323E-06   5.10247412E-05   2.29824341E-05  
  18               8.18991505E-03   2.96290993E+02   8.38138552E-01   1.60476215E-01   7.66537858E-04   5.17836926E-04   1.42272451E-35   3.18438662E-06   5.10247959E-05   2.29824341E-05  
  19               1.00594374E-02   3.03854397E+02   8.38138551E-01   1.60476215E-01   7.66538797E-04   5.17837560E-04   1.16161104E-34   3.18439052E-06   5.10248589E-05   2.29824340E-05  
  20               1.23393070E-02   3.08352045E+02   8.38138549E-01   1.60476214E-01   7.66539869E-04   5.17838284E-04   3.69310672E-34   3.18439497E-06   5.10249309E-05   2.29824340E-05  
