# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  34               9.17067609E-02   1.32410143E+02   8.38099506E-01   1.60468749E-01   7.79656095E-04   5.30425404E-04   6.72803713E-05   2.70962410E-05   2.29819735E-05   2.04598363E-11  
  35               1.06710136E-01   1.39105378E+02   8.38099623E-01   1.60468772E-01   7.79579045E-04   5.30372985E-04   6.72737223E-05   2.70935632E-05   2.29819767E-05   1.36541336E-10  
  36               1.24160263E-01   1.46010280E+02   8.38099494E-01   1.60468747E-01   7.79663423E-04   5.30430390E-04   6.72810038E-05   2.70964957E-05   2.29819732E-05   8.91633367E-10  
  37               1.44456001E-01   1.53478698E+02   8.38099490E-01   1.60468746E-01   7.79664053E-04   5.30430819E-04   6.72810581E-05   2.70965176E-05   2.29819731E-05   4.97036590E-09  
  38               1.68061912E-01   1.61154592E+02   8.38099472E-01   1.60468743E-01   7.79663972E-04   5.30430763E-04   6.72810511E-05   2.70965148E-05   2.29819726E-05   2.66299283E-08  
  39               1.95523477E-01   1.69369624E+02   8.38099390E-01   1.60468727E-01   7.79663891E-04   5.30430709E-04   6.72810441E-05   2.70965120E-05   2.29819704E-05   1.23988888E-07  
  40               2.27475767E-01   1.77823370E+02   8.38099025E-01   1.60468657E-01   7.79663862E-04   5.30430689E-04   6.72810416E-05   2.70965109E-05   2.29819604E-05   5.58861055E-07  
  41               2.64653363E-01   1.86873521E+02   8.38097647E-01   1.60468393E-01   7.79664113E-04   5.30430859E-04   6.72810632E-05   2.70965196E-05   2.29819226E-05   2.20063187E-06  
  42               3.07897719E-01   1.96167780E+02   8.38092485E-01   1.60467405E-01   7.79665443E-04   5.30431764E-04   6.72811780E-05   2.70965659E-05   2.29817810E-05   8.34944118E-06  
  43               3.58105812E-01   2.06051640E+02   8.38076141E-01   1.60464275E-01   7.79670889E-04   5.30435470E-04   6.72816480E-05   2.70967551E-05   2.29813328E-05   2.78134935E-05  
  44               4.16334287E-01   2.16152432E+02   8.38024363E-01   1.60454362E-01   7.79689001E-04   5.30447792E-04   6.72832109E-05   2.70973846E-05   2.29799130E-05   8.94742353E-05  
  45               4.83843910E-01   2.26828986E+02   8.37551434E-01   1.60363811E-01   7.79747174E-04   5.30487369E-04   6.72882310E-05   2.70994064E-05   2.29669446E-05   6.52863636E-04  
  46               5.62181033E-01   2.37765862E+02   8.38098653E-01   1.60468586E-01   7.80220781E-04   5.30809579E-04   6.73291009E-05   2.71158661E-05   2.29819501E-05   0.00000000E+00  
  47               6.53163708E-01   2.49320584E+02   8.38099378E-01   1.60468725E-01   7.79740621E-04   5.30482911E-04   6.72876654E-05   2.70991786E-05   2.29819700E-05   0.00000000E+00  
  48               7.58905994E-01   2.61198107E+02   8.38098574E-01   1.60468571E-01   7.80272447E-04   5.30844729E-04   6.73335593E-05   2.71176617E-05   2.29819480E-05   0.00000000E+00  
  49               8.81774611E-01   2.73727256E+02   8.38098568E-01   1.60468570E-01   7.80276460E-04   5.30847459E-04   6.73339056E-05   2.71178012E-05   2.29819478E-05   0.00000000E+00  
  50               1.02442048E+00   2.86623306E+02   8.38098569E-01   1.60468570E-01   7.80276076E-04   5.30847198E-04   6.73338724E-05   2.71177878E-05   2.29819478E-05   0.00000000E+00  
  51               1.18992961E+00   3.00185225E+02   8.38098570E-01   1.60468570E-01   7.80275644E-04   5.30846905E-04   6.73338352E-05   2.71177728E-05   2.29819479E-05   0.00000000E+00  
  52               1.38179322E+00   3.14160841E+02   8.38098570E-01   1.60468570E-01   7.80275160E-04   5.30846575E-04   6.73337934E-05   2.71177560E-05   2.29819479E-05   0.00000000E+00  
  53               1.60390114E+00   3.28815808E+02   8.38098571E-01   1.60468570E-01   7.80274619E-04   5.30846207E-04   6.73337466E-05   2.71177371E-05   2.29819479E-05   0.00000000E+00  
  54               1.86063492E+00   3.43919094E+02   8.38098572E-01   1.60468570E-01   7.80274014E-04   5.30845796E-04   6.73336944E-05   2.71177161E-05   2.29819479E-05   0.00000000E+00  
  55               2.15732616E+00   3.59731677E+02   8.38098568E-01   1.60468570E-01   7.80273342E-04   5.30845339E-04   6.73336364E-05   2.71176928E-05   2.29819478E-05   0.00000000E+00  
  56               2.50006022E+00   3.76059763E+02   8.38098570E-01   1.60468569E-01   7.80272593E-04   5.30844829E-04   6.73335717E-05   2.71176667E-05   2.29819478E-05   0.00000000E+00  
  57               2.89539503E+00   3.93129029E+02   8.38098571E-01   1.60468570E-01   7.80271768E-04   5.30844268E-04   6.73335005E-05   2.71176380E-05   2.29819478E-05   0.00000000E+00  
  58               3.35021306E+00   4.10730659E+02   8.38098275E-01   1.60468513E-01   7.80270955E-04   5.30843715E-04   6.73334303E-05   2.71176098E-05   2.29819397E-05   0.00000000E+00  
  59               3.87188611E+00   4.29048162E+02   8.38098305E-01   1.60468485E-01   7.80269678E-04   5.30842846E-04   6.73333201E-05   2.71175653E-05   2.29819357E-05   0.00000000E+00  
  60               4.46945134E+00   4.47901976E+02   8.38098305E-01   1.60468484E-01   7.80268240E-04   5.30841868E-04   6.73331959E-05   2.71175154E-05   2.29819356E-05   0.00000000E+00  
  61               5.15245414E+00   4.67486851E+02   8.38098237E-01   1.60468473E-01   7.80275355E-04   5.30846709E-04   6.73338098E-05   2.71177626E-05   2.29819341E-05   0.00000000E+00  
  62               5.93074491E+00   4.87586114E+02   8.38097849E-01   1.60468448E-01   7.80274256E-04   5.30845961E-04   6.73337149E-05   2.71177244E-05   2.29819305E-05   0.00000000E+00  
  63               6.81457904E+00   5.08377094E+02   8.38097584E-01   1.60468713E-01   7.80274114E-04   5.30845865E-04   6.73337026E-05   2.71177194E-05   2.29819684E-05   0.00000000E+00  
  64               7.81595436E+00   5.29647756E+02   8.38094806E-01   1.60468176E-01   7.80273480E-04   5.30845434E-04   6.73336478E-05   2.71176973E-05   2.29818915E-05   0.00000000E+00  
  65               8.95160624E+00   5.51669854E+02   8.38095080E-01   1.60467903E-01   7.80273728E-04   5.30845603E-04   6.73336692E-05   2.71177059E-05   2.29818523E-05   0.00000000E+00  
  66               1.02385089E+01   5.74255262E+02   8.38095099E-01   1.60467891E-01   7.80269449E-04   5.30842692E-04   6.73332999E-05   2.71175572E-05   2.29818507E-05   0.00000000E+00  
  67               1.16930598E+01   5.97604350E+02   8.38095030E-01   1.60467853E-01   7.80328916E-04   5.30883150E-04   6.73384315E-05   2.71196238E-05   2.29818451E-05   0.00000000E+00  
  68               1.33307366E+01   6.21446797E+02   8.38095068E-01   1.60467819E-01   7.80326875E-04   5.30881762E-04   6.73382552E-05   2.71195529E-05   2.29818403E-05   0.00000000E+00  
  69               1.51668279E+01   6.45942036E+02   8.38095125E-01   1.60467765E-01   7.80324676E-04   5.30880266E-04   6.73380653E-05   2.71194764E-05   2.29818326E-05   0.00000000E+00  
  70               1.72270354E+01   6.70930046E+02   8.38095210E-01   1.60467684E-01   7.80322306E-04   5.30878654E-04   6.73378607E-05   2.71193939E-05   2.29818211E-05   0.00000000E+00  
  71               1.95395631E+01   6.96678834E+02   8.38095333E-01   1.60467566E-01   7.80319742E-04   5.30876910E-04   6.73376394E-05   2.71193048E-05   2.29818041E-05   0.00000000E+00  
  72               2.21312534E+01   7.22972155E+02   8.38095503E-01   1.60467399E-01   7.80316970E-04   5.30875024E-04   6.73373999E-05   2.71192084E-05   2.29817802E-05   0.00000000E+00  
  73               2.50280850E+01   7.49979986E+02   8.38095734E-01   1.60467171E-01   7.80313923E-04   5.30872952E-04   6.73371369E-05   2.71191024E-05   2.29817475E-05   0.00000000E+00  
  74               2.82567926E+01   7.77467517E+02   8.38096030E-01   1.60466872E-01   7.80310614E-04   5.30870701E-04   6.73368512E-05   2.71189873E-05   2.29817047E-05   0.00000000E+00  
  75               3.18545449E+01   8.05639705E+02   8.38096364E-01   1.60466485E-01   7.80307061E-04   5.30868284E-04   6.73365443E-05   2.71188638E-05   2.29816490E-05   0.00000000E+00  
  76               3.58806474E+01   8.34485249E+02   8.38096786E-01   1.60466013E-01   7.80303376E-04   5.30865777E-04   6.73362261E-05   2.71187356E-05   2.29815814E-05   0.00000000E+00  
  77               4.03901524E+01   8.64196282E+02   8.38097212E-01   1.60465437E-01   7.80299766E-04   5.30863322E-04   6.73359145E-05   2.71186101E-05   2.29814984E-05   0.00000000E+00  
  78               4.54284022E+01   8.94609049E+02   8.38097636E-01   1.60464767E-01   7.80299939E-04   5.30863441E-04   6.73359292E-05   2.71186160E-05   2.29814016E-05   0.00000000E+00  
  79               5.10285560E+01   9.25674263E+02   8.38098320E-01   1.60464068E-01   7.80300121E-04   5.30863565E-04   6.73359446E-05   2.71186222E-05   2.29812999E-05   0.00000000E+00  
  80               5.72142325E+01   9.57169892E+02   8.38099038E-01   1.60463324E-01   7.80295176E-04   5.30860201E-04   6.73355176E-05   2.71184502E-05   2.29899431E-05   0.00000000E+00  
  81               6.40184130E+01   9.89025245E+02   8.38099738E-01   1.60462551E-01   7.80290354E-04   5.30856921E-04   6.73351012E-05   2.71182825E-05   2.30094931E-05   0.00000000E+00  
  82               7.15207144E+01   1.02137223E+03   8.38100352E-01   1.60461756E-01   7.80286140E-04   5.30854055E-04   6.73347373E-05   2.71181359E-05   2.30544342E-05   0.00000000E+00  
  83               7.97971257E+01   1.05419364E+03   8.38100759E-01   1.60460942E-01   7.80283516E-04   5.30852269E-04   6.73345105E-05   2.71180446E-05   2.31542101E-05   0.00000000E+00  
  84               8.89100718E+01   1.08755809E+03   8.38100340E-01   1.60460012E-01   7.80284256E-04   5.30852770E-04   6.73345740E-05   2.71180702E-05   2.33661862E-05   0.00000000E+00  
  85               9.89071361E+01   1.12122529E+03   8.38099329E-01   1.60459146E-01   7.80300731E-04   5.30863956E-04   6.73359953E-05   2.71186427E-05   2.42855111E-05   0.00000000E+00  
  86               1.09840090E+02   1.15530221E+03   8.38099983E-01   1.60458471E-01   7.80295572E-04   5.30860323E-04   6.73355482E-05   2.71184633E-05   2.42853437E-05   0.00000000E+00  
