# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   8.70928348E+01   8.38347400E-01   1.60516170E-01   5.40864623E-04   2.02029191E-04   3.03672702E-04   3.16419254E-109  5.88838840E-05   2.29889006E-05  
  2                1.02850542E-04   1.15898183E+02   8.38347398E-01   1.60516170E-01   5.40864712E-04   2.02029225E-04   3.03672751E-04   3.27734601E-94   5.88838939E-05   2.29889005E-05  
  3                2.01951231E-04   1.33477419E+02   8.38347286E-01   1.60516148E-01   5.40864722E-04   2.02029228E-04   3.03672757E-04   1.71842156E-81   5.88838955E-05   2.29888975E-05  
  4                3.12768377E-04   1.48746849E+02   8.38346567E-01   1.60516011E-01   5.40864582E-04   2.02029176E-04   3.03672678E-04   7.12866673E-73   5.88838807E-05   2.29888777E-05  
  5                4.39056613E-04   1.58193569E+02   8.38339008E-01   1.60514563E-01   5.40845810E-04   2.02022164E-04   3.03662138E-04   2.13578924E-68   5.88818374E-05   2.29886704E-05  
  6                5.84349329E-04   1.69463196E+02   8.38326996E-01   1.60512263E-01   5.40871628E-04   2.02031808E-04   3.03676634E-04   1.08102420E-63   5.88846487E-05   2.29883411E-05  
  7                7.52341265E-04   1.76338543E+02   8.38231788E-01   1.60494034E-01   5.40774882E-04   2.01995670E-04   3.03622315E-04   3.87584989E-61   5.88741165E-05   2.29857303E-05  
  8                9.47084580E-04   1.86047205E+02   8.37837411E-01   1.60418524E-01   5.40672172E-04   2.01957305E-04   3.03564648E-04   7.86083247E-58   5.88629349E-05   2.29749158E-05  
  9                1.17313890E-03   1.91953644E+02   8.38346665E-01   1.60516029E-01   5.41291211E-04   2.02188535E-04   3.03912213E-04   5.32320729E-56   5.89303302E-05   2.29888804E-05  
  10               1.43593431E-03   2.01021457E+02   8.38346664E-01   1.60516029E-01   5.41292202E-04   2.02188905E-04   3.03912769E-04   2.23677648E-53   5.89304385E-05   2.29888804E-05  
  11               1.74170552E-03   2.06651003E+02   8.38346668E-01   1.60516030E-01   5.41289915E-04   2.02188051E-04   3.03911485E-04   7.01866258E-52   5.89301900E-05   2.29888805E-05  
  12               2.09765247E-03   2.15439176E+02   8.38346663E-01   1.60516029E-01   5.41292558E-04   2.02189038E-04   3.03912969E-04   1.11546820E-49   5.89304782E-05   2.29888804E-05  
  13               2.51191681E-03   2.20922973E+02   8.38346663E-01   1.60516029E-01   5.41292736E-04   2.02189105E-04   3.03913069E-04   2.07491141E-48   5.89304981E-05   2.29888804E-05  
  14               2.99427635E-03   2.29526420E+02   8.38346663E-01   1.60516029E-01   5.41292892E-04   2.02189163E-04   3.03913156E-04   1.60854062E-46   5.89305156E-05   2.29888804E-05  
  15               3.55585588E-03   2.34916624E+02   8.38346662E-01   1.60516029E-01   5.41293091E-04   2.02189237E-04   3.03913268E-04   2.01871402E-45   5.89305377E-05   2.29888804E-05  
  16               4.20998152E-03   2.43230888E+02   8.38346662E-01   1.60516029E-01   5.41293272E-04   2.02189305E-04   3.03913370E-04   8.36055423E-44   5.89305580E-05   2.29888803E-05  
  17               4.97202888E-03   2.48444058E+02   8.38346662E-01   1.60516029E-01   5.41293453E-04   2.02189373E-04   3.03913471E-04   7.35912509E-43   5.89305782E-05   2.29888803E-05  
