# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H2O(s)          
  34               3.22424722E-02   2.32207324E+02   8.38229798E-01   1.60493683E-01   6.94612516E-04   4.51546065E-04   3.89813639E-05   5.72987666E-05   2.29868520E-05   0.00000000E+00  
  35               3.66574559E-02   2.40564132E+02   8.38229184E-01   1.60493565E-01   6.95019522E-04   4.51810647E-04   3.90042049E-05   5.73323409E-05   2.29868352E-05   0.00000000E+00  
  36               4.16722751E-02   2.47698605E+02   8.38229184E-01   1.60493565E-01   6.95019050E-04   4.51810340E-04   3.90041784E-05   5.73323022E-05   2.29868352E-05   0.00000000E+00  
  37               4.73664319E-02   2.56492015E+02   8.38229183E-01   1.60493565E-01   6.95019889E-04   4.51810886E-04   3.90042255E-05   5.73323716E-05   2.29868351E-05   0.00000000E+00  
  38               5.38291487E-02   2.64428204E+02   8.38229188E-01   1.60493566E-01   6.95016433E-04   4.51808639E-04   3.90040316E-05   5.73320868E-05   2.29868353E-05   0.00000000E+00  
  39               6.11550146E-02   2.74501008E+02   8.38229183E-01   1.60493565E-01   6.95020281E-04   4.51811141E-04   3.90042475E-05   5.73324045E-05   2.29868351E-05   0.00000000E+00  
  40               6.94344552E-02   2.85513260E+02   8.38229182E-01   1.60493565E-01   6.95020455E-04   4.51811254E-04   3.90042573E-05   5.73324191E-05   2.29868351E-05   0.00000000E+00  
  41               7.87874450E-02   2.96700110E+02   8.38229182E-01   1.60493565E-01   6.95020689E-04   4.51811406E-04   3.90042704E-05   5.73324387E-05   2.29868351E-05   0.00000000E+00  
  42               8.93512473E-02   3.08371016E+02   8.38229181E-01   1.60493565E-01   6.95020916E-04   4.51811553E-04   3.90042832E-05   5.73324578E-05   2.29868351E-05   0.00000000E+00  
  43               1.01278808E-01   3.20301101E+02   8.38229181E-01   1.60493565E-01   6.95021165E-04   4.51811715E-04   3.90042972E-05   5.73324787E-05   2.29868351E-05   0.00000000E+00  
  44               1.14742228E-01   3.32697905E+02   8.38229180E-01   1.60493564E-01   6.95021439E-04   4.51811893E-04   3.90043125E-05   5.73325017E-05   2.29868350E-05   0.00000000E+00  
  45               1.29933302E-01   3.45425807E+02   8.38229179E-01   1.60493564E-01   6.95021741E-04   4.51812089E-04   3.90043295E-05   5.73325270E-05   2.29868350E-05   0.00000000E+00  
  46               1.47070009E-01   3.58617745E+02   8.38229157E-01   1.60493559E-01   6.95022069E-04   4.51812303E-04   3.90043479E-05   5.73325546E-05   2.29868343E-05   0.00000000E+00  
  47               1.66399411E-01   3.72208340E+02   8.38229160E-01   1.60493556E-01   6.95022424E-04   4.51812533E-04   3.90043678E-05   5.73325844E-05   2.29868339E-05   0.00000000E+00  
  48               1.88190599E-01   3.86269340E+02   8.38229161E-01   1.60493554E-01   6.95022807E-04   4.51812783E-04   3.90043894E-05   5.73326166E-05   2.29868335E-05   0.00000000E+00  
