# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.74562719E+01   8.38098891E-01   1.60468421E-01   7.76281361E-04   5.27988483E-04   6.51079306E-05   3.53910049E-05   2.29818907E-05   0.00000000E+00  
  2                3.24550130E-05   3.29048176E+01   8.38098892E-01   1.60468421E-01   7.76281259E-04   5.27988414E-04   6.51078294E-05   3.53910099E-05   2.29818907E-05   0.00000000E+00  
  3                5.84015267E-05   3.57714046E+01   8.38098892E-01   1.60468421E-01   7.76281215E-04   5.27988384E-04   6.51077821E-05   3.53910125E-05   2.29818908E-05   0.00000000E+00  
  4                8.83808527E-05   3.76136890E+01   8.38098892E-01   1.60468421E-01   7.76281187E-04   5.27988364E-04   6.51077516E-05   3.53910141E-05   2.29818908E-05   0.00000000E+00  
  5                1.23017686E-04   3.94746772E+01   8.38098892E-01   1.60468421E-01   7.76281165E-04   5.27988350E-04   6.51077280E-05   3.53910154E-05   2.29818908E-05   0.00000000E+00  
  6                1.63032567E-04   4.08456257E+01   8.38098892E-01   1.60468421E-01   7.76281146E-04   5.27988337E-04   6.51077073E-05   3.53910166E-05   2.29818908E-05   0.00000000E+00  
  7                2.09256377E-04   4.24541000E+01   8.38098892E-01   1.60468421E-01   7.76281130E-04   5.27988326E-04   6.51076890E-05   3.53910176E-05   2.29818908E-05   0.00000000E+00  
  8                2.62649646E-04   4.36484746E+01   8.38098892E-01   1.60468421E-01   7.76281115E-04   5.27988316E-04   6.51076719E-05   3.53910186E-05   2.29818908E-05   0.00000000E+00  
  9                3.24316517E-04   4.51644273E+01   8.38098892E-01   1.60468421E-01   7.76281101E-04   5.27988306E-04   6.51076555E-05   3.53910195E-05   2.29818908E-05   0.00000000E+00  
  10               3.95530788E-04   4.63128779E+01   8.38098892E-01   1.60468421E-01   7.76281088E-04   5.27988297E-04   6.51076394E-05   3.53910205E-05   2.29818908E-05   0.00000000E+00  
  11               4.77765108E-04   4.78175537E+01   8.38098892E-01   1.60468421E-01   7.76281075E-04   5.27988288E-04   6.51076236E-05   3.53910214E-05   2.29818908E-05   0.00000000E+00  
  12               5.72711350E-04   4.89693427E+01   8.38098892E-01   1.60468421E-01   7.76281062E-04   5.27988280E-04   6.51076077E-05   3.53910224E-05   2.29818908E-05   0.00000000E+00  
  13               6.82312459E-04   5.05360171E+01   8.38098892E-01   1.60468421E-01   7.76281049E-04   5.27988271E-04   6.51075917E-05   3.53910233E-05   2.29818908E-05   0.00000000E+00  
  14               8.08813210E-04   5.17407944E+01   8.38098892E-01   1.60468421E-01   7.76281036E-04   5.27988262E-04   6.51075755E-05   3.53910243E-05   2.29818908E-05   0.00000000E+00  
  15               9.54802047E-04   5.33655324E+01   8.38098892E-01   1.60468421E-01   7.76281023E-04   5.27988253E-04   6.51075588E-05   3.53910254E-05   2.29818908E-05   0.00000000E+00  
  16               1.12324640E-03   5.46263525E+01   8.38098892E-01   1.60468421E-01   7.76281010E-04   5.27988244E-04   6.51075417E-05   3.53910264E-05   2.29818908E-05   0.00000000E+00  
  17               1.31754525E-03   5.63773752E+01   8.38098892E-01   1.60468421E-01   7.76280996E-04   5.27988235E-04   6.51075241E-05   3.53910275E-05   2.29818908E-05   0.00000000E+00  
  18               1.54160725E-03   5.77841794E+01   8.38098892E-01   1.60468421E-01   7.76280982E-04   5.27988225E-04   6.51075060E-05   3.53910287E-05   2.29818908E-05   0.00000000E+00  
  19               1.79995333E-03   5.97147931E+01   8.38098892E-01   1.60468421E-01   7.76280968E-04   5.27988216E-04   6.51074872E-05   3.53910299E-05   2.29818908E-05   0.00000000E+00  
  20               2.09775020E-03   6.12847751E+01   8.38098892E-01   1.60468421E-01   7.76280953E-04   5.27988206E-04   6.51074677E-05   3.53910311E-05   2.29818908E-05   0.00000000E+00  
  21               2.44089015E-03   6.34446733E+01   8.38098892E-01   1.60468421E-01   7.76280938E-04   5.27988195E-04   6.51074473E-05   3.53910324E-05   2.29818908E-05   0.00000000E+00  
  22               2.83608266E-03   6.52978862E+01   8.38098892E-01   1.60468421E-01   7.76280922E-04   5.27988184E-04   6.51074258E-05   3.53910338E-05   2.29818908E-05   0.00000000E+00  
  23               3.29108144E-03   6.78466447E+01   8.38098892E-01   1.60468421E-01   7.76280905E-04   5.27988173E-04   6.51074029E-05   3.53910352E-05   2.29818908E-05   0.00000000E+00  
