# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   3.67603475E+02   8.38497169E-01   1.60509909E-01   1.17876724E-26   4.27419044E-04   3.53617429E-04   1.19120331E-04   5.99355782E-05   0.00000000E+00  
  2                1.02752250E-04   4.25412439E+02   8.38496712E-01   1.60509980E-01   6.11139438E-23   4.27422362E-04   3.53620173E-04   1.19121253E-04   5.99360738E-05   0.00000000E+00  
  3                2.07943144E-04   4.41053033E+02   8.38496381E-01   1.60510310E-01   3.85326686E-22   4.27422884E-04   3.53620600E-04   1.19121392E-04   5.99362472E-05   0.00000000E+00  
  4                3.31712096E-04   4.60566599E+02   8.38496424E-01   1.60510268E-01   3.82755214E-21   4.27422596E-04   3.53620356E-04   1.19121305E-04   5.99363017E-05   0.00000000E+00  
  5                4.78255450E-04   4.68661625E+02   8.38496361E-01   1.60510330E-01   8.56045184E-21   4.27422455E-04   3.53620233E-04   1.19121258E-04   5.99363709E-05   0.00000000E+00  
  6                6.52439039E-04   4.83659476E+02   8.38496399E-01   1.60510293E-01   4.18999231E-20   4.27422190E-04   3.53620007E-04   1.19121177E-04   5.99364193E-05   0.00000000E+00  
  7                8.59824080E-04   4.89391650E+02   8.38496339E-01   1.60510354E-01   6.91013248E-20   4.27422057E-04   3.53619890E-04   1.19121132E-04   5.99364835E-05   0.00000000E+00  
  8                1.10714300E-03   5.02415974E+02   8.38496370E-01   1.60510323E-01   2.46087671E-19   4.27421808E-04   3.53619677E-04   1.19121056E-04   5.99365300E-05   0.00000000E+00  
  9                1.40229518E-03   5.06969998E+02   8.38496307E-01   1.60510386E-01   3.50377159E-19   4.27421683E-04   3.53619566E-04   1.19121014E-04   5.99365929E-05   0.00000000E+00  
  10               1.75484860E-03   5.19047457E+02   8.38496334E-01   1.60510360E-01   1.05099112E-18   4.27421443E-04   3.53619361E-04   1.19120940E-04   5.99366395E-05   0.00000000E+00  
  11               2.17622523E-03   5.22970078E+02   8.38496267E-01   1.60510427E-01   1.38178937E-18   4.27421324E-04   3.53619255E-04   1.19120899E-04   5.99367030E-05   0.00000000E+00  
  12               2.68017253E-03   5.34546196E+02   8.38496290E-01   1.60510404E-01   3.71345643E-18   4.27421086E-04   3.53619050E-04   1.19120825E-04   5.99367501E-05   0.00000000E+00  
  13               3.28306082E-03   5.38047731E+02   8.38496216E-01   1.60510478E-01   4.62672441E-18   4.27420974E-04   3.53618950E-04   1.19120787E-04   5.99368153E-05   0.00000000E+00  
  14               4.00455202E-03   5.49387274E+02   8.38496238E-01   1.60510457E-01   1.15333400E-17   4.27420748E-04   3.53618755E-04   1.19120716E-04   5.99368650E-05   0.00000000E+00  
  15               4.86809596E-03   5.52603465E+02   8.38496155E-01   1.60510540E-01   1.38368030E-17   4.27420645E-04   3.53618662E-04   1.19120680E-04   5.99369327E-05   0.00000000E+00  
  16               5.90180853E-03   5.63799919E+02   8.38496173E-01   1.60510522E-01   3.24646973E-17   4.27420411E-04   3.53618461E-04   1.19120608E-04   5.99369828E-05   0.00000000E+00  
  17               7.13917611E-03   5.66910135E+02   8.38496082E-01   1.60510613E-01   3.81691922E-17   4.27420318E-04   3.53618376E-04   1.19120574E-04   5.99370534E-05   0.00000000E+00  
  18               8.62016993E-03   5.78269726E+02   8.38496100E-01   1.60510595E-01   8.67720567E-17   4.27420081E-04   3.53618172E-04   1.19120501E-04   5.99371048E-05   0.00000000E+00  
  19               1.03923268E-02   5.81441380E+02   8.38496001E-01   1.60510695E-01   1.01400775E-16   4.27419997E-04   3.53618094E-04   1.19120470E-04   5.99371783E-05   0.00000000E+00  
  20               1.25120598E-02   5.93207192E+02   8.38496021E-01   1.60510675E-01   2.27672772E-16   4.27419762E-04   3.53617892E-04   1.19120397E-04   5.99372317E-05   0.00000000E+00  
  21               1.50462732E-02   5.96783016E+02   8.38495916E-01   1.60510779E-01   2.71165036E-16   4.27419683E-04   3.53617817E-04   1.19120367E-04   5.99373078E-05   0.00000000E+00  
  22               1.80741263E-02   6.09265494E+02   8.38495943E-01   1.60510753E-01   6.13302316E-16   4.27419434E-04   3.53617604E-04   1.19120290E-04   5.99373612E-05   0.00000000E+00  
  23               2.16890965E-02   6.13356550E+02   8.38495836E-01   1.60510859E-01   7.47885348E-16   4.27419355E-04   3.53617529E-04   1.19120260E-04   5.99374394E-05   0.00000000E+00  
