# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  34               3.84310309E-02   2.91078805E+02   8.38296180E-01   1.60506372E-01   6.20229672E-04   3.81489544E-04   1.05471399E-04   5.85093849E-05   1.34735107E-36   2.29881607E-05  
  35               4.43816042E-02   2.99492351E+02   8.38296179E-01   1.60506371E-01   6.20229994E-04   3.81489742E-04   1.05471453E-04   5.85094156E-05   1.57400481E-35   2.29881607E-05  
  36               5.12340854E-02   3.09365791E+02   8.38296179E-01   1.60506371E-01   6.20230344E-04   3.81489958E-04   1.05471513E-04   5.85094490E-05   2.39538245E-34   2.29881607E-05  
  37               5.91179210E-02   3.18933421E+02   8.38296178E-01   1.60506371E-01   6.20230726E-04   3.81490192E-04   1.05471578E-04   5.85094853E-05   2.83715764E-33   2.29881606E-05  
  38               6.81798933E-02   3.30055510E+02   8.38296177E-01   1.60506371E-01   6.20231146E-04   3.81490451E-04   1.05471649E-04   5.85095253E-05   4.22507308E-32   2.29881606E-05  
  39               7.85834301E-02   3.41128340E+02   8.38296176E-01   1.60506370E-01   6.20231598E-04   3.81490729E-04   1.05471726E-04   5.85095684E-05   5.19944744E-31   2.29881605E-05  
  40               9.05085747E-02   3.54354449E+02   8.38296170E-01   1.60506368E-01   6.20232110E-04   3.81491043E-04   1.05471813E-04   5.85096172E-05   8.56727882E-30   2.29881602E-05  
  41               1.04142687E-01   3.69323627E+02   8.38296172E-01   1.60506366E-01   6.20232637E-04   3.81491368E-04   1.05471903E-04   5.85096675E-05   1.61094995E-28   2.29881599E-05  
  42               1.19703192E-01   3.85461373E+02   8.38295923E-01   1.60506312E-01   6.20233330E-04   3.81491794E-04   1.05472021E-04   5.85097335E-05   2.95435646E-27   2.29881521E-05  
  43               1.37449711E-01   4.01462877E+02   8.38295959E-01   1.60506275E-01   6.20233548E-04   3.81491928E-04   1.05472058E-04   5.85097547E-05   4.17820909E-26   2.29881468E-05  
  44               1.57664740E-01   4.18709923E+02   8.38295981E-01   1.60506242E-01   6.20239573E-04   3.81495634E-04   1.05473082E-04   5.85103237E-05   5.79615683E-25   2.29881421E-05  
  45               1.80662777E-01   4.35803007E+02   8.38296037E-01   1.60506175E-01   6.20240238E-04   3.81496043E-04   1.05473195E-04   5.85103872E-05   6.36869729E-24   2.29881325E-05  
  46               2.06809880E-01   4.54220178E+02   8.38296037E-01   1.60506006E-01   6.20240901E-04   3.81496451E-04   1.05473308E-04   5.85104506E-05   6.89377278E-23   2.29881083E-05  
  47               2.36511046E-01   4.72467069E+02   8.38293125E-01   1.60505243E-01   6.20241623E-04   3.81496895E-04   1.05473431E-04   5.85105196E-05   6.05273241E-22   2.29879991E-05  
  48               2.70207933E-01   4.92120057E+02   8.38293751E-01   1.60504615E-01   6.20242690E-04   3.81497551E-04   1.05473612E-04   5.85106213E-05   5.25351036E-21   2.29879091E-05  
  49               3.08376789E-01   5.11563564E+02   8.38294573E-01   1.60503700E-01   6.20291751E-04   3.81527728E-04   1.05481955E-04   5.85152506E-05   3.76880422E-20   2.29877781E-05  
  50               3.51577089E-01   5.32493451E+02   8.38296057E-01   1.60502219E-01   6.20290351E-04   3.81526866E-04   1.05481717E-04   5.85151198E-05   2.67981491E-19   2.29875659E-05  
  51               4.00454817E-01   5.53194919E+02   8.38297983E-01   1.60500298E-01   6.20288113E-04   3.81525490E-04   1.05481336E-04   5.85149100E-05   1.60524194E-18   2.29872908E-05  
  52               4.55720187E-01   5.75486340E+02   8.38300475E-01   1.60497811E-01   6.20285453E-04   3.81523854E-04   1.05480884E-04   5.85146605E-05   9.56577236E-18   2.29869346E-05  
