# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   3.26373193E+01   8.38100420E-01   1.60468922E-01   7.79460736E-04   5.30292605E-04   6.57883434E-05   2.78295185E-05   2.29821074E-05   0.00000000E+00  
  2                3.14115088E-04   4.15626093E+01   8.38100421E-01   1.60468922E-01   7.79460601E-04   5.30292514E-04   6.57883322E-05   2.78295137E-05   2.29821074E-05   0.00000000E+00  
  3                6.71363193E-04   4.70438204E+01   8.38100421E-01   1.60468922E-01   7.79460562E-04   5.30292487E-04   6.57883291E-05   2.78295123E-05   2.29821074E-05   0.00000000E+00  
  4                1.09163942E-03   5.05073689E+01   8.38100421E-01   1.60468922E-01   7.79460542E-04   5.30292473E-04   6.57883275E-05   2.78295116E-05   2.29821074E-05   0.00000000E+00  
  5                1.58597910E-03   5.34459285E+01   8.38100421E-01   1.60468922E-01   7.79460529E-04   5.30292464E-04   6.57883264E-05   2.78295111E-05   2.29821074E-05   0.00000000E+00  
  6                2.16730586E-03   5.59123600E+01   8.38100421E-01   1.60468922E-01   7.79460519E-04   5.30292458E-04   6.57883256E-05   2.78295108E-05   2.29821074E-05   0.00000000E+00  
  7                2.85050746E-03   5.84062297E+01   8.38100421E-01   1.60468922E-01   7.79460510E-04   5.30292452E-04   6.57883250E-05   2.78295105E-05   2.29821074E-05   0.00000000E+00  
  8                3.65289978E-03   6.06489994E+01   8.38100421E-01   1.60468922E-01   7.79460503E-04   5.30292447E-04   6.57883244E-05   2.78295102E-05   2.29821074E-05   0.00000000E+00  
  9                4.59485479E-03   6.30393339E+01   8.38100421E-01   1.60468922E-01   7.79460496E-04   5.30292443E-04   6.57883239E-05   2.78295100E-05   2.29821074E-05   0.00000000E+00  
  10               5.69942626E-03   6.52830353E+01   8.38100421E-01   1.60468922E-01   7.79460490E-04   5.30292438E-04   6.57883233E-05   2.78295098E-05   2.29821074E-05   0.00000000E+00  
  11               6.99330654E-03   6.77562628E+01   8.38100421E-01   1.60468922E-01   7.79460484E-04   5.30292434E-04   6.57883228E-05   2.78295095E-05   2.29821074E-05   0.00000000E+00  
  12               8.50792038E-03   7.00987888E+01   8.38100421E-01   1.60468922E-01   7.79460477E-04   5.30292430E-04   6.57883223E-05   2.78295093E-05   2.29821074E-05   0.00000000E+00  
  13               1.02779062E-02   7.27534825E+01   8.38100421E-01   1.60468922E-01   7.79460471E-04   5.30292425E-04   6.57883218E-05   2.78295091E-05   2.29821074E-05   0.00000000E+00  
  14               1.23371242E-02   7.53879394E+01   8.38100421E-01   1.60468922E-01   7.79460465E-04   5.30292421E-04   6.57883214E-05   2.78295089E-05   2.29821074E-05   0.00000000E+00  
  15               1.47246674E-02   7.84106299E+01   8.38100421E-01   1.60468922E-01   7.79460461E-04   5.30292419E-04   6.57883211E-05   2.78295088E-05   2.29821074E-05   0.00000000E+00  
  16               1.74877047E-02   8.14490110E+01   8.38100421E-01   1.60468922E-01   7.79460459E-04   5.30292417E-04   6.57883208E-05   2.78295087E-05   2.29821074E-05   0.00000000E+00  
  17               2.06832678E-02   8.49617109E+01   8.38100421E-01   1.60468922E-01   7.79460457E-04   5.30292415E-04   6.57883207E-05   2.78295086E-05   2.29821074E-05   0.00000000E+00  
  18               2.43798797E-02   8.86398426E+01   8.38100421E-01   1.60468922E-01   7.79460455E-04   5.30292415E-04   6.57883206E-05   2.78295085E-05   2.29821074E-05   0.00000000E+00  
  19               2.86574995E-02   9.29861901E+01   8.38100421E-01   1.60468922E-01   7.79460454E-04   5.30292414E-04   6.57883205E-05   2.78295085E-05   2.29821074E-05   0.00000000E+00  
