# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  27               3.39399627E-02   4.25989307E+02   8.38438129E-01   1.60531579E-01   3.67114597E-04   4.04000625E-04   3.65632639E-24   1.69393334E-04   5.96153743E-05   2.29919120E-05  
  28               3.95492667E-02   4.37258677E+02   8.38438791E-01   1.60530893E-01   3.67118426E-04   4.04004840E-04   1.66458966E-23   1.69395102E-04   5.96159992E-05   2.29918139E-05  
  29               4.60402289E-02   4.48239843E+02   8.38439464E-01   1.60530092E-01   3.67122405E-04   4.04009219E-04   6.74298650E-23   1.69396938E-04   5.96166485E-05   2.29916990E-05  
  30               5.35384593E-02   4.61461992E+02   8.38440381E-01   1.60528807E-01   3.67128579E-04   4.04016013E-04   3.36625475E-22   1.69399787E-04   5.96176543E-05   2.29915151E-05  
  31               6.21854247E-02   4.74251696E+02   8.38439011E-01   1.60527139E-01   3.67131718E-04   4.04019468E-04   1.45626710E-21   1.69401235E-04   5.96181676E-05   2.29912762E-05  
  32               7.21550021E-02   4.87888564E+02   8.38440879E-01   1.60525193E-01   3.67160343E-04   4.04050970E-04   6.38970712E-21   1.69414444E-04   5.96228196E-05   2.29909974E-05  
  33               8.36311720E-02   5.02016876E+02   8.38442710E-01   1.60523352E-01   3.67164230E-04   4.04055248E-04   2.71564628E-20   1.69416238E-04   5.96234546E-05   2.29907338E-05  
  34               9.68141194E-02   5.17332712E+02   8.38444761E-01   1.60521291E-01   3.67167938E-04   4.04059329E-04   1.19556302E-19   1.69417949E-04   5.96240608E-05   2.29904385E-05  
  35               1.11935557E-01   5.33413922E+02   8.38446834E-01   1.60519207E-01   3.67172110E-04   4.04063922E-04   5.17422389E-19   1.69419874E-04   5.96247428E-05   2.29901400E-05  
  36               1.29256691E-01   5.50959833E+02   8.38448968E-01   1.60517060E-01   3.67176646E-04   4.04068914E-04   2.32844271E-18   1.69421967E-04   5.96254840E-05   2.29898326E-05  
  37               1.49055702E-01   5.69647505E+02   8.38450989E-01   1.60515026E-01   3.67181985E-04   4.04074790E-04   1.04495434E-17   1.69424431E-04   5.96263562E-05   2.29895413E-05  
  38               1.71620974E-01   5.90318076E+02   8.38452940E-01   1.60513057E-01   3.67188166E-04   4.04081593E-04   4.94260263E-17   1.69427284E-04   5.96273656E-05   2.29892593E-05  
  39               1.97238328E-01   6.12862868E+02   8.38454708E-01   1.60511269E-01   3.67195607E-04   4.04089783E-04   2.39528422E-16   1.69430718E-04   5.96285803E-05   2.29890032E-05  
  40               2.26165539E-01   6.39367239E+02   8.38456416E-01   1.60509537E-01   3.67204369E-04   4.04099426E-04   1.33945413E-15   1.69434761E-04   5.96300104E-05   2.29887551E-05  
  41               2.58797697E-01   6.64606929E+02   8.38457576E-01   1.60508342E-01   3.67215082E-04   4.04111217E-04   6.03566353E-15   1.69439705E-04   5.96317585E-05   2.29885840E-05  
  42               2.95587630E-01   6.92491039E+02   8.38458560E-01   1.60507307E-01   3.67227490E-04   4.04124873E-04   2.81266026E-14   1.69445431E-04   5.96337827E-05   2.29884357E-05  
  43               3.36993057E-01   7.18980660E+02   8.38459174E-01   1.60506587E-01   3.67241879E-04   4.04140709E-04   1.07995212E-13   1.69452071E-04   5.96361298E-05   2.29883326E-05  
  44               3.83476628E-01   7.48249327E+02   8.38459585E-01   1.60505927E-01   3.67259733E-04   4.04160359E-04   4.28958248E-13   1.69460310E-04   5.96390407E-05   2.29882379E-05  
  45               4.35529660E-01   7.75897036E+02   8.38459772E-01   1.60505447E-01   3.67279157E-04   4.04181736E-04   1.42591799E-12   1.69469273E-04   5.96422074E-05   2.29881688E-05  
  46               4.93856627E-01   8.06531255E+02   8.38460138E-01   1.60505021E-01   3.67297210E-04   4.04201605E-04   4.91953828E-12   1.69477604E-04   5.96451524E-05   2.29881070E-05  
  47               5.59214704E-01   8.35464900E+02   8.38460414E-01   1.60504662E-01   3.67316206E-04   4.04222512E-04   1.44886804E-11   1.69486370E-04   5.96482514E-05   2.29943306E-05  
  48               6.32354605E-01   8.67606296E+02   8.38460752E-01   1.60504173E-01   3.67335921E-04   4.04244209E-04   4.43664345E-11   1.69495467E-04   5.96514676E-05   2.30156729E-05  
  49               7.14016487E-01   8.97818909E+02   8.38461065E-01   1.60503502E-01   3.67356445E-04   4.04266793E-04   1.17362241E-10   1.69504937E-04   5.96548153E-05   2.30752593E-05  
  50               8.04926851E-01   9.31342441E+02   8.38461532E-01   1.60502145E-01   3.67378523E-04   4.04291075E-04   3.21990969E-10   1.69515118E-04   5.96584140E-05   2.32669919E-05  
  51               9.05985931E-01   9.62670774E+02   8.38462211E-01   1.60499934E-01   3.67407453E-04   4.04322837E-04   7.71263170E-10   1.69528435E-04   5.96631168E-05   2.37331660E-05  
  52               1.01839713E+00   9.97559324E+02   8.38465379E-01   1.60495645E-01   3.67423796E-04   4.04340503E-04   1.91996471E-09   1.69535840E-04   5.96657405E-05   2.42910257E-05  
  53               1.14342099E+00   1.03012729E+03   8.38471775E-01   1.60489238E-01   3.67438896E-04   4.04355806E-04   4.22819922E-09   1.69542233E-04   5.96680188E-05   2.42899651E-05  
  54               1.28235472E+00   1.06649761E+03   8.38483331E-01   1.60477677E-01   3.67451506E-04   4.04364812E-04   9.68268077E-09   1.69545857E-04   5.96693872E-05   2.42880422E-05  
  55               1.43654301E+00   1.10031066E+03   8.38497987E-01   1.60463002E-01   3.67472713E-04   4.04370158E-04   1.97927836E-08   1.69547065E-04   5.96703421E-05   2.42855607E-05  
  56               1.60738052E+00   1.13810290E+03   8.38519506E-01   1.60441439E-01   3.67522482E-04   4.04363569E-04   4.20198286E-08   1.69538582E-04   5.96701896E-05   2.42818274E-05  
  57               1.79658755E+00   1.17308747E+03   8.38541219E-01   1.60419597E-01   3.67687263E-04   4.04335949E-04   8.02831701E-08   1.69495736E-04   5.96703549E-05   2.42778540E-05  
  58               2.00634539E+00   1.21236061E+03   8.38567345E-01   1.60393215E-01   3.68183296E-04   4.04206636E-04   1.59477209E-07   1.69295935E-04   5.96701723E-05   2.42727067E-05  
  59               2.23914920E+00   1.24871488E+03   8.38589425E-01   1.60370928E-01   3.69638812E-04   4.03675005E-04   2.87852255E-07   1.68426066E-04   5.96715427E-05   2.42677577E-05  
  60               2.49843761E+00   1.28975891E+03   8.38613768E-01   1.60347466E-01   3.73275731E-04   4.01869095E-04   5.40903912E-07   1.65415456E-04   5.96730912E-05   2.42615218E-05  
  61               2.79089996E+00   1.32280679E+03   8.38632124E-01   1.60334002E-01   3.80577481E-04   3.97124593E-04   8.62152037E-07   1.57588306E-04   5.96754768E-05   2.42564229E-05  
  62               3.12711736E+00   1.36238437E+03   8.38657859E-01   1.60320100E-01   3.92861532E-04   3.87503744E-04   1.47193271E-06   1.42388384E-04   5.96756763E-05   2.42485360E-05  
  63               3.52018685E+00   1.39478181E+03   8.38678893E-01   1.60313651E-01   4.07815390E-04   3.74174428E-04   2.19715040E-06   1.25068355E-04   5.96751452E-05   2.42399765E-05  
  64               3.98465920E+00   1.43486939E+03   8.38704370E-01   1.60306209E-01   4.25356461E-04   3.57351504E-04   3.54592235E-06   1.04888345E-04   5.96739261E-05   2.41967467E-05  
  65               4.53118741E+00   1.46844823E+03   8.38716209E-01   1.60301927E-01   4.38515950E-04   3.44772010E-04   5.11397427E-06   9.25019688E-05   5.96729788E-05   2.41873862E-05  
  66               5.16663968E+00   1.51083703E+03   8.38731907E-01   1.60296633E-01   4.53486563E-04   3.32105365E-04   8.02710891E-06   7.69146917E-05   5.96757713E-05   2.39091101E-05  
  67               5.89425401E+00   1.54755190E+03   8.38723901E-01   1.60290460E-01   4.62706731E-04   3.23675712E-04   1.14929810E-05   6.80471458E-05   5.96743091E-05   2.38909896E-05  
  68               6.70178567E+00   1.59396394E+03   8.38718811E-01   1.60285175E-01   4.77111997E-04   3.28612922E-04   1.79388060E-05   5.33813271E-05   5.97003817E-05   2.21600790E-05  
  69               7.57569378E+00   1.63539723E+03   8.38718228E-01   1.60281682E-01   4.84786094E-04   3.22188662E-04   2.59558817E-05   4.57586214E-05   5.97005999E-05   2.21300904E-05  
  70               8.50047483E+00   1.68675044E+03   8.38704237E-01   1.60275727E-01   4.94628401E-04   3.17624469E-04   4.05981646E-05   3.58473694E-05   5.97029645E-05   2.19890902E-05  
  71               9.42875591E+00   1.73375851E+03   8.38664340E-01   1.60268502E-01   5.02287503E-04   3.25717723E-04   5.96360042E-05   2.81480034E-05   5.97147779E-05   2.16431595E-05  
  72               1.03028923E+01   1.77500673E+03   8.38588184E-01   1.60258350E-01   5.08438458E-04   3.50010940E-04   8.21091706E-05   2.19537328E-05   5.97330840E-05   2.10988545E-05  
  73               1.10843114E+01   1.80933496E+03   8.38497625E-01   1.60249828E-01   5.13335915E-04   3.93804450E-04   1.05854747E-04   1.70259686E-05   5.97736125E-05   2.04439344E-05  
  74               1.17609482E+01   1.83774842E+03   8.38477942E-01   1.60247370E-01   5.15039934E-04   3.92111660E-04   1.29656514E-04   1.53026593E-05   5.97596454E-05   2.04499311E-05  
  75               1.25126376E+01   1.86758392E+03   8.38442063E-01   1.60242478E-01   5.16547323E-04   3.90543722E-04   1.59251577E-04   1.37633318E-05   5.97441035E-05   2.04520559E-05  
  76               1.31540799E+01   1.89207002E+03   8.38417438E-01   1.60239866E-01   5.17630953E-04   3.89418399E-04   1.87574106E-04   1.26576893E-05   5.97426498E-05   2.04504413E-05  
  77               1.36726634E+01   1.91101220E+03   8.38395770E-01   1.60237657E-01   5.18371118E-04   3.88644178E-04   2.12201218E-04   1.18988302E-05   5.97326385E-05   2.04469867E-05  
  78               1.42597529E+01   1.93195377E+03   8.38368879E-01   1.60234989E-01   5.19117755E-04   3.87859389E-04   2.42514855E-04   1.11304538E-05   5.97223491E-05   2.04405529E-05  
  79               1.49216582E+01   1.95454253E+03   8.38336211E-01   1.60231833E-01   5.19830398E-04   3.87105132E-04   2.79059886E-04   1.03926650E-05   5.97100497E-05   2.04306813E-05  
  80               1.56646785E+01   1.97911462E+03   8.38265035E-01   1.60222116E-01   5.20505152E-04   3.86351595E-04   3.23855066E-04   9.66858534E-06   5.96880937E-05   2.04152987E-05  
  81               1.61865116E+01   1.99562779E+03   8.38234977E-01   1.60219333E-01   5.20921055E-04   3.85915306E-04   3.57082818E-04   9.23237822E-06   5.96944344E-05   2.04033480E-05  
  82               1.65362104E+01   2.00662232E+03   8.38213551E-01   1.60217351E-01   5.21183715E-04   3.85626037E-04   3.80765065E-04   8.95464379E-06   5.96819146E-05   2.03941473E-05  
  83               1.69361962E+01   2.01875458E+03   8.38188568E-01   1.60215058E-01   5.21451281E-04   3.85353304E-04   4.08279805E-04   8.67024817E-06   5.96730549E-05   2.03833144E-05  
  84               1.73947872E+01   2.03258157E+03   8.38158246E-01   1.60212286E-01   5.21742952E-04   3.85027272E-04   4.41667895E-04   8.35865319E-06   5.96641425E-05   2.03693384E-05  
  85               1.79185625E+01   2.04779216E+03   8.38122576E-01   1.60209050E-01   5.22035464E-04   3.84736565E-04   4.80813082E-04   8.04311422E-06   5.96538335E-05   2.03527822E-05  
  86               1.85144557E+01   2.06486055E+03   8.38079492E-01   1.60205161E-01   5.22343205E-04   3.84383647E-04   5.28125971E-04   7.70829313E-06   5.96420979E-05   2.03316985E-05  
  87               1.91924709E+01   2.08350711E+03   8.38028624E-01   1.60200596E-01   5.22643975E-04   3.84031529E-04   5.83895759E-04   7.37610144E-06   5.96282328E-05   2.03063462E-05  
  88               1.99613168E+01   2.10420438E+03   8.37967024E-01   1.60195092E-01   5.22951305E-04   3.83664592E-04   6.51352899E-04   7.03183113E-06   5.96124633E-05   2.02749176E-05  
  89               2.08302501E+01   2.12656417E+03   8.37894278E-01   1.60188623E-01   5.23242030E-04   3.83306328E-04   7.30912812E-04   6.69828927E-06   5.95939886E-05   2.02374619E-05  
  90               2.18091056E+01   2.15104207E+03   8.37806484E-01   1.60180843E-01   5.23527936E-04   3.82942408E-04   8.26837101E-04   6.36218831E-06   5.95730471E-05   2.01917805E-05  
  91               2.29083561E+01   2.17718652E+03   8.37702991E-01   1.60171705E-01   5.23787656E-04   3.82594551E-04   9.39805011E-04   6.04439541E-06   5.95487540E-05   2.01380410E-05  
  92               2.41391824E+01   2.20544104E+03   8.37578665E-01   1.60160756E-01   5.24031905E-04   3.82248927E-04   1.07541759E-03   5.73226514E-06   5.95213202E-05   2.00736607E-05  
  93               2.55135912E+01   2.23527481E+03   8.37432772E-01   1.60147941E-01   5.24241268E-04   3.81925463E-04   1.23444421E-03   5.44459786E-06   5.94897756E-05   1.99991710E-05  
  94               2.70445283E+01   2.26713884E+03   8.37258613E-01   1.60132670E-01   5.24426067E-04   3.81609997E-04   1.42418997E-03   5.16859035E-06   5.94542894E-05   1.99116251E-05  
  95               2.87460517E+01   2.30042313E+03   8.37053686E-01   1.60114527E-01   5.24567800E-04   3.81319816E-04   1.64519346E-03   4.92082651E-06   5.94136677E-05   1.98121624E-05  
  96               3.06328690E+01   2.33561690E+03   8.36805026E-01   1.60093305E-01   5.24762328E-04   3.87137766E-04   1.90695576E-03   4.61449122E-06   5.93714857E-05   1.97307313E-05  
  97               3.27217977E+01   2.37200724E+03   8.36527374E-01   1.60069060E-01   5.24825895E-04   3.87002378E-04   2.20898571E-03   4.41322462E-06   5.93204286E-05   1.96029097E-05  
  98               3.50316890E+01   2.41019918E+03   8.36200988E-01   1.60040577E-01   5.24852929E-04   3.86866942E-04   2.56400192E-03   4.22707228E-06   5.92634762E-05   1.94580058E-05  
  99               3.75828274E+01   2.44934455E+03   8.35828475E-01   1.60008091E-01   5.24828492E-04   3.86747528E-04   2.96914368E-03   4.07088772E-06   5.91993361E-05   1.92999511E-05  
  100              4.03974649E+01   2.49019050E+03   8.35394224E-01   1.59970236E-01   5.24763044E-04   3.86628362E-04   3.44141020E-03   3.92860400E-06   5.91280767E-05   1.91238066E-05  
  101              4.35005323E+01   2.53168885E+03   8.34905393E-01   1.59927642E-01   5.24641593E-04   3.86529897E-04   3.97298454E-03   3.81621083E-06   5.90482453E-05   1.89359333E-05  
