# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   2.58090789E+02   8.38302676E-01   1.60506742E-01   8.42828910E-40   6.03199536E-04   1.33538716E-04   3.63400124E-04   5.80678464E-05   2.29885156E-05  
  2                2.87523021E-05   2.95001658E+02   8.38311001E-01   1.60498448E-01   1.63141901E-34   6.03184688E-04   1.33535428E-04   3.63391179E-04   5.80664170E-05   2.29873275E-05  
  3                5.10394217E-05   2.99234001E+02   8.38308231E-01   1.60501203E-01   4.30360430E-34   6.03189996E-04   1.33536603E-04   3.63394377E-04   5.80669280E-05   2.29877222E-05  
  4                7.81614951E-05   3.13868550E+02   8.38312253E-01   1.60497195E-01   2.06945391E-32   6.03182830E-04   1.33535017E-04   3.63390060E-04   5.80662383E-05   2.29871482E-05  
  5                1.11233287E-04   3.15890730E+02   8.38309955E-01   1.60499484E-01   2.96189474E-32   6.03187433E-04   1.33536036E-04   3.63392833E-04   5.80666816E-05   2.29874759E-05  
  6                1.51680919E-04   3.27763142E+02   8.38313161E-01   1.60496289E-01   5.13703064E-31   6.03181766E-04   1.33534781E-04   3.63389418E-04   5.80661362E-05   2.29870184E-05  
  7                2.01178825E-04   3.29038723E+02   8.38311016E-01   1.60498413E-01   6.08378839E-31   6.03186128E-04   1.33535747E-04   3.63392047E-04   5.80665565E-05   2.29873226E-05  
  8                2.61830336E-04   3.39801852E+02   8.38313766E-01   1.60495673E-01   6.67051548E-30   6.03181387E-04   1.33534698E-04   3.63389190E-04   5.80661004E-05   2.29869301E-05  
  9                3.36144177E-04   3.41052595E+02   8.38311875E-01   1.60497556E-01   7.81518004E-30   6.03185488E-04   1.33535605E-04   3.63391661E-04   5.80664956E-05   2.29871999E-05  
  10               4.27251571E-04   3.51490659E+02   8.38314350E-01   1.60495030E-01   6.81775245E-29   6.03181586E-04   1.33534742E-04   3.63389310E-04   5.80661206E-05   2.29868380E-05  
  11               5.38939508E-04   3.52897109E+02   8.38312661E-01   1.60496711E-01   8.17552004E-29   6.03185503E-04   1.33535609E-04   3.63391670E-04   5.80664982E-05   2.29870788E-05  
  12               6.75920765E-04   3.63146420E+02   8.38314953E-01   1.60494426E-01   5.96367410E-28   6.03182042E-04   1.33534843E-04   3.63389585E-04   5.80661658E-05   2.29867516E-05  
  13               8.43918702E-04   3.64604673E+02   8.38313343E-01   1.60496027E-01   7.12768274E-28   6.03186937E-04   1.33535926E-04   3.63392534E-04   5.80666378E-05   2.29869808E-05  
  14               1.05002259E-03   3.74767843E+02   8.38315416E-01   1.60493959E-01   4.50918295E-27   6.03184206E-04   1.33535322E-04   3.63390888E-04   5.80663758E-05   2.29866847E-05  
  15               1.30285921E-03   3.76273694E+02   8.38313856E-01   1.60495511E-01   5.35925563E-27   6.03188418E-04   1.33536254E-04   3.63393426E-04   5.80667823E-05   2.29869070E-05  
  16               1.61306104E-03   3.86523075E+02   8.38315602E-01   1.60493569E-01   3.06923984E-26   6.03186300E-04   1.33535785E-04   3.63392150E-04   5.80665795E-05   2.29866287E-05  
  17               1.99359063E-03   3.88146551E+02   8.38314112E-01   1.60495049E-01   3.66912083E-26   6.03190582E-04   1.33536733E-04   3.63394730E-04   5.80669930E-05   2.29868408E-05  
  18               2.46036981E-03   3.98635586E+02   8.38315918E-01   1.60493247E-01   1.96258319E-25   6.03188830E-04   1.33536345E-04   3.63393674E-04   5.80668257E-05   2.29865827E-05  
  19               3.03281913E-03   4.00395636E+02   8.38314453E-01   1.60494697E-01   2.36222903E-25   6.03196597E-04   1.33538065E-04   3.63398353E-04   5.80675748E-05   2.29867903E-05  
  20               3.73469823E-03   4.11323306E+02   8.38316210E-01   1.60492942E-01   1.21876163E-24   6.03195334E-04   1.33537785E-04   3.63397593E-04   5.80674548E-05   2.29865391E-05  
  21               4.59502492E-03   4.13265750E+02   8.38314800E-01   1.60494341E-01   1.48400164E-24   6.03200024E-04   1.33538824E-04   3.63400418E-04   5.80679079E-05   2.29867394E-05  
  22               5.64934204E-03   4.24574655E+02   8.38315874E-01   1.60492555E-01   7.29373824E-24   6.03199115E-04   1.33538623E-04   3.63399871E-04   5.80678222E-05   2.29864836E-05  
  23               6.94120640E-03   4.26736458E+02   8.38314561E-01   1.60493841E-01   9.00696786E-24   6.03203452E-04   1.33539583E-04   3.63402483E-04   5.80682415E-05   2.29866678E-05  
  24               8.52396406E-03   4.38543586E+02   8.38316169E-01   1.60492236E-01   4.27641883E-23   6.03202412E-04   1.33539352E-04   3.63401857E-04   5.80681433E-05   2.29864379E-05  
  25               1.04625546E-02   4.40998263E+02   8.38314755E-01   1.60493494E-01   5.39112597E-23   6.03219011E-04   1.33543027E-04   3.63411857E-04   5.80697432E-05   2.29866180E-05  
  26               1.28361416E-02   4.53395229E+02   8.38315962E-01   1.60491946E-01   2.49008558E-22   6.03219153E-04   1.33543059E-04   3.63411943E-04   5.80697589E-05   2.29863963E-05  
  27               1.57405522E-02   4.56465479E+02   8.38314598E-01   1.60493299E-01   3.32341959E-22   6.03224440E-04   1.33544229E-04   3.63415128E-04   5.80702700E-05   2.29865901E-05  
  28               1.92913570E-02   4.70018466E+02   8.38313992E-01   1.60491213E-01   1.58501753E-21   6.03228269E-04   1.33545077E-04   3.63417435E-04   5.80706408E-05   2.29862914E-05  
  29               2.36251257E-02   4.74601466E+02   8.38313431E-01   1.60491769E-01   2.46098272E-21   6.03230953E-04   1.33545671E-04   3.63419052E-04   5.80709015E-05   2.29863710E-05  
  30               2.89176882E-02   4.87508950E+02   8.38314672E-01   1.60490531E-01   9.67588862E-21   6.03229743E-04   1.33545403E-04   3.63418323E-04   5.80707873E-05   2.29861937E-05  
  31               3.53755224E-02   4.92789103E+02   8.38313942E-01   1.60491180E-01   1.56146484E-20   6.03271762E-04   1.33554706E-04   3.63443638E-04   5.80748348E-05   2.29862866E-05  
  32               4.32468651E-02   5.06783208E+02   8.38315200E-01   1.60489920E-01   6.18822390E-20   6.03272273E-04   1.33554819E-04   3.63443946E-04   5.80748866E-05   2.29861062E-05  
  33               5.28277355E-02   5.13108759E+02   8.38314700E-01   1.60490413E-01   1.06352173E-19   6.03276253E-04   1.33555700E-04   3.63446343E-04   5.80752723E-05   2.29861768E-05  
  34               6.44802952E-02   5.28395302E+02   8.38315973E-01   1.60489139E-01   4.26062230E-19   6.03276850E-04   1.33555832E-04   3.63446703E-04   5.80753325E-05   2.29859943E-05  
  35               7.86361335E-02   5.36082087E+02   8.38315666E-01   1.60489439E-01   7.89584769E-19   6.03280591E-04   1.33556660E-04   3.63448956E-04   5.80756953E-05   2.29860373E-05  
  36               9.58116956E-02   5.52884202E+02   8.38316933E-01   1.60488171E-01   3.19490462E-18   6.03281335E-04   1.33556825E-04   3.63449405E-04   5.80757699E-05   2.29858556E-05  
  37               1.16615662E-01   5.62189207E+02   8.38316813E-01   1.60488284E-01   6.38477931E-18   6.03284871E-04   1.33557608E-04   3.63451535E-04   5.80761133E-05   2.29858719E-05  
  38               1.41777757E-01   5.80876867E+02   8.38318061E-01   1.60487034E-01   2.62618062E-17   6.03285834E-04   1.33557821E-04   3.63452115E-04   5.80762091E-05   2.29856928E-05  
  39               1.72145715E-01   5.92193343E+02   8.38318120E-01   1.60486968E-01   5.68600329E-17   6.03289212E-04   1.33558569E-04   3.63454151E-04   5.80765377E-05   2.29856834E-05  
  40               2.08716937E-01   6.13026966E+02   8.38319303E-01   1.60485783E-01   2.35516550E-16   6.03290494E-04   1.33558853E-04   3.63454923E-04   5.80766645E-05   2.29855136E-05  
  41               2.52644028E-01   6.26751609E+02   8.38319509E-01   1.60485569E-01   5.50766635E-16   6.03293799E-04   1.33559585E-04   3.63456914E-04   5.80769863E-05   2.29854831E-05  
  42               3.05341569E-01   6.50114084E+02   8.38320590E-01   1.60484486E-01   2.28531442E-15   6.03295492E-04   1.33559960E-04   3.63457934E-04   5.80771531E-05   2.29853278E-05  
  43               3.68451814E-01   6.66667775E+02   8.38320883E-01   1.60484176E-01   5.72077445E-15   6.03298795E-04   1.33560691E-04   3.63459924E-04   5.80774751E-05   2.29852834E-05  
  44               4.43890220E-01   6.92900864E+02   8.38321822E-01   1.60483233E-01   2.34739606E-14   6.03301027E-04   1.33561185E-04   3.63461269E-04   5.80776941E-05   2.29851484E-05  
