# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  34               7.46967450E-02   7.84061194E+02   8.38449540E-01   1.60500035E-01   4.91838372E-12   3.48375380E-04   4.21546054E-04   1.86423649E-04   5.95032475E-05   0.00000000E+00  
  35               9.24065620E-02   7.98015932E+02   8.38449685E-01   1.60499878E-01   7.99996428E-12   3.48375509E-04   4.21546221E-04   1.86423725E-04   5.95029407E-05   0.00000000E+00  
  36               1.14203239E-01   8.10210231E+02   8.38449728E-01   1.60499813E-01   1.18823418E-11   3.48375714E-04   4.21546484E-04   1.86423844E-04   5.95026310E-05   0.00000000E+00  
  37               1.40984708E-01   8.26404002E+02   8.38449988E-01   1.60499514E-01   2.03499061E-11   3.48375856E-04   4.21546672E-04   1.86423929E-04   5.95022955E-05   0.00000000E+00  
  38               1.73820567E-01   8.40995645E+02   8.38450175E-01   1.60499299E-01   3.20439516E-11   3.48375907E-04   4.21546752E-04   1.86423967E-04   5.95019305E-05   0.00000000E+00  
  39               2.13978679E-01   8.59786734E+02   8.38450663E-01   1.60498717E-01   5.76891445E-11   3.48376308E-04   4.21547259E-04   1.86424193E-04   5.95016123E-05   0.00000000E+00  
  40               2.62963613E-01   8.77263935E+02   8.38451039E-01   1.60498163E-01   9.64670631E-11   3.48375995E-04   4.21546902E-04   1.86424036E-04   5.95011594E-05   0.00000000E+00  
  41               3.22540026E-01   8.99223465E+02   8.38451899E-01   1.60496948E-01   1.82904523E-10   3.48376149E-04   4.21547114E-04   1.86424131E-04   5.95007740E-05   0.00000000E+00  
  42               3.94723704E-01   9.20124988E+02   8.38452548E-01   1.60495589E-01   3.24276084E-10   3.48376495E-04   4.21547555E-04   1.86424327E-04   5.95004080E-05   0.00000000E+00  
  43               4.81863459E-01   9.45740917E+02   8.38453901E-01   1.60492913E-01   6.43724841E-10   3.48384445E-04   4.21557187E-04   1.86428588E-04   5.95013260E-05   0.00000000E+00  
