# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                CO              
  34               3.63233750E-01   2.91434392E+02   8.38119299E-01   1.60472535E-01   7.76917349E-04   5.27541712E-04   4.58995070E-05   3.01615368E-05   4.89050944E-37   3.79892828E-07  
  35               4.21987352E-01   3.02776535E+02   8.38119299E-01   1.60472535E-01   7.76917353E-04   5.27541714E-04   4.58995072E-05   3.01615369E-05   1.31908205E-35   3.79892830E-07  
  36               4.90031827E-01   3.12572271E+02   8.38119299E-01   1.60472535E-01   7.76917358E-04   5.27541717E-04   4.58995075E-05   3.01615371E-05   1.84773646E-34   3.79892832E-07  
  37               5.68744888E-01   3.25518821E+02   8.38119299E-01   1.60472535E-01   7.76917362E-04   5.27541720E-04   4.58995077E-05   3.01615372E-05   4.82973071E-33   3.79892834E-07  
  38               6.59636928E-01   3.37447352E+02   8.38119298E-01   1.60472535E-01   7.76917370E-04   5.27541726E-04   4.58995082E-05   3.01615375E-05   7.75098141E-32   3.79892838E-07  
  39               7.64366997E-01   3.53199910E+02   8.38119293E-01   1.60472533E-01   7.76917375E-04   5.27541730E-04   4.58995085E-05   3.01615377E-05   2.31337470E-30   3.79892840E-07  
  40               8.84719004E-01   3.69697081E+02   8.38119293E-01   1.60472533E-01   7.76917381E-04   5.27541733E-04   4.58995088E-05   3.01615379E-05   5.93756464E-29   3.79892843E-07  
  41               1.02300647E+00   3.86524844E+02   8.38119293E-01   1.60472533E-01   7.76917444E-04   5.27541776E-04   4.58995125E-05   3.01615403E-05   1.21887839E-27   3.79892874E-07  
  42               1.18176689E+00   4.04141835E+02   8.38118898E-01   1.60472457E-01   7.76917203E-04   5.27541613E-04   4.58994983E-05   3.01615310E-05   2.19920090E-26   3.79892756E-07  
  43               1.36371038E+00   4.22115603E+02   8.38118928E-01   1.60472417E-01   7.76922868E-04   5.27545459E-04   4.58998329E-05   3.01617509E-05   3.27125460E-25   3.79895526E-07  
  44               1.57179072E+00   4.40909879E+02   8.38118926E-01   1.60472415E-01   7.76922906E-04   5.27545485E-04   4.58998352E-05   3.01617523E-05   4.34523011E-24   3.79895545E-07  
  45               1.80932080E+00   4.60051578E+02   8.38118875E-01   1.60472404E-01   7.76922918E-04   5.27545493E-04   4.58998358E-05   3.01617528E-05   4.85920883E-23   3.79895551E-07  
  46               2.08028656E+00   4.80060062E+02   8.38118489E-01   1.60472371E-01   7.76923087E-04   5.27545608E-04   4.58998458E-05   3.01617593E-05   4.92966962E-22   3.79895633E-07  
  47               2.38908002E+00   5.00429217E+02   8.38118227E-01   1.60472628E-01   7.76925631E-04   5.27547335E-04   4.58999961E-05   3.01618580E-05   4.29942828E-21   3.79896877E-07  
  48               2.74040530E+00   5.21717591E+02   8.38115565E-01   1.60472090E-01   7.76927053E-04   5.27548301E-04   4.59000800E-05   3.01619132E-05   3.44834297E-20   3.79897573E-07  
  49               3.13956954E+00   5.43370537E+02   8.38115774E-01   1.60471774E-01   7.76987288E-04   5.27589201E-04   4.59036386E-05   3.01642516E-05   2.41836558E-19   3.79927026E-07  
  50               3.59221993E+00   5.65995398E+02   8.38115850E-01   1.60471698E-01   7.76987719E-04   5.27589494E-04   4.59036640E-05   3.01642683E-05   1.57751339E-18   3.79927237E-07  
  51               4.10523831E+00   5.88986700E+02   8.38115977E-01   1.60471571E-01   7.76987466E-04   5.27589323E-04   4.59036491E-05   3.01642584E-05   9.12960558E-18   3.79927113E-07  
  52               4.68625464E+00   6.13041742E+02   8.38116188E-01   1.60471361E-01   7.76987014E-04   5.27589016E-04   4.59036223E-05   3.01642408E-05   4.97448789E-17   3.79926892E-07  
  53               5.34288383E+00   6.37455646E+02   8.38116508E-01   1.60471042E-01   7.76986323E-04   5.27588547E-04   4.59035814E-05   3.01642139E-05   2.43319002E-16   3.79926554E-07  
  54               6.08355699E+00   6.62955917E+02   8.38116991E-01   1.60470561E-01   7.76985246E-04   5.27587815E-04   4.59035178E-05   3.01641720E-05   1.12683494E-15   3.79926028E-07  
  55               6.91695337E+00   6.88766659E+02   8.38117647E-01   1.60469906E-01   7.76983795E-04   5.27586830E-04   4.59034320E-05   3.01641156E-05   4.72551507E-15   3.79925318E-07  
  56               7.85304994E+00   7.15667856E+02   8.38118529E-01   1.60469026E-01   7.76981767E-04   5.27585453E-04   4.59033121E-05   3.01640368E-05   1.88521991E-14   3.79924327E-07  
  57               8.90519358E+00   7.42911257E+02   8.38119593E-01   1.60467960E-01   7.76979359E-04   5.27583818E-04   4.59031698E-05   3.01639433E-05   6.89578488E-14   3.79923150E-07  
  58               1.00869932E+01   7.71361165E+02   8.38120859E-01   1.60466680E-01   7.76976474E-04   5.27581859E-04   4.59029993E-05   3.01638312E-05   2.42166305E-13   3.79921743E-07  
  59               1.14143593E+01   8.00191548E+02   8.38122198E-01   1.60465292E-01   7.76973616E-04   5.27579918E-04   4.59028303E-05   3.01637201E-05   7.87771977E-13   3.79920369E-07  
  60               1.29038857E+01   8.30303659E+02   8.38123527E-01   1.60463767E-01   7.76971073E-04   5.27578191E-04   4.59026800E-05   3.01636213E-05   2.47348384E-12   3.79919263E-07  
  61               1.45713593E+01   8.60748679E+02   8.38124785E-01   1.60462259E-01   7.76972298E-04   5.27579023E-04   4.59027523E-05   3.01636687E-05   7.23450880E-12   3.79920664E-07  
  62               1.64367068E+01   8.92493420E+02   8.38126245E-01   1.60460784E-01   7.76973647E-04   5.27579939E-04   4.59028318E-05   3.01637210E-05   2.04822625E-11   3.79925702E-07  
  63               1.85226198E+01   9.24583868E+02   8.38127579E-01   1.60459420E-01   7.76970703E-04   5.27577940E-04   4.59026578E-05   3.01636065E-05   5.44219231E-11   3.79947091E-07  
  64               2.08491787E+01   9.57969096E+02   8.38128802E-01   1.60458107E-01   7.76968120E-04   5.27576186E-04   4.59025051E-05   3.01635061E-05   1.40262021E-10   3.80055585E-07  
  65               2.34375265E+01   9.91562276E+02   8.38129743E-01   1.60456923E-01   7.76966757E-04   5.27575261E-04   4.59024245E-05   3.01634531E-05   3.40228424E-10   3.80552440E-07  
  66               2.63073565E+01   1.02636008E+03   8.38130301E-01   1.60455773E-01   7.76967940E-04   5.27576063E-04   4.59024942E-05   3.01634989E-05   8.01073211E-10   3.82613825E-07  
  67               2.94768283E+01   1.06114160E+03   8.38129999E-01   1.60454660E-01   7.76974424E-04   5.27580462E-04   4.59028775E-05   3.01637506E-05   1.77859903E-09   3.90444864E-07  
  68               3.29736258E+01   1.09705645E+03   8.38129418E-01   1.60453652E-01   7.76989605E-04   5.27590737E-04   4.59037762E-05   3.01643411E-05   3.84200267E-09   4.16568232E-07  
  69               3.68392959E+01   1.13300843E+03   8.38130123E-01   1.60452866E-01   7.76987918E-04   5.27589383E-04   4.59036890E-05   3.01642836E-05   7.89210480E-09   4.91821795E-07  
  70               4.11176289E+01   1.17029855E+03   8.38130723E-01   1.60452074E-01   7.76986164E-04   5.27587027E-04   4.59036587E-05   3.01642631E-05   1.58857348E-08   6.73209876E-07  
  71               4.58484197E+01   1.20762603E+03   8.38131141E-01   1.60451296E-01   7.76980701E-04   5.27577363E-04   4.59037308E-05   3.01643075E-05   3.05750203E-08   1.02556134E-06  
