# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   3.68157691E+02   8.38466308E-01   1.60503991E-01   1.31259864E-26   3.74970674E-04   3.98162179E-04   1.63691813E-04   5.96379650E-05   0.00000000E+00  
  2                7.22105609E-04   4.31048328E+02   8.38464125E-01   1.60505720E-01   5.17555145E-23   3.74976298E-04   3.98168151E-04   1.63694268E-04   5.96388581E-05   0.00000000E+00  
  3                1.49852158E-03   4.54867244E+02   8.38463744E-01   1.60506022E-01   8.79622929E-22   3.75005808E-04   3.98199483E-04   1.63707150E-04   5.96435440E-05   0.00000000E+00  
  4                2.37921816E-03   4.73173257E+02   8.38463792E-01   1.60505933E-01   6.55955604E-21   3.75020747E-04   3.98215344E-04   1.63713671E-04   5.96459156E-05   0.00000000E+00  
  5                3.39201446E-03   4.83804499E+02   8.38463610E-01   1.60506086E-01   1.86780863E-20   3.75031684E-04   3.98226956E-04   1.63718445E-04   5.96476520E-05   0.00000000E+00  
  6                4.56326643E-03   4.96549708E+02   8.38463634E-01   1.60506040E-01   6.52042122E-20   3.75040276E-04   3.98236079E-04   1.63722196E-04   5.96490160E-05   0.00000000E+00  
  7                5.92161501E-03   5.04090999E+02   8.38463447E-01   1.60506207E-01   1.26676943E-19   3.75047786E-04   3.98244052E-04   1.63725474E-04   5.96502082E-05   0.00000000E+00  
  8                7.49991745E-03   5.14887564E+02   8.38463463E-01   1.60506174E-01   3.37169720E-19   3.75054266E-04   3.98250932E-04   1.63728303E-04   5.96512369E-05   0.00000000E+00  
  9                9.33617634E-03   5.21280699E+02   8.38463279E-01   1.60506341E-01   5.66483961E-19   3.75060357E-04   3.98257399E-04   1.63730962E-04   5.96522039E-05   0.00000000E+00  
  10               1.14744613E-02   5.31364882E+02   8.38463300E-01   1.60506306E-01   1.33537798E-18   3.75065836E-04   3.98263217E-04   1.63733353E-04   5.96530736E-05   0.00000000E+00  
  11               1.39654045E-02   5.37430173E+02   8.38463127E-01   1.60506465E-01   2.12025919E-18   3.75071189E-04   3.98268900E-04   1.63735690E-04   5.96539234E-05   0.00000000E+00  
  12               1.68677178E-02   5.47530054E+02   8.38463164E-01   1.60506415E-01   4.77409956E-18   3.75076110E-04   3.98274125E-04   1.63737838E-04   5.96547044E-05   0.00000000E+00  
  13               2.02489371E-02   5.53713471E+02   8.38463008E-01   1.60506557E-01   7.46622395E-18   3.75081033E-04   3.98279352E-04   1.63739987E-04   5.96554859E-05   0.00000000E+00  
  14               2.41870415E-02   5.64098040E+02   8.38463062E-01   1.60506491E-01   1.64380377E-17   3.75085620E-04   3.98284222E-04   1.63741989E-04   5.96562140E-05   0.00000000E+00  
  15               2.87715713E-02   5.70745490E+02   8.38462931E-01   1.60506609E-01   2.60038412E-17   3.75090274E-04   3.98289163E-04   1.63744021E-04   5.96569526E-05   0.00000000E+00  
  16               3.41057298E-02   5.81797738E+02   8.38463009E-01   1.60506520E-01   5.75517885E-17   3.75094659E-04   3.98293818E-04   1.63745935E-04   5.96576486E-05   0.00000000E+00  
  17               4.03072233E-02   5.89135638E+02   8.38462909E-01   1.60506608E-01   9.32219395E-17   3.75099143E-04   3.98298579E-04   1.63747892E-04   5.96583603E-05   0.00000000E+00  
  18               4.75103381E-02   6.01064023E+02   8.38463009E-01   1.60506495E-01   2.09209738E-16   3.75103396E-04   3.98303095E-04   1.63749749E-04   5.96590353E-05   0.00000000E+00  
  19               5.58671410E-02   6.09442911E+02   8.38462948E-01   1.60506545E-01   3.53262395E-16   3.75107774E-04   3.98307743E-04   1.63751660E-04   5.96597302E-05   0.00000000E+00  
  20               6.55518596E-02   6.22556119E+02   8.38463073E-01   1.60506408E-01   8.13657778E-16   3.75111970E-04   3.98312198E-04   1.63753492E-04   5.96603959E-05   0.00000000E+00  
  21               7.67637729E-02   6.32128592E+02   8.38463047E-01   1.60506422E-01   1.43116855E-15   3.75116298E-04   3.98316793E-04   1.63755381E-04   5.96610828E-05   0.00000000E+00  
  22               8.97342785E-02   6.46464770E+02   8.38463183E-01   1.60506271E-01   3.35031161E-15   3.75120505E-04   3.98321259E-04   1.63757217E-04   5.96617503E-05   0.00000000E+00  
  23               1.04722660E-01   6.57410865E+02   8.38463188E-01   1.60506253E-01   6.13387205E-15   3.75124825E-04   3.98325847E-04   1.63759103E-04   5.96624359E-05   0.00000000E+00  
  24               1.22026045E-01   6.73301973E+02   8.38463328E-01   1.60506089E-01   1.47075915E-14   3.75129144E-04   3.98330432E-04   1.63760988E-04   5.96631212E-05   0.00000000E+00  
  25               1.41974689E-01   6.85942614E+02   8.38463356E-01   1.60506041E-01   2.81614474E-14   3.75133490E-04   3.98335046E-04   1.63762885E-04   5.96638108E-05   0.00000000E+00  
  26               1.64936727E-01   7.03615787E+02   8.38463466E-01   1.60505864E-01   6.89768996E-14   3.75138216E-04   3.98340064E-04   1.63764949E-04   5.96645609E-05   0.00000000E+00  
  27               1.91311768E-01   7.18229538E+02   8.38463493E-01   1.60505786E-01   1.37907270E-13   3.75142569E-04   3.98344686E-04   1.63766849E-04   5.96652516E-05   0.00000000E+00  
  28               2.21540708E-01   7.38030771E+02   8.38463527E-01   1.60505590E-01   3.45322293E-13   3.75149492E-04   3.98352036E-04   1.63769871E-04   5.96663508E-05   0.00000000E+00  
  29               2.56106265E-01   7.55004755E+02   8.38463390E-01   1.60505453E-01   7.21059849E-13   3.75153944E-04   3.98356764E-04   1.63771814E-04   5.96670572E-05   0.00000000E+00  
  30               2.95554236E-01   7.77228477E+02   8.38463552E-01   1.60505270E-01   1.83554030E-12   3.75160752E-04   3.98363992E-04   1.63774786E-04   5.96681382E-05   0.00000000E+00  
  31               3.40519521E-01   7.96862231E+02   8.38463662E-01   1.60505141E-01   3.97127201E-12   3.75165387E-04   3.98368913E-04   1.63776809E-04   5.96688735E-05   0.00000000E+00  
  32               3.91692605E-01   8.21870281E+02   8.38463871E-01   1.60504904E-01   1.02225057E-11   3.75169987E-04   3.98373796E-04   1.63778817E-04   5.96696030E-05   0.00000000E+00  
  33               4.49798297E-01   8.44559602E+02   8.38464053E-01   1.60504664E-01   2.27668327E-11   3.75174704E-04   3.98378805E-04   1.63780877E-04   5.96703514E-05   0.00000000E+00  
  34               5.15635180E-01   8.72640890E+02   8.38464415E-01   1.60504169E-01   5.86534332E-11   3.75179458E-04   3.98383852E-04   1.63782952E-04   5.96711053E-05   0.00000000E+00  
  35               5.90001041E-01   8.98489317E+02   8.38464772E-01   1.60503473E-01   1.32001544E-10   3.75184573E-04   3.98389280E-04   1.63785183E-04   5.96719163E-05   0.00000000E+00  
  36               6.73704255E-01   9.29553274E+02   8.38465469E-01   1.60501931E-01   3.33075529E-10   3.75190401E-04   3.98395459E-04   1.63787724E-04   5.96728397E-05   0.00000000E+00  
  37               7.67638399E-01   9.58349700E+02   8.38466377E-01   1.60499583E-01   7.39392012E-10   3.75204079E-04   3.98409941E-04   1.63793678E-04   5.96750067E-05   0.00000000E+00  
