# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  34               4.71199894E-01   7.89023427E+02   8.38426431E-01   1.60498907E-01   2.42351984E-12   4.52709300E-04   3.10798198E-04   2.16983832E-04   5.93423168E-05   0.00000000E+00  
  35               5.40851607E-01   8.15743915E+02   8.38426713E-01   1.60498613E-01   6.82188369E-12   4.52709858E-04   3.10798581E-04   2.16984100E-04   5.93423822E-05   0.00000000E+00  
  36               6.19786949E-01   8.41786208E+02   8.38426951E-01   1.60498340E-01   1.74813276E-11   4.52710493E-04   3.10799016E-04   2.16984404E-04   5.93424574E-05   0.00000000E+00  
  37               7.09009807E-01   8.71718412E+02   8.38427260E-01   1.60497933E-01   4.84272902E-11   4.52711172E-04   3.10799483E-04   2.16984730E-04   5.93425381E-05   0.00000000E+00  
  38               8.09506787E-01   9.00969675E+02   8.38427534E-01   1.60497370E-01   1.22278590E-10   4.52712198E-04   3.10800191E-04   2.16985222E-04   5.93426640E-05   0.00000000E+00  
  39               9.22295703E-01   9.33821887E+02   8.38427855E-01   1.60496256E-01   3.24567067E-10   4.52714231E-04   3.10801604E-04   2.16986196E-04   5.93429215E-05   0.00000000E+00  
  40               1.04868067E+00   9.65670218E+02   8.38428224E-01   1.60494408E-01   7.81344378E-10   4.52726775E-04   3.10810300E-04   2.16992208E-04   5.93445565E-05   0.00000000E+00  
  41               1.19025860E+00   1.00063355E+03   8.38430529E-01   1.60490975E-01   1.92824712E-09   4.52722754E-04   3.10807909E-04   2.16990278E-04   5.93440202E-05   0.00000000E+00  
  42               1.34874259E+00   1.03415155E+03   8.38435833E-01   1.60485711E-01   4.30687158E-09   4.52716122E-04   3.10804945E-04   2.16987075E-04   5.93431442E-05   4.72186066E-16  
  43               1.52598146E+00   1.07039244E+03   8.38445058E-01   1.60476527E-01   9.72480021E-09   4.52704068E-04   3.10802905E-04   2.16981128E-04   5.93415774E-05   3.38355587E-15  
  44               1.72396018E+00   1.10479352E+03   8.38457250E-01   1.60464357E-01   1.99435749E-08   4.52687189E-04   3.10815137E-04   2.16971856E-04   5.93395160E-05   1.94142117E-14  
  45               1.94505796E+00   1.14156410E+03   8.38474511E-01   1.60447075E-01   4.10264447E-08   4.52658027E-04   3.10878503E-04   2.16951087E-04   5.93365965E-05   1.13591897E-13  
  46               2.19231152E+00   1.17625735E+03   8.38492869E-01   1.60428570E-01   7.72973211E-08   4.52598836E-04   3.11117597E-04   2.16886303E-04   5.93336034E-05   5.42198393E-13  
  47               2.46924811E+00   1.21330562E+03   8.38514275E-01   1.60406789E-01   1.46252048E-07   4.52414673E-04   3.11853784E-04   2.16634465E-04   5.93303156E-05   2.64254437E-12  
  48               2.77994766E+00   1.24828541E+03   8.38533462E-01   1.60387048E-01   2.56426153E-07   4.51776903E-04   3.13877426E-04   2.15672534E-04   5.93279412E-05   1.07202270E-11  
  49               3.12976109E+00   1.28575619E+03   8.38553963E-01   1.60366603E-01   4.52869923E-07   4.49762335E-04   3.18725664E-04   2.12551645E-04   5.93261281E-05   4.44671837E-11  
  50               3.52676653E+00   1.32121796E+03   8.38573467E-01   1.60350535E-01   7.48375942E-07   4.44426097E-04   3.28468126E-04   2.04361650E-04   5.93252491E-05   1.56019211E-10  
  51               3.98430276E+00   1.35933038E+03   8.38598574E-01   1.60336194E-01   1.24727743E-06   4.33205992E-04   3.44681593E-04   1.88026485E-04   5.93236935E-05   5.58368722E-10  
  52               4.51989469E+00   1.39544514E+03   8.38625123E-01   1.60326974E-01   1.95685018E-06   4.16202323E-04   3.64934406E-04   1.66586449E-04   5.93216626E-05   1.70845013E-09  
  53               5.15262219E+00   1.43433629E+03   8.38652956E-01   1.60319024E-01   3.09642155E-06   3.95947897E-04   3.86466901E-04   1.44039217E-04   5.93191697E-05   5.31539447E-09  
  54               5.89551366E+00   1.47122755E+03   8.38672924E-01   1.60313415E-01   4.64182929E-06   3.79101438E-04   4.03749328E-04   1.26954855E-04   5.93174762E-05   1.43640680E-08  
  55               6.75685656E+00   1.51100419E+03   8.38687535E-01   1.60307292E-01   7.03296327E-06   3.63800406E-04   4.19792386E-04   1.10809064E-04   5.93162591E-05   3.96466053E-08  
  56               7.73810885E+00   1.54880454E+03   8.38696139E-01   1.60302918E-01   1.01734677E-05   3.56006057E-04   4.32416859E-04   9.82025528E-05   5.93214247E-05   5.93748243E-08  
  57               8.84265269E+00   1.58975688E+03   8.38693552E-01   1.60296168E-01   1.49299183E-05   3.44665716E-04   4.44222331E-04   8.63475193E-05   5.93195407E-05   2.43081590E-07  
  58               1.00569769E+01   1.62896398E+03   8.38686544E-01   1.60291734E-01   2.10996564E-05   3.50054204E-04   4.55954937E-04   7.45661778E-05   5.93396527E-05   4.09437264E-07  
  59               1.13630155E+01   1.67178012E+03   8.38686614E-01   1.60287365E-01   3.04033552E-05   3.42104505E-04   4.65740959E-04   6.47330237E-05   5.93366714E-05   1.52648181E-06  
  60               1.27369901E+01   1.71369761E+03   8.38672333E-01   1.60281900E-01   4.27148213E-05   3.38940306E-04   4.74368996E-04   5.60549842E-05   5.93323746E-05   4.94525169E-06  
  61               1.41149244E+01   1.76082752E+03   8.38633150E-01   1.60273315E-01   6.20155986E-05   3.45555276E-04   4.85273044E-04   4.50871923E-05   5.93360620E-05   1.59021550E-05  
