# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   4.24309491E+02   8.38404711E-01   1.60492241E-01   1.66788485E-22   4.89965757E-04   2.65515357E-04   2.53760732E-04   5.90834888E-05   2.29862566E-05  
  2                2.35396293E-05   4.56920640E+02   8.38404704E-01   1.60492241E-01   9.10312961E-21   4.89965703E-04   2.65515328E-04   2.53760705E-04   5.90834823E-05   2.29862565E-05  
  3                4.00436696E-05   4.62794213E+02   8.38404686E-01   1.60492256E-01   1.45055580E-20   4.89965731E-04   2.65515343E-04   2.53760719E-04   5.90834857E-05   2.29862587E-05  
  4                6.05213502E-05   4.74620303E+02   8.38404682E-01   1.60492260E-01   4.87343719E-20   4.89965744E-04   2.65515350E-04   2.53760726E-04   5.90834873E-05   2.29862593E-05  
  5                8.59819846E-05   4.77838244E+02   8.38404665E-01   1.60492276E-01   5.94233207E-20   4.89965778E-04   2.65515368E-04   2.53760743E-04   5.90834914E-05   2.29862616E-05  
  6                1.17668903E-04   4.88545620E+02   8.38404663E-01   1.60492279E-01   1.70139401E-19   4.89965795E-04   2.65515377E-04   2.53760752E-04   5.90834934E-05   2.29862620E-05  
  7                1.57100254E-04   4.91729457E+02   8.38404645E-01   1.60492295E-01   2.08818236E-19   4.89965837E-04   2.65515400E-04   2.53760774E-04   5.90834986E-05   2.29862643E-05  
  8                2.06179296E-04   5.02189114E+02   8.38404644E-01   1.60492296E-01   5.56832552E-19   4.89965864E-04   2.65515415E-04   2.53760788E-04   5.90835020E-05   2.29862645E-05  
  9                2.67237075E-04   5.05757509E+02   8.38404627E-01   1.60492313E-01   7.08434217E-19   4.89965919E-04   2.65515445E-04   2.53760817E-04   5.90835087E-05   2.29862669E-05  
  10               3.43197812E-04   5.16267898E+02   8.38404627E-01   1.60492313E-01   1.80742776E-18   4.89965958E-04   2.65515466E-04   2.53760837E-04   5.90835135E-05   2.29862669E-05  
  11               4.37670302E-04   5.20298580E+02   8.38404609E-01   1.60492331E-01   2.37780893E-18   4.89966033E-04   2.65515506E-04   2.53760875E-04   5.90835226E-05   2.29862694E-05  
  12               5.55181568E-04   5.30895039E+02   8.38404609E-01   1.60492330E-01   5.80941079E-18   4.89966105E-04   2.65515545E-04   2.53760913E-04   5.90835315E-05   2.29862694E-05  
