# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  34               5.27169873E-02   1.74856240E+02   8.38125812E-01   1.60473775E-01   7.73314123E-04   5.24352678E-04   4.89850483E-05   2.38034884E-05   2.29841097E-05   8.88385881E-07  
  35               6.12393121E-02   1.84899582E+02   8.38123193E-01   1.60473273E-01   7.73315230E-04   5.24353428E-04   4.89851201E-05   2.38035238E-05   2.29840379E-05   8.88387151E-07  
  36               7.11222661E-02   1.92630839E+02   8.38105224E-01   1.60469833E-01   7.73317855E-04   5.24355209E-04   4.89852883E-05   2.38036061E-05   2.29835452E-05   8.88390166E-07  
  37               8.25685771E-02   2.03457283E+02   8.38074917E-01   1.60464030E-01   7.73333903E-04   5.24366089E-04   4.89863070E-05   2.38041017E-05   2.29827141E-05   8.88408599E-07  
  38               9.58113346E-02   2.11877103E+02   8.37551898E-01   1.60363889E-01   7.73364958E-04   5.24387147E-04   4.89882767E-05   2.38050596E-05   2.29683712E-05   8.88444273E-07  
  39               1.11123542E-01   2.23022298E+02   8.38126523E-01   1.60473911E-01   7.73852778E-04   5.24717917E-04   4.90191802E-05   2.38200774E-05   2.29841293E-05   8.89004680E-07  
  40               1.28832019E-01   2.30540932E+02   8.38127172E-01   1.60474035E-01   7.73416878E-04   5.24422351E-04   4.89915715E-05   2.38066624E-05   2.29841471E-05   8.88503914E-07  
  41               1.49326336E-01   2.41490757E+02   8.38126418E-01   1.60473891E-01   7.73923418E-04   5.24765815E-04   4.90236615E-05   2.38222570E-05   2.29841264E-05   8.89085825E-07  
  42               1.73056553E-01   2.49475714E+02   8.38126419E-01   1.60473891E-01   7.73923126E-04   5.24765616E-04   4.90236469E-05   2.38222511E-05   2.29841264E-05   8.89085486E-07  
  43               2.00531390E-01   2.61603275E+02   8.38126420E-01   1.60473891E-01   7.73922325E-04   5.24765073E-04   4.90236004E-05   2.38222297E-05   2.29841264E-05   8.89084563E-07  
  44               2.32285676E-01   2.73134237E+02   8.38126423E-01   1.60473892E-01   7.73920063E-04   5.24763538E-04   4.90234613E-05   2.38221633E-05   2.29841265E-05   8.89081959E-07  
  45               2.68960608E-01   2.86232912E+02   8.38126418E-01   1.60473891E-01   7.73923602E-04   5.24765938E-04   4.90236902E-05   2.38222759E-05   2.29841264E-05   8.89086021E-07  
  46               3.11287783E-01   2.98721914E+02   8.38126418E-01   1.60473891E-01   7.73923603E-04   5.24765938E-04   4.90236955E-05   2.38222800E-05   2.29841264E-05   8.89086018E-07  
  47               3.60125452E-01   3.12810345E+02   8.38126418E-01   1.60473891E-01   7.73923604E-04   5.24765938E-04   4.90237014E-05   2.38222846E-05   2.29841264E-05   8.89086013E-07  
  48               4.16415144E-01   3.26325776E+02   8.38126417E-01   1.60473891E-01   7.73923605E-04   5.24765938E-04   4.90237080E-05   2.38222897E-05   2.29841264E-05   8.89086008E-07  
  49               4.81224622E-01   3.41482449E+02   8.38126418E-01   1.60473891E-01   7.73923606E-04   5.24765939E-04   4.90237154E-05   2.38222954E-05   2.29841263E-05   8.89086003E-07  
  50               5.55771765E-01   3.56071070E+02   8.38126410E-01   1.60473889E-01   7.73923609E-04   5.24765940E-04   4.90237237E-05   2.38223018E-05   2.29841261E-05   8.89085999E-07  
  51               6.41479791E-01   3.72380833E+02   8.38126411E-01   1.60473888E-01   7.73923606E-04   5.24765938E-04   4.90237326E-05   2.38223087E-05   2.29841260E-05   8.89085988E-07  
  52               7.39933066E-01   3.88123288E+02   8.38126411E-01   1.60473888E-01   7.73923649E-04   5.24765966E-04   4.90237454E-05   2.38223178E-05   2.29841260E-05   8.89086028E-07  
  53               8.52873144E-01   4.05673808E+02   8.38125957E-01   1.60473801E-01   7.73923446E-04   5.24765827E-04   4.90237436E-05   2.38223202E-05   2.29841135E-05   8.89085785E-07  
  54               9.82260387E-01   4.22613461E+02   8.38125994E-01   1.60473755E-01   7.73927981E-04   5.24768901E-04   4.90240433E-05   2.38224694E-05   2.29841069E-05   8.89090984E-07  
  55               1.13033029E+00   4.41463025E+02   8.38125993E-01   1.60473752E-01   7.73927978E-04   5.24768898E-04   4.90240567E-05   2.38224798E-05   2.29841065E-05   8.89090968E-07  
  56               1.29958238E+00   4.59651257E+02   8.38125926E-01   1.60473736E-01   7.73928015E-04   5.24768922E-04   4.90240741E-05   2.38224927E-05   2.29841042E-05   8.89090998E-07  
  57               1.49272361E+00   4.79857543E+02   8.38125550E-01   1.60473714E-01   7.73928246E-04   5.24769077E-04   4.90241053E-05   2.38225126E-05   2.29841011E-05   8.89091248E-07  
  58               1.71268126E+00   4.99310767E+02   8.38125314E-01   1.60473948E-01   7.73929475E-04   5.24769909E-04   4.90242015E-05   2.38225646E-05   2.29841345E-05   8.89092643E-07  
