# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   2.75539231E+01   8.38085355E-01   1.60466038E-01   7.79828039E-04   5.30811152E-04   1.00455688E-04   2.29809027E-05   1.02447948E-05   0.00000000E+00  
  2                4.83417855E-05   3.68737382E+01   8.38085356E-01   1.60466038E-01   7.79827929E-04   5.30811077E-04   1.00455674E-04   2.29809027E-05   1.02447934E-05   0.00000000E+00  
  3                9.55710890E-05   3.86566383E+01   8.38085356E-01   1.60466038E-01   7.79827853E-04   5.30811025E-04   1.00455664E-04   2.29809027E-05   1.02447924E-05   0.00000000E+00  
  4                1.53741106E-04   4.14089613E+01   8.38085356E-01   1.60466038E-01   7.79827788E-04   5.30810981E-04   1.00455655E-04   2.29809027E-05   1.02447915E-05   0.00000000E+00  
  5                2.25372556E-04   4.24275497E+01   8.38085356E-01   1.60466038E-01   7.79827724E-04   5.30810938E-04   1.00455647E-04   2.29809027E-05   1.02447907E-05   0.00000000E+00  
  6                3.13567338E-04   4.50423943E+01   8.38085356E-01   1.60466038E-01   7.79827659E-04   5.30810893E-04   1.00455639E-04   2.29809027E-05   1.02447898E-05   0.00000000E+00  
  7                4.22126336E-04   4.60641743E+01   8.38085356E-01   1.60466038E-01   7.79827592E-04   5.30810847E-04   1.00455630E-04   2.29809027E-05   1.02447889E-05   0.00000000E+00  
  8                5.55727984E-04   4.85627174E+01   8.38085356E-01   1.60466038E-01   7.79827520E-04   5.30810798E-04   1.00455621E-04   2.29809027E-05   1.02447880E-05   0.00000000E+00  
  9                7.20088359E-04   4.94704485E+01   8.38085356E-01   1.60466038E-01   7.79827443E-04   5.30810746E-04   1.00455611E-04   2.29809027E-05   1.02447870E-05   0.00000000E+00  
  10               9.22231275E-04   5.19927900E+01   8.38085356E-01   1.60466038E-01   7.79827360E-04   5.30810690E-04   1.00455600E-04   2.29809027E-05   1.02447859E-05   0.00000000E+00  
  11               1.17075674E-03   5.29227710E+01   8.38085357E-01   1.60466038E-01   7.79827271E-04   5.30810629E-04   1.00455589E-04   2.29809027E-05   1.02447847E-05   0.00000000E+00  
  12               1.47613168E-03   5.56036403E+01   8.38085357E-01   1.60466038E-01   7.79827175E-04   5.30810563E-04   1.00455576E-04   2.29809027E-05   1.02447835E-05   0.00000000E+00  
  13               1.85121027E-03   5.64826982E+01   8.38085357E-01   1.60466038E-01   7.79827070E-04   5.30810492E-04   1.00455563E-04   2.29809027E-05   1.02447821E-05   0.00000000E+00  
  14               2.31166148E-03   5.92232574E+01   8.38085357E-01   1.60466038E-01   7.79826955E-04   5.30810414E-04   1.00455548E-04   2.29809027E-05   1.02447806E-05   0.00000000E+00  
  15               2.87642506E-03   6.01496160E+01   8.38085357E-01   1.60466038E-01   7.79826830E-04   5.30810329E-04   1.00455532E-04   2.29809027E-05   1.02447789E-05   0.00000000E+00  
  16               3.56863109E-03   6.31465592E+01   8.38085357E-01   1.60466038E-01   7.79826694E-04   5.30810236E-04   1.00455514E-04   2.29809027E-05   1.02447771E-05   0.00000000E+00  
  17               4.41644584E-03   6.42165671E+01   8.38085358E-01   1.60466038E-01   7.79826546E-04   5.30810136E-04   1.00455495E-04   2.29809027E-05   1.02447752E-05   0.00000000E+00  
  18               5.45357257E-03   6.74909859E+01   8.38085358E-01   1.60466038E-01   7.79826387E-04   5.30810027E-04   1.00455475E-04   2.29809028E-05   1.02447731E-05   0.00000000E+00  
  19               6.72043621E-03   6.87162682E+01   8.38085358E-01   1.60466038E-01   7.79826220E-04   5.30809914E-04   1.00455453E-04   2.29809028E-05   1.02447709E-05   0.00000000E+00  
  20               8.26623514E-03   7.22924843E+01   8.38085358E-01   1.60466038E-01   7.79826053E-04   5.30809800E-04   1.00455432E-04   2.29809028E-05   1.02447687E-05   0.00000000E+00  
  21               1.01456954E-02   7.37186481E+01   8.38085359E-01   1.60466038E-01   7.79825901E-04   5.30809696E-04   1.00455412E-04   2.29809028E-05   1.02447667E-05   0.00000000E+00  
  22               1.24213566E-02   7.77371528E+01   8.38085359E-01   1.60466038E-01   7.79825772E-04   5.30809608E-04   1.00455396E-04   2.29809028E-05   1.02447650E-05   0.00000000E+00  
  23               1.51689687E-02   7.93879273E+01   8.38085359E-01   1.60466038E-01   7.79825675E-04   5.30809542E-04   1.00455383E-04   2.29809028E-05   1.02447638E-05   0.00000000E+00  
  24               1.84819340E-02   8.38321374E+01   8.38085359E-01   1.60466039E-01   7.79825605E-04   5.30809495E-04   1.00455374E-04   2.29809028E-05   1.02447628E-05   0.00000000E+00  
  25               2.24750999E-02   8.57892857E+01   8.38085359E-01   1.60466039E-01   7.79825559E-04   5.30809463E-04   1.00455368E-04   2.29809028E-05   1.02447622E-05   0.00000000E+00  
  26               2.72883343E-02   9.09006291E+01   8.38085359E-01   1.60466039E-01   7.79825507E-04   5.30809428E-04   1.00455361E-04   2.29809028E-05   1.02447615E-05   0.00000000E+00  
