# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  34               1.85437765E-02   8.95940388E+02   8.38696804E-01   1.60333934E-01   6.84293729E-10   5.29331845E-04   3.41465914E-04   6.05151816E-05   0.00000000E+00   2.66300285E-15  
  35               2.23303684E-02   9.17154208E+02   8.38709807E-01   1.60320975E-01   1.24118608E-09   5.29314285E-04   3.41454734E-04   6.05131841E-05   0.00000000E+00   1.50744250E-14  
  36               2.68545263E-02   9.31517180E+02   8.38712991E-01   1.60317811E-01   1.77230744E-09   5.29310186E-04   3.41452234E-04   6.05127252E-05   0.00000000E+00   1.50740837E-14  
  37               3.22547576E-02   9.54937117E+02   8.38724827E-01   1.60306031E-01   3.26519762E-09   5.29293744E-04   3.41441769E-04   6.05108550E-05   0.00000000E+00   9.16277480E-14  
  38               3.86930504E-02   9.71385155E+02   8.38728435E-01   1.60302454E-01   4.78648181E-09   5.29288710E-04   3.41438660E-04   6.05102888E-05   6.99712762E-16   9.16253100E-14  
  39               4.63564021E-02   9.97289555E+02   8.38738464E-01   1.60292482E-01   8.93385090E-09   5.29274335E-04   3.41429521E-04   6.05086543E-05   3.37863514E-15   6.04762359E-13  
  40               5.54549515E-02   1.01656478E+03   8.38742250E-01   1.60288722E-01   1.35785689E-08   5.29268749E-04   3.41426050E-04   6.05080243E-05   9.63548760E-15   6.04744289E-13  
  41               6.62249332E-02   1.04594802E+03   8.38750334E-01   1.60280676E-01   2.60219729E-08   5.29256803E-04   3.41418471E-04   6.05066668E-05   4.88565777E-14   4.48068644E-12  
  42               7.89219348E-02   1.06894368E+03   8.38753831E-01   1.60277186E-01   4.13369931E-08   5.29251424E-04   3.41415127E-04   6.05060598E-05   1.53933758E-13   4.48054533E-12  
  43               9.38214752E-02   1.10253351E+03   8.38759600E-01   1.60271405E-01   8.13447816E-08   5.29242583E-04   3.41409549E-04   6.05050564E-05   8.14799418E-13   3.72540490E-11  
  44               1.11205791E-01   1.13011270E+03   8.38762274E-01   1.60268682E-01   1.35236235E-07   5.29238237E-04   3.41406887E-04   6.05045661E-05   2.82842500E-12   3.72528683E-11  
  45               1.31422362E-01   1.16854172E+03   8.38765706E-01   1.60265107E-01   2.71554693E-07   5.29232565E-04   3.41403439E-04   6.05039224E-05   1.53402704E-11   3.36746077E-10  
  46               1.54877125E-01   1.20109568E+03   8.38767201E-01   1.60263391E-01   4.66291494E-07   5.29229706E-04   3.41402150E-04   6.05035964E-05   5.66249347E-11   3.36735055E-10  
  47               1.81996911E-01   1.24488118E+03   8.38768594E-01   1.60261462E-01   9.44903167E-07   5.29226624E-04   3.41401918E-04   6.05032363E-05   3.06913898E-10   1.17746778E-09  
  48               2.13190488E-01   1.28332306E+03   8.38768717E-01   1.60260468E-01   1.66776329E-06   5.29225222E-04   3.41407831E-04   6.05030497E-05   1.19061438E-09   3.20582160E-09  
  49               2.48868136E-01   1.33323355E+03   8.38767609E-01   1.60259389E-01   3.38569549E-06   5.29225876E-04   3.41431870E-04   6.05030605E-05   6.35623774E-09   1.11825443E-08  
  50               2.89382577E-01   1.37781697E+03   8.38763577E-01   1.60258465E-01   6.03950666E-06   5.29231773E-04   3.41523881E-04   6.05036062E-05   2.48674398E-08   3.08770689E-08  
  51               3.35173724E-01   1.43407576E+03   8.38741905E-01   1.60254969E-01   1.20991392E-05   5.29257812E-04   3.41819779E-04   6.05063745E-05   1.25226416E-07   1.04511460E-07  
  52               3.86085539E-01   1.49043065E+03   8.38728553E-01   1.60256782E-01   2.29824743E-05   5.29452064E-04   3.42832671E-04   6.05284127E-05   3.60582765E-07   3.20737771E-07  
  53               4.41675328E-01   1.54554758E+03   8.38700231E-01   1.60253623E-01   4.10420208E-05   5.29481785E-04   3.44941643E-04   6.05321011E-05   2.69752275E-06   8.79839543E-07  
  54               5.00365101E-01   1.59812315E+03   8.38647357E-01   1.60249209E-01   6.86153148E-05   5.29643029E-04   3.49748583E-04   6.05523915E-05   1.36038385E-05   4.55216134E-06  
  55               5.58798281E-01   1.64581129E+03   8.38558148E-01   1.60243829E-01   1.06127544E-04   5.29885655E-04   3.57699783E-04   6.05844317E-05   4.17519094E-05   4.55162560E-06  
  56               6.13808792E-01   1.68724712E+03   8.38482784E-01   1.60240849E-01   1.51780085E-04   5.30280039E-04   3.65699585E-04   6.06360108E-05   6.62128128E-05   1.34480369E-05  
  57               6.61146431E-01   1.72053844E+03   8.38398715E-01   1.60229337E-01   1.99638451E-04   5.30215230E-04   3.71324251E-04   6.06365397E-05   6.61689972E-05   1.34461534E-05  
  58               7.15093151E-01   1.75626118E+03   8.38336652E-01   1.60223673E-01   2.64642914E-04   5.30118087E-04   3.74068198E-04   6.06342951E-05   6.61230947E-05   5.55052365E-05  
  59               7.61366863E-01   1.78517112E+03   8.38275339E-01   1.60218140E-01   3.29508293E-04   5.30485386E-04   3.75559590E-04   6.06878021E-05   6.60842163E-05   5.54996341E-05  
  60               7.98256237E-01   1.80727853E+03   8.38221278E-01   1.60213359E-01   3.87698535E-04   5.30408327E-04   3.76231962E-04   6.06864507E-05   6.60535130E-05   5.54950432E-05  
