# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  1                1.00000000E-05   4.74990008E+01   8.38104726E-01   1.60469746E-01   7.79147624E-04   5.29953804E-04   5.66133942E-05   3.16308469E-109  3.24984973E-05   2.29841617E-05  
  2                6.63519479E-05   5.89802471E+01   8.38104726E-01   1.60469746E-01   7.79147694E-04   5.29953851E-04   5.66133992E-05   1.22795933E-109  3.24985003E-05   2.29841617E-05  
  3                1.35736038E-04   6.42842720E+01   8.38104726E-01   1.60469746E-01   7.79147748E-04   5.29953889E-04   5.66134032E-05   8.58545343E-110  3.24985025E-05   2.29841617E-05  
  4                2.21159955E-04   7.00255911E+01   8.38104726E-01   1.60469746E-01   7.79147791E-04   5.29953918E-04   5.66134063E-05   6.72601102E-110  3.24985043E-05   2.29841617E-05  
  5                3.26166873E-04   7.37040877E+01   8.38104726E-01   1.60469746E-01   7.79147825E-04   5.29953941E-04   5.66134088E-05   5.53848387E-110  3.24985057E-05   2.29841617E-05  
  6                4.54086045E-04   7.77902910E+01   8.38104726E-01   1.60469746E-01   7.79147848E-04   5.29953956E-04   5.66134105E-05   4.69398549E-110  3.24985067E-05   2.29841617E-05  
  7                6.09293096E-04   8.05414615E+01   8.38104726E-01   1.60469746E-01   7.79147862E-04   5.29953966E-04   5.66134114E-05   4.05226363E-110  3.24985073E-05   2.29841617E-05  
  8                7.97164674E-04   8.47120956E+01   8.38104726E-01   1.60469746E-01   7.79147873E-04   5.29953973E-04   5.66134122E-05   3.54271974E-110  3.24985078E-05   2.29841617E-05  
  9                1.02436692E-03   8.78688329E+01   8.38104726E-01   1.60469746E-01   7.79147883E-04   5.29953980E-04   5.66134130E-05   3.12523764E-110  3.24985082E-05   2.29841617E-05  
  10               1.29937671E-03   9.27396596E+01   8.38104726E-01   1.60469746E-01   7.79147895E-04   5.29953988E-04   5.66134139E-05   2.77487408E-110  3.24985087E-05   2.29841617E-05  
  11               1.63240146E-03   9.63592563E+01   8.38104726E-01   1.60469746E-01   7.79147909E-04   5.29953998E-04   5.66134149E-05   2.47569610E-110  3.24985093E-05   2.29841617E-05  
  12               2.03607741E-03   1.01530250E+02   8.38103986E-01   1.60469605E-01   7.79147926E-04   5.29954010E-04   5.66134161E-05   1.12373834E-108  3.24985100E-05   2.29841414E-05  
  13               2.52578574E-03   1.05204700E+02   8.38092197E-01   1.60467347E-01   7.79147476E-04   5.29953704E-04   5.66133835E-05   7.86428048E-105  3.24984912E-05   2.29838181E-05  
  14               3.12026391E-03   1.10568019E+02   8.38104736E-01   1.60469748E-01   7.79141269E-04   5.29949482E-04   5.66129324E-05   1.16658880E-99   3.24982323E-05   2.29841620E-05  
  15               3.84249775E-03   1.14340107E+02   8.38016290E-01   1.60452814E-01   7.79160534E-04   5.29962585E-04   5.66143322E-05   2.50248331E-96   3.24990359E-05   2.29817365E-05  
  16               4.72017527E-03   1.20081961E+02   8.38104694E-01   1.60469740E-01   7.79168848E-04   5.29968240E-04   5.66149363E-05   1.22289009E-91   3.24993827E-05   2.29841609E-05  
  17               5.78649126E-03   1.24237057E+02   8.38104582E-01   1.60469719E-01   7.79243376E-04   5.30018932E-04   5.66203516E-05   1.57163192E-88   3.25024913E-05   2.29841578E-05  
  18               7.08168006E-03   1.30506095E+02   8.38104582E-01   1.60469719E-01   7.79243426E-04   5.30018966E-04   5.66203552E-05   3.39420440E-84   3.25024934E-05   2.29841578E-05  
  19               8.65499406E-03   1.34975827E+02   8.38104582E-01   1.60469719E-01   7.79243485E-04   5.30019006E-04   5.66203595E-05   2.29618680E-81   3.25024958E-05   2.29841578E-05  
  20               1.05660893E-02   1.41668404E+02   8.38104581E-01   1.60469719E-01   7.79243552E-04   5.30019051E-04   5.66203644E-05   1.91627358E-77   3.25024986E-05   2.29841577E-05  
  21               1.28867263E-02   1.46537575E+02   8.38104575E-01   1.60469717E-01   7.79243629E-04   5.30019104E-04   5.66203700E-05   7.88620323E-75   3.25025019E-05   2.29841576E-05  
  22               1.57041740E-02   1.53756943E+02   8.38104563E-01   1.60469715E-01   7.79243715E-04   5.30019162E-04   5.66203762E-05   3.05594534E-71   3.25025055E-05   2.29841573E-05  
  23               1.91237857E-02   1.59086073E+02   8.38104478E-01   1.60469699E-01   7.79243817E-04   5.30019232E-04   5.66203836E-05   8.16462818E-69   3.25025097E-05   2.29841549E-05  
  24               2.32739727E-02   1.66764337E+02   8.38104350E-01   1.60469674E-01   7.79243689E-04   5.30019145E-04   5.66203743E-05   1.41471430E-65   3.25025044E-05   2.29841514E-05  
  25               2.83093479E-02   1.72492778E+02   8.38101301E-01   1.60469091E-01   7.79244376E-04   5.30019612E-04   5.66204243E-05   2.32533873E-63   3.25025331E-05   2.29840678E-05  
  26               3.44171392E-02   1.80543420E+02   8.38104581E-01   1.60469719E-01   7.79244399E-04   5.30019627E-04   5.66204259E-05   1.80449817E-60   3.25025341E-05   2.29841577E-05  
  27               4.18223004E-02   1.86650803E+02   8.38079202E-01   1.60464859E-01   7.79247718E-04   5.30021885E-04   5.66206671E-05   1.86326516E-58   3.25026726E-05   2.29834618E-05  
  28               5.07958154E-02   1.95108658E+02   8.38104574E-01   1.60469717E-01   7.79249006E-04   5.30022761E-04   5.66207607E-05   7.30708818E-56   3.25027263E-05   2.29841575E-05  
  29               6.16614011E-02   2.01745194E+02   8.37949013E-01   1.60439932E-01   7.79271777E-04   5.30038250E-04   5.66224153E-05   5.43758261E-54   3.25036762E-05   2.29798914E-05  
