# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  1                1.00000000E-05   1.52208302E+02   8.37869310E-01   1.60424636E-01   4.89881031E-04   2.96899047E-04   2.15297742E-70   6.01747174E-05   6.01387175E-05   2.29765732E-05  
  2                1.57270332E-04   1.89305508E+02   8.38514885E-01   1.60548243E-01   4.90628929E-04   2.97352321E-04   2.16569110E-56   6.02665866E-05   6.02305309E-05   2.29942766E-05  
  3                3.11804553E-04   2.16369728E+02   8.38514886E-01   1.60548243E-01   4.90628552E-04   2.97352093E-04   4.87751032E-49   6.02665429E-05   6.02304847E-05   2.29942766E-05  
  4                4.80502825E-04   2.30926615E+02   8.38514886E-01   1.60548243E-01   4.90628153E-04   2.97351851E-04   8.01648746E-46   6.02664965E-05   6.02304357E-05   2.29942767E-05  
  5                6.68238320E-04   2.44893934E+02   8.38514887E-01   1.60548243E-01   4.90627743E-04   2.97351602E-04   4.35885452E-43   6.02664490E-05   6.02303853E-05   2.29942767E-05  
  6                8.78859899E-04   2.53801809E+02   8.38514888E-01   1.60548243E-01   4.90627326E-04   2.97351350E-04   1.61924541E-41   6.02664006E-05   6.02303341E-05   2.29942767E-05  
  7                1.11630489E-03   2.64717283E+02   8.38514889E-01   1.60548243E-01   4.90626900E-04   2.97351092E-04   1.01176497E-39   6.02663512E-05   6.02302818E-05   2.29942767E-05  
  8                1.38465639E-03   2.71994747E+02   8.38514889E-01   1.60548243E-01   4.90626465E-04   2.97350828E-04   1.28262299E-38   6.02663007E-05   6.02302284E-05   2.29942767E-05  
  9                1.68856964E-03   2.81726363E+02   8.38514891E-01   1.60548243E-01   4.90626020E-04   2.97350558E-04   3.23659566E-37   6.02662490E-05   6.02301737E-05   2.29942766E-05  
  10               2.03322870E-03   2.88155990E+02   8.38514892E-01   1.60548242E-01   4.90625563E-04   2.97350281E-04   2.35060102E-36   6.02661961E-05   6.02301177E-05   2.29942765E-05  
  11               2.42470297E-03   2.96945731E+02   8.38514895E-01   1.60548240E-01   4.90625095E-04   2.97349998E-04   3.17945521E-35   6.02661418E-05   6.02300602E-05   2.29942763E-05  
  12               2.86974635E-03   3.02794577E+02   8.38514897E-01   1.60548239E-01   4.90624615E-04   2.97349707E-04   1.60859126E-34   6.02660861E-05   6.02300012E-05   2.29942761E-05  
  13               3.37606982E-03   3.11261175E+02   8.38514902E-01   1.60548234E-01   4.90624124E-04   2.97349409E-04   1.56406333E-33   6.02660291E-05   6.02299409E-05   2.29942754E-05  
  14               3.95231405E-03   3.17005734E+02   8.38514906E-01   1.60548230E-01   4.90623614E-04   2.97349100E-04   6.65606107E-33   6.02659699E-05   6.02298783E-05   2.29942749E-05  
  15               4.60834208E-03   3.25490426E+02   8.38514919E-01   1.60548219E-01   4.90623102E-04   2.97348790E-04   5.33040747E-32   6.02659105E-05   6.02298154E-05   2.29942733E-05  
  16               5.35517105E-03   3.31446266E+02   8.38514925E-01   1.60548209E-01   4.90622556E-04   2.97348458E-04   2.10511311E-31   6.02658470E-05   6.02297483E-05   2.29942719E-05  
  17               6.20539816E-03   3.40197818E+02   8.38514953E-01   1.60548183E-01   4.90621969E-04   2.97348103E-04   1.49949348E-30   6.02657787E-05   6.02296762E-05   2.29942680E-05  
  18               7.17328857E-03   3.46463041E+02   8.38514976E-01   1.60548161E-01   4.90621437E-04   2.97347781E-04   5.62965772E-30   6.02657173E-05   6.02296110E-05   2.29942649E-05  
  19               8.27534840E-03   3.55446674E+02   8.38514985E-01   1.60548092E-01   4.90620784E-04   2.97347384E-04   3.55879721E-29   6.02656410E-05   6.02295307E-05   2.29942550E-05  
  20               9.53009105E-03   3.62065235E+02   8.38515040E-01   1.60548038E-01   4.90620032E-04   2.97346929E-04   1.28004760E-28   6.02655529E-05   6.02294385E-05   2.29942473E-05  
  21               1.09585054E-02   3.71504805E+02   8.38515168E-01   1.60547910E-01   4.90619944E-04   2.97346875E-04   7.54246014E-28   6.02655462E-05   6.02294276E-05   2.29942290E-05  
  22               1.25840411E-02   3.78712124E+02   8.38515282E-01   1.60547798E-01   4.90619097E-04   2.97346362E-04   2.70416261E-27   6.02654467E-05   6.02293236E-05   2.29942129E-05  
  23               1.44334648E-02   3.88777291E+02   8.38515557E-01   1.60547524E-01   4.90618048E-04   2.97345726E-04   1.52237258E-26   6.02653224E-05   6.02291948E-05   2.29941737E-05  
  24               1.65366916E-02   3.96648040E+02   8.38515805E-01   1.60547279E-01   4.90616991E-04   2.97345086E-04   5.44112678E-26   6.02651974E-05   6.02290651E-05   2.29941386E-05  
  25               1.89274500E-02   4.07448669E+02   8.38515927E-01   1.60546634E-01   4.90615184E-04   2.97343990E-04   2.94810665E-25   6.02649803E-05   6.02288431E-05   2.29940463E-05  
  26               2.16428761E-02   4.16269889E+02   8.38516485E-01   1.60546066E-01   4.90620602E-04   2.97347274E-04   1.08274237E-24   6.02656509E-05   6.02295082E-05   2.29939648E-05  
  27               2.47244497E-02   4.28271914E+02   8.38517597E-01   1.60544954E-01   4.90618239E-04   2.97345842E-04   5.95465631E-24   6.02653660E-05   6.02292181E-05   2.29938056E-05  
  28               2.82188895E-02   4.38573467E+02   8.38518639E-01   1.60543874E-01   4.90615576E-04   2.97344228E-04   2.36058466E-23   6.02650445E-05   6.02288911E-05   2.29936510E-05  
  29               3.21777615E-02   4.52294502E+02   8.38520240E-01   1.60541842E-01   4.90612518E-04   2.97342374E-04   1.36578339E-22   6.02646747E-05   6.02285157E-05   2.29933599E-05  
  30               3.66549259E-02   4.64879767E+02   8.38519313E-01   1.60539687E-01   4.90611108E-04   2.97341520E-04   6.19015581E-22   6.02645076E-05   6.02283426E-05   2.29930512E-05  
  31               4.17089921E-02   4.80938826E+02   8.38522399E-01   1.60536547E-01   4.90640187E-04   2.97359144E-04   3.85058979E-21   6.02680861E-05   6.02319124E-05   2.29926016E-05  
  32               4.74072478E-02   4.95525741E+02   8.38524793E-01   1.60534162E-01   4.90635620E-04   2.97356376E-04   1.81294037E-20   6.02675320E-05   6.02313517E-05   2.29922600E-05  
  33               5.38187559E-02   5.14080046E+02   8.38527811E-01   1.60531154E-01   4.90630556E-04   2.97353306E-04   1.16145418E-19   6.02669173E-05   6.02307300E-05   2.29918292E-05  
  34               6.10116352E-02   5.33186808E+02   8.38530399E-01   1.60528576E-01   4.90625724E-04   2.97350378E-04   6.86292880E-19   6.02663317E-05   6.02301367E-05   2.29914599E-05  
  35               6.90752645E-02   5.53990990E+02   8.38532674E-01   1.60526310E-01   4.90621250E-04   2.97347666E-04   4.14053225E-18   6.02657908E-05   6.02295875E-05   2.29911353E-05  
  36               7.81105887E-02   5.74142679E+02   8.38534321E-01   1.60524669E-01   4.90617550E-04   2.97345424E-04   2.07567636E-17   6.02653459E-05   6.02291332E-05   2.29909004E-05  
  37               8.82244102E-02   5.96112574E+02   8.38535717E-01   1.60523280E-01   4.90614065E-04   2.97343312E-04   1.06546292E-16   6.02649286E-05   6.02287053E-05   2.29907014E-05  
  38               9.95297376E-02   6.17348702E+02   8.38536703E-01   1.60522299E-01   4.90610941E-04   2.97341418E-04   4.61447158E-16   6.02645572E-05   6.02283217E-05   2.29905609E-05  
  39               1.12154519E-01   6.40503363E+02   8.38537536E-01   1.60521470E-01   4.90607779E-04   2.97339502E-04   2.04722723E-15   6.02641831E-05   6.02279335E-05   2.29904421E-05  
  40               1.26259971E-01   6.62884769E+02   8.38538120E-01   1.60520884E-01   4.90604697E-04   2.97337634E-04   7.79190982E-15   6.02638209E-05   6.02275551E-05   2.29903581E-05  
  41               1.42015805E-01   6.87343300E+02   8.38538608E-01   1.60520377E-01   4.90601521E-04   2.97335709E-04   3.04669123E-14   6.02634493E-05   6.02271650E-05   2.29902856E-05  
  42               1.59595754E-01   7.10960606E+02   8.38538798E-01   1.60519984E-01   4.90598409E-04   2.97333822E-04   1.03513741E-13   6.02630877E-05   6.02267829E-05   2.29902292E-05  
  43               1.79176961E-01   7.36741616E+02   8.38539075E-01   1.60519652E-01   4.90598037E-04   2.97333597E-04   3.60594601E-13   6.02630646E-05   6.02267371E-05   2.29901816E-05  
  44               2.00939489E-01   7.61548535E+02   8.38539138E-01   1.60519363E-01   4.90594900E-04   2.97331695E-04   1.10142327E-12   6.02627034E-05   6.02263519E-05   2.29901399E-05  
  45               2.25110434E-01   7.88604666E+02   8.38539412E-01   1.60519083E-01   4.90593814E-04   2.97331037E-04   3.44461134E-12   6.02625956E-05   6.02262185E-05   2.29900991E-05  
  46               2.51975657E-01   8.14644547E+02   8.38539721E-01   1.60518758E-01   4.90589788E-04   2.97328597E-04   9.56558449E-12   6.02621275E-05   6.02257241E-05   2.29950691E-05  
