# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.39763677E+02   8.38560707E-01   1.60522914E-01   3.38466796E-29   5.28467317E-04   2.89508117E-04   6.04345308E-05   0.00000000E+00   0.00000000E+00  
  2                1.98056505E-05   3.98221767E+02   8.38561455E-01   1.60522033E-01   2.04307405E-24   5.28470489E-04   2.89509855E-04   6.04348948E-05   0.00000000E+00   0.00000000E+00  
  3                3.08728452E-05   4.20399346E+02   8.38561123E-01   1.60522009E-01   5.33324469E-23   5.28471318E-04   2.89510309E-04   6.04349919E-05   0.00000000E+00   0.00000000E+00  
  4                4.39070593E-05   4.36975599E+02   8.38560913E-01   1.60522216E-01   4.80527842E-22   5.28472950E-04   2.89511204E-04   6.04351817E-05   0.00000000E+00   0.00000000E+00  
  5                5.94004371E-05   4.49648701E+02   8.38560920E-01   1.60522207E-01   2.25684071E-21   5.28474145E-04   2.89511860E-04   6.04353225E-05   0.00000000E+00   0.00000000E+00  
  6                7.78947473E-05   4.61604922E+02   8.38560925E-01   1.60522200E-01   8.98351295E-21   5.28475653E-04   2.89512687E-04   6.04355002E-05   0.00000000E+00   0.00000000E+00  
  7                1.00023210E-04   4.71483539E+02   8.38560924E-01   1.60522198E-01   2.62075428E-20   5.28477501E-04   2.89513700E-04   6.04357179E-05   0.00000000E+00   0.00000000E+00  
  8                1.26541555E-04   4.81479013E+02   8.38560924E-01   1.60522195E-01   7.43415240E-20   5.28479694E-04   2.89514903E-04   6.04359763E-05   0.00000000E+00   0.00000000E+00  
  9                1.58351205E-04   4.90039699E+02   8.38560920E-01   1.60522194E-01   1.72921083E-19   5.28482274E-04   2.89516318E-04   6.04362801E-05   0.00000000E+00   0.00000000E+00  
  10               1.96529287E-04   4.99219926E+02   8.38560918E-01   1.60522192E-01   4.17437377E-19   5.28485218E-04   2.89517933E-04   6.04366269E-05   0.00000000E+00   0.00000000E+00  
  11               2.42360441E-04   5.07356657E+02   8.38560912E-01   1.60522192E-01   8.76950420E-19   5.28488559E-04   2.89519765E-04   6.04370203E-05   0.00000000E+00   0.00000000E+00  
  12               2.97384348E-04   5.16379477E+02   8.38560908E-01   1.60522190E-01   1.96358632E-18   5.28492265E-04   2.89521798E-04   6.04374568E-05   0.00000000E+00   0.00000000E+00  
  13               3.63459743E-04   5.24459272E+02   8.38560902E-01   1.60522190E-01   3.90224040E-18   5.28496333E-04   2.89524029E-04   6.04379358E-05   0.00000000E+00   0.00000000E+00  
  14               4.42819895E-04   5.33468337E+02   8.38560897E-01   1.60522188E-01   8.26904324E-18   5.28500741E-04   2.89526447E-04   6.04384550E-05   0.00000000E+00   0.00000000E+00  
  15               5.38150486E-04   5.41447569E+02   8.38560890E-01   1.60522187E-01   1.55517901E-17   5.28505464E-04   2.89529037E-04   6.04390111E-05   0.00000000E+00   0.00000000E+00  
  16               6.52684083E-04   5.50306665E+02   8.38560885E-01   1.60522184E-01   3.09588647E-17   5.28510408E-04   2.89531749E-04   6.04395935E-05   0.00000000E+00   0.00000000E+00  
  17               7.90306138E-04   5.58104187E+02   8.38560877E-01   1.60522183E-01   5.50054753E-17   5.28515596E-04   2.89534594E-04   6.04402044E-05   0.00000000E+00   0.00000000E+00  
  18               9.55684108E-04   5.66840017E+02   8.38560871E-01   1.60522179E-01   1.03731236E-16   5.28521043E-04   2.89537582E-04   6.04408458E-05   0.00000000E+00   0.00000000E+00  
  19               1.15441941E-03   5.74522737E+02   8.38560863E-01   1.60522178E-01   1.76020501E-16   5.28526604E-04   2.89540632E-04   6.04415007E-05   0.00000000E+00   0.00000000E+00  
  20               1.39322435E-03   5.83258592E+02   8.38560859E-01   1.60522173E-01   3.19096353E-16   5.28532303E-04   2.89543757E-04   6.04421719E-05   0.00000000E+00   0.00000000E+00  
  21               1.68013059E-03   5.91042055E+02   8.38560847E-01   1.60522169E-01   5.27764249E-16   5.28538303E-04   2.89547048E-04   6.04428781E-05   0.00000000E+00   0.00000000E+00  
  22               2.02474300E-03   5.99996285E+02   8.38560846E-01   1.60522160E-01   9.37218622E-16   5.28544183E-04   2.89550273E-04   6.04435709E-05   0.00000000E+00   0.00000000E+00  
  23               2.43854261E-03   6.08009762E+02   8.38560842E-01   1.60522155E-01   1.52663540E-15   5.28550224E-04   2.89553586E-04   6.04442825E-05   0.00000000E+00   0.00000000E+00  
  24               2.93520832E-03   6.17360091E+02   8.38560832E-01   1.60522137E-01   2.68925430E-15   5.28557080E-04   2.89557346E-04   6.04450875E-05   0.00000000E+00   0.00000000E+00  
