# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   3.70797337E+02   8.38360854E-01   1.60483717E-01   2.18117344E-26   5.56783141E-04   1.85915594E-04   3.18962011E-04   5.85735776E-05   2.29842604E-05  
  2                2.22368170E-05   4.13638802E+02   8.38360969E-01   1.60483602E-01   2.25935152E-23   5.56783441E-04   1.85915694E-04   3.18962183E-04   5.85736092E-05   2.29842438E-05  
  3                3.70249646E-05   4.16104879E+02   8.38360539E-01   1.60483593E-01   2.55241854E-23   5.56783305E-04   1.85915649E-04   3.18962105E-04   5.85735949E-05   2.29842426E-05  
  4                5.53403182E-05   4.32482721E+02   8.38360270E-01   1.60483852E-01   2.28887588E-22   5.56787889E-04   1.85917179E-04   3.18964731E-04   5.85740771E-05   2.29842797E-05  
  5                7.80905659E-05   4.31457260E+02   8.38360199E-01   1.60483924E-01   1.66737522E-22   5.56788017E-04   1.85917222E-04   3.18964805E-04   5.85740907E-05   2.29842899E-05  
  6                1.06430304E-04   4.45125729E+02   8.38360222E-01   1.60483900E-01   9.29757613E-22   5.56788004E-04   1.85917218E-04   3.18964797E-04   5.85740893E-05   2.29842866E-05  
  7                1.41733745E-04   4.43956466E+02   8.38360145E-01   1.60483977E-01   6.89472271E-22   5.56788155E-04   1.85917268E-04   3.18964884E-04   5.85741052E-05   2.29842976E-05  
  8                1.85741568E-04   4.57082620E+02   8.38360174E-01   1.60483948E-01   3.30737591E-21   5.56788150E-04   1.85917267E-04   3.18964881E-04   5.85741047E-05   2.29842934E-05  
  9                2.40569374E-04   4.56431255E+02   8.38360094E-01   1.60484028E-01   2.67675836E-21   5.56788326E-04   1.85917326E-04   3.18964982E-04   5.85741233E-05   2.29843049E-05  
  10               3.08894046E-04   4.69462361E+02   8.38360128E-01   1.60483994E-01   1.17216860E-20   5.56788339E-04   1.85917330E-04   3.18964989E-04   5.85741247E-05   2.29842999E-05  
  11               3.93973260E-04   4.69533729E+02   8.38360047E-01   1.60484074E-01   1.04680505E-20   5.56788549E-04   1.85917400E-04   3.18965109E-04   5.85741468E-05   2.29843115E-05  
  12               4.99924316E-04   4.82615372E+02   8.38360085E-01   1.60484037E-01   4.25366559E-20   5.56788595E-04   1.85917415E-04   3.18965136E-04   5.85741517E-05   2.29843061E-05  
  13               6.31763356E-04   4.83397295E+02   8.38360003E-01   1.60484117E-01   4.13332940E-20   5.56788853E-04   1.85917501E-04   3.18965283E-04   5.85741789E-05   2.29843177E-05  
  14               7.95819828E-04   4.96545002E+02   8.38360042E-01   1.60484079E-01   1.56038829E-19   5.56788957E-04   1.85917536E-04   3.18965343E-04   5.85741899E-05   2.29843121E-05  
  15               9.99812451E-04   4.97955472E+02   8.38359960E-01   1.60484160E-01   1.61807279E-19   5.56789288E-04   1.85917647E-04   3.18965532E-04   5.85742249E-05   2.29843238E-05  
  16               1.25345320E-03   5.11200100E+02   8.38359998E-01   1.60484122E-01   5.69881518E-19   5.56789480E-04   1.85917711E-04   3.18965643E-04   5.85742453E-05   2.29843183E-05  
  17               1.56864310E-03   5.13107661E+02   8.38359913E-01   1.60484205E-01   6.17137629E-19   5.56789921E-04   1.85917858E-04   3.18965895E-04   5.85742919E-05   2.29843302E-05  
