# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   3.63085375E+02   8.38565550E-01   1.60523073E-01   4.84505841E-27   5.17450250E-04   2.74472374E-04   6.04299550E-05   0.00000000E+00   2.29893484E-05  
  2                1.97768984E-05   4.05433264E+02   8.38565368E-01   1.60522779E-01   6.61721464E-24   5.17450246E-04   2.74472385E-04   6.04299106E-05   0.00000000E+00   2.29893063E-05  
  3                3.11389105E-05   4.27301186E+02   8.38565090E-01   1.60523050E-01   1.45933644E-22   5.17454383E-04   2.74474605E-04   6.04303057E-05   0.00000000E+00   2.29893451E-05  
  4                4.47149494E-05   4.40188492E+02   8.38565094E-01   1.60523046E-01   7.39099647E-22   5.17454285E-04   2.74474592E-04   6.04301623E-05   0.00000000E+00   2.29893446E-05  
  5                6.10844534E-05   4.52801596E+02   8.38565101E-01   1.60523040E-01   3.34593554E-21   5.17454152E-04   2.74474571E-04   6.04299711E-05   0.00000000E+00   2.29893437E-05  
  6                8.08841501E-05   4.62135191E+02   8.38565100E-01   1.60523041E-01   9.41249896E-21   5.17454000E-04   2.74474552E-04   6.04297351E-05   0.00000000E+00   2.29893440E-05  
  7                1.04874959E-04   4.72754277E+02   8.38565103E-01   1.60523039E-01   2.97423422E-20   5.17453811E-04   2.74474524E-04   6.04294525E-05   0.00000000E+00   2.29893436E-05  
  8                1.33970918E-04   4.80951937E+02   8.38565101E-01   1.60523042E-01   6.80447700E-20   5.17453602E-04   2.74474496E-04   6.04291267E-05   0.00000000E+00   2.29893440E-05  
  9                1.69282229E-04   4.90753541E+02   8.38565103E-01   1.60523040E-01   1.80857399E-19   5.17453358E-04   2.74474461E-04   6.04287565E-05   0.00000000E+00   2.29893438E-05  
  10               2.12154454E-04   4.98353638E+02   8.38565100E-01   1.60523044E-01   3.66529939E-19   5.17453095E-04   2.74474425E-04   6.04283455E-05   0.00000000E+00   2.29893443E-05  
  11               2.64226274E-04   5.07639612E+02   8.38565102E-01   1.60523043E-01   8.64576064E-19   5.17452801E-04   2.74474382E-04   6.04278931E-05   0.00000000E+00   2.29893442E-05  
  12               3.27491122E-04   5.14825244E+02   8.38565098E-01   1.60523048E-01   1.60374334E-18   5.17452490E-04   2.74474339E-04   6.04274027E-05   0.00000000E+00   2.29893449E-05  
  13               4.04390922E-04   5.23827052E+02   8.38565099E-01   1.60523048E-01   3.48155951E-18   5.17452156E-04   2.74474293E-04   6.04268746E-05   0.00000000E+00   2.29893449E-05  
  14               4.97889246E-04   5.30883512E+02   8.38565094E-01   1.60523054E-01   6.12911324E-18   5.17451801E-04   2.74474244E-04   6.04263110E-05   0.00000000E+00   2.29893457E-05  
  15               6.11584744E-04   5.39911439E+02   8.38565095E-01   1.60523054E-01   1.26988810E-17   5.17451414E-04   2.74474185E-04   6.04257112E-05   0.00000000E+00   2.29893458E-05  
  16               7.49842549E-04   5.47045132E+02   8.38565090E-01   1.60523060E-01   2.16981177E-17   5.17451024E-04   2.74474132E-04   6.04250809E-05   0.00000000E+00   2.29893466E-05  
  17               9.17964146E-04   5.56230447E+02   8.38565091E-01   1.60523060E-01   4.35176169E-17   5.17450598E-04   2.74474068E-04   6.04244167E-05   0.00000000E+00   2.29893466E-05  
  18               1.12238958E-03   5.63438267E+02   8.38565086E-01   1.60523066E-01   7.22449534E-17   5.17450166E-04   2.74474006E-04   6.04237244E-05   0.00000000E+00   2.29893474E-05  
  19               1.37094986E-03   5.72675151E+02   8.38565088E-01   1.60523066E-01   1.39251594E-16   5.17449731E-04   2.74473950E-04   6.04230046E-05   0.00000000E+00   2.29893474E-05  
  20               1.67315389E-03   5.79887727E+02   8.38565080E-01   1.60523072E-01   2.23758760E-16   5.17449271E-04   2.74473885E-04   6.04222572E-05   0.00000000E+00   2.29893484E-05  
  21               2.04054867E-03   5.89186316E+02   8.38565082E-01   1.60523072E-01   4.15971136E-16   5.17448780E-04   2.74473810E-04   6.04214815E-05   0.00000000E+00   2.29893483E-05  
  22               2.48714821E-03   5.96388499E+02   8.38565075E-01   1.60523080E-01   6.47746593E-16   5.17448358E-04   2.74473775E-04   6.04206915E-05   0.00000000E+00   2.29893494E-05  
  23               3.02997137E-03   6.05686022E+02   8.38565073E-01   1.60523078E-01   1.15907243E-15   5.17447845E-04   2.74473697E-04   6.04198689E-05   0.00000000E+00   2.29893491E-05  
  24               3.68963497E-03   6.12940042E+02   8.38565065E-01   1.60523087E-01   1.76105380E-15   5.17447333E-04   2.74473624E-04   6.04190265E-05   0.00000000E+00   2.29893505E-05  
