# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   4.78655759E+02   8.38563947E-01   1.60522598E-01   1.91490724E-19   5.15251153E-04   2.75905265E-04   6.03441646E-05   0.00000000E+00   0.00000000E+00  
  2                1.23153699E-04   5.41431771E+02   8.38563960E-01   1.60522546E-01   3.24632645E-17   5.15250739E-04   2.75905069E-04   6.03441020E-05   0.00000000E+00   0.00000000E+00  
  3                2.50892532E-04   5.73786931E+02   8.38564262E-01   1.60522259E-01   3.55950821E-16   5.15248431E-04   2.75903946E-04   6.03437639E-05   0.00000000E+00   0.00000000E+00  
  4                4.00378022E-04   5.89160221E+02   8.38564351E-01   1.60522154E-01   9.37211741E-16   5.15246261E-04   2.75902891E-04   6.03434428E-05   0.00000000E+00   0.00000000E+00  
  5                5.76957630E-04   6.08376016E+02   8.38564804E-01   1.60521669E-01   3.22182939E-15   5.15243983E-04   2.75901769E-04   6.03431118E-05   0.00000000E+00   0.00000000E+00  
  6                7.86336831E-04   6.17854203E+02   8.38564823E-01   1.60521635E-01   5.37688733E-15   5.15242275E-04   2.75900945E-04   6.03428505E-05   0.00000000E+00   0.00000000E+00  
  7                1.03527836E-03   6.33485660E+02   8.38565479E-01   1.60520984E-01   1.34816066E-14   5.15242220E-04   2.75901000E-04   6.03427847E-05   0.00000000E+00   0.00000000E+00  
  8                1.33177987E-03   6.40977766E+02   8.38565249E-01   1.60520988E-01   1.93710660E-14   5.15240536E-04   2.75900178E-04   6.03425299E-05   0.00000000E+00   0.00000000E+00  
  9                1.68539745E-03   6.55198257E+02   8.38566098E-01   1.60520147E-01   4.22059367E-14   5.15238447E-04   2.75899134E-04   6.03422289E-05   0.00000000E+00   0.00000000E+00  
  10               2.10743756E-03   6.61717256E+02   8.38565964E-01   1.60520277E-01   5.62073011E-14   5.15237081E-04   2.75898474E-04   6.03420135E-05   0.00000000E+00   0.00000000E+00  
  11               2.61148049E-03   6.75093790E+02   8.38566975E-01   1.60519275E-01   1.11618264E-13   5.15233625E-04   2.75896693E-04   6.03415543E-05   0.00000000E+00   0.00000000E+00  
  12               3.21368923E-03   6.80889571E+02   8.38566504E-01   1.60519506E-01   1.40533919E-13   5.15235046E-04   2.75897521E-04   6.03416668E-05   0.00000000E+00   0.00000000E+00  
  13               3.93342876E-03   6.93768449E+02   8.38567633E-01   1.60518383E-01   2.61660205E-13   5.15231574E-04   2.75895726E-04   6.03412068E-05   0.00000000E+00   0.00000000E+00  
  14               4.79373977E-03   6.99102125E+02   8.38567208E-01   1.60518802E-01   3.17253619E-13   5.15230829E-04   2.75895390E-04   6.03410669E-05   0.00000000E+00   0.00000000E+00  
  15               5.82214654E-03   7.11723749E+02   8.38568424E-01   1.60517594E-01   5.64092308E-13   5.15227278E-04   2.75893549E-04   6.03405986E-05   0.00000000E+00   0.00000000E+00  
  16               7.05134684E-03   7.16882821E+02   8.38567876E-01   1.60518135E-01   6.70251689E-13   5.15226738E-04   2.75893319E-04   6.03404834E-05   0.00000000E+00   0.00000000E+00  
  17               8.52024957E-03   7.29609532E+02   8.38569209E-01   1.60516808E-01   1.16283384E-12   5.15223088E-04   2.75891423E-04   6.03400041E-05   0.00000000E+00   0.00000000E+00  
  18               1.02750381E-02   7.34774686E+02   8.38568560E-01   1.60517450E-01   1.36740626E-12   5.15222755E-04   2.75891301E-04   6.03399136E-05   0.00000000E+00   0.00000000E+00  
  19               1.23704652E-02   7.47773209E+02   8.38570028E-01   1.60515986E-01   2.33523354E-12   5.15218950E-04   2.75889319E-04   6.03394166E-05   0.00000000E+00   0.00000000E+00  
  20               1.48712558E-02   7.53262025E+02   8.38569346E-01   1.60516659E-01   2.75878451E-12   5.15218695E-04   2.75889237E-04   6.03393354E-05   0.00000000E+00   0.00000000E+00  
  21               1.78545039E-02   7.66869960E+02   8.38571057E-01   1.60514948E-01   4.70690260E-12   5.15214588E-04   2.75887091E-04   6.03388030E-05   0.00000000E+00   0.00000000E+00  
  22               2.14123240E-02   7.72832566E+02   8.38570362E-01   1.60515629E-01   5.61503515E-12   5.15214363E-04   2.75887023E-04   6.03387251E-05   0.00000000E+00   0.00000000E+00  
  23               2.56536322E-02   7.87175790E+02   8.38572397E-01   1.60513585E-01   9.59851263E-12   5.15209835E-04   2.75884650E-04   6.03381430E-05   0.00000000E+00   0.00000000E+00  
