# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               H                CH4              N2               H2S             
  34               1.83287943E-01   5.26713730E+02   8.38351440E-01   1.60508326E-01   5.35998942E-04   2.12267413E-04   2.15478689E-19   2.97842690E-04   5.88154975E-05   2.29887181E-05  
  35               2.11925618E-01   5.43085680E+02   8.38353300E-01   1.60506467E-01   5.35998608E-04   2.12267281E-04   9.07642356E-19   2.97842505E-04   5.88154618E-05   2.29884518E-05  
  36               2.44717810E-01   5.63196827E+02   8.38355843E-01   1.60503927E-01   5.35997239E-04   2.12266739E-04   4.79427056E-18   2.97841744E-04   5.88153125E-05   2.29880880E-05  
  37               2.82193999E-01   5.82195648E+02   8.38357980E-01   1.60501792E-01   5.35996441E-04   2.12266423E-04   2.06365186E-17   2.97841300E-04   5.88152260E-05   2.29877822E-05  
  38               3.24919751E-01   6.05229114E+02   8.38360515E-01   1.60499259E-01   5.35995473E-04   2.12266040E-04   1.08275449E-16   2.97840763E-04   5.88151209E-05   2.29874195E-05  
  39               3.73471108E-01   6.27710586E+02   8.38362542E-01   1.60497232E-01   5.35995443E-04   2.12266028E-04   4.83203652E-16   2.97840746E-04   5.88151189E-05   2.29871291E-05  
  40               4.28487557E-01   6.55341930E+02   8.38364753E-01   1.60495019E-01   5.35995723E-04   2.12266139E-04   2.66997732E-15   2.97840901E-04   5.88151511E-05   2.29868122E-05  
  41               4.90769955E-01   6.81168787E+02   8.38366275E-01   1.60493487E-01   5.35997326E-04   2.12266774E-04   1.15525130E-14   2.97841792E-04   5.88153286E-05   2.29865926E-05  
  42               5.61229508E-01   7.10424621E+02   8.38367664E-01   1.60492070E-01   5.35999708E-04   2.12267717E-04   5.36573552E-14   2.97843116E-04   5.88155918E-05   2.29863897E-05  
  43               6.40799794E-01   7.37703486E+02   8.38368430E-01   1.60491081E-01   5.36003397E-04   2.12269178E-04   1.99808365E-13   2.97845166E-04   5.88159987E-05   2.29862480E-05  
  44               7.30443403E-01   7.68583539E+02   8.38369250E-01   1.60490184E-01   5.36008046E-04   2.12271019E-04   7.94804948E-13   2.97847749E-04   5.88165112E-05   2.29861193E-05  
  45               8.31381860E-01   7.97305603E+02   8.38369651E-01   1.60489547E-01   5.36016565E-04   2.12274393E-04   2.58887103E-12   2.97852483E-04   5.88174486E-05   2.29860276E-05  
  46               9.45099009E-01   8.29913784E+02   8.38370207E-01   1.60488958E-01   5.36025719E-04   2.12278018E-04   9.00548241E-12   2.97857570E-04   5.88184558E-05   2.29872261E-05  
  47               1.07314528E+00   8.60236757E+02   8.38370585E-01   1.60488517E-01   5.36031855E-04   2.12280449E-04   2.61787371E-11   2.97860979E-04   5.88191319E-05   2.29967175E-05  
  48               1.21705503E+00   8.94631705E+02   8.38370958E-01   1.60487978E-01   5.36038213E-04   2.12282974E-04   8.08621919E-11   2.97864513E-04   5.88198327E-05   2.30308299E-05  
  49               1.37833388E+00   9.26474696E+02   8.38371086E-01   1.60487366E-01   5.36045142E-04   2.12285751E-04   2.11658656E-10   2.97868363E-04   5.88205961E-05   2.31238160E-05  
  50               1.55869610E+00   9.62485322E+02   8.38370805E-01   1.60486197E-01   5.36053257E-04   2.12289124E-04   5.84811967E-10   2.97872872E-04   5.88214898E-05   2.34253557E-05  
  51               1.76030115E+00   9.95728750E+02   8.38370667E-01   1.60484595E-01   5.36075123E-04   2.12298540E-04   1.39002723E-09   2.97885020E-04   5.88238928E-05   2.42893850E-05  
  52               1.98563068E+00   1.03336641E+03   8.38373675E-01   1.60481603E-01   5.36076812E-04   2.12302336E-04   3.48027994E-09   2.97885940E-04   5.88240839E-05   2.42888509E-05  
  53               2.23737773E+00   1.06810454E+03   8.38378151E-01   1.60477130E-01   5.36075267E-04   2.12314690E-04   7.61183806E-09   2.97884918E-04   5.88239389E-05   2.42880458E-05  
  54               2.51834940E+00   1.10741736E+03   8.38386531E-01   1.60468725E-01   5.36066439E-04   2.12358883E-04   1.74760280E-08   2.97878915E-04   5.88231143E-05   2.42865274E-05  
  55               2.83150636E+00   1.14363873E+03   8.38397314E-01   1.60457805E-01   5.36046644E-04   2.12524023E-04   3.54819802E-08   2.97860378E-04   5.88219016E-05   2.42845097E-05  
  56               3.18086554E+00   1.18289484E+03   8.38413002E-01   1.60441689E-01   5.35982309E-04   2.13055553E-04   7.29352487E-08   2.97783983E-04   5.88199392E-05   2.42814451E-05  
  57               3.57157255E+00   1.21664195E+03   8.38427184E-01   1.60426453E-01   5.35743770E-04   2.14613698E-04   1.29212494E-07   2.97451899E-04   5.88184001E-05   2.42783547E-05  
