# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  1                1.00000000E-05   3.99152865E+01   8.38124288E-01   1.60473490E-01   7.74685738E-04   5.25622801E-04   4.77813647E-05   2.62284790E-05   2.29832036E-05   6.35926456E-07  
  2                1.67312089E-04   5.07268851E+01   8.38124288E-01   1.60473490E-01   7.74685736E-04   5.25622799E-04   4.77813649E-05   2.62284792E-05   2.29832036E-05   6.35926454E-07  
  3                3.52795930E-04   5.73643968E+01   8.38124288E-01   1.60473490E-01   7.74685735E-04   5.25622799E-04   4.77813652E-05   2.62284793E-05   2.29832036E-05   6.35926454E-07  
  4                5.71577831E-04   6.19360515E+01   8.38124288E-01   1.60473490E-01   7.74685735E-04   5.25622799E-04   4.77813653E-05   2.62284794E-05   2.29832036E-05   6.35926454E-07  
  5                8.29565617E-04   6.58649218E+01   8.38124288E-01   1.60473490E-01   7.74685735E-04   5.25622799E-04   4.77813654E-05   2.62284795E-05   2.29832036E-05   6.35926454E-07  
  6                1.13372887E-03   6.92918344E+01   8.38124288E-01   1.60473490E-01   7.74685735E-04   5.25622799E-04   4.77813655E-05   2.62284796E-05   2.29832036E-05   6.35926454E-07  
  7                1.49195653E-03   7.26692500E+01   8.38124288E-01   1.60473490E-01   7.74685735E-04   5.25622798E-04   4.77813656E-05   2.62284796E-05   2.29832036E-05   6.35926454E-07  
  8                1.91058220E-03   7.58825393E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813657E-05   2.62284797E-05   2.29832036E-05   6.35926454E-07  
  9                2.39649862E-03   7.92122138E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813657E-05   2.62284797E-05   2.29832036E-05   6.35926454E-07  
  10               2.95827805E-03   8.25252649E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813658E-05   2.62284798E-05   2.29832036E-05   6.35926454E-07  
  11               3.60691864E-03   8.60403389E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813659E-05   2.62284798E-05   2.29832036E-05   6.35926454E-07  
  12               4.35659371E-03   8.96100002E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813659E-05   2.62284798E-05   2.29832036E-05   6.35926454E-07  
  13               5.22387972E-03   9.34519474E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813659E-05   2.62284798E-05   2.29832036E-05   6.35926454E-07  
  14               6.22768968E-03   9.74222830E+01   8.38124288E-01   1.60473490E-01   7.74685734E-04   5.25622798E-04   4.77813659E-05   2.62284798E-05   2.29832036E-05   6.35926454E-07  
  15               7.39042995E-03   1.01683365E+02   8.38123953E-01   1.60473426E-01   7.74685734E-04   5.25622798E-04   4.77813660E-05   2.62284799E-05   2.29831944E-05   6.35926454E-07  
  16               8.73812568E-03   1.06115002E+02   8.38122924E-01   1.60473229E-01   7.74686045E-04   5.25623009E-04   4.77813851E-05   2.62284904E-05   2.29831662E-05   6.35926708E-07  
  17               1.03011015E-02   1.10917130E+02   8.38119074E-01   1.60472492E-01   7.74686955E-04   5.25623627E-04   4.77814413E-05   2.62285212E-05   2.29830606E-05   6.35927456E-07  
  18               1.21143874E-02   1.15999657E+02   8.38104082E-01   1.60469622E-01   7.74691205E-04   5.25626510E-04   4.77817034E-05   2.62286651E-05   2.29826495E-05   6.35930945E-07  
  19               1.42185054E-02   1.21556741E+02   8.38049417E-01   1.60459155E-01   7.74705397E-04   5.25636139E-04   4.77825788E-05   2.62291456E-05   2.29811505E-05   6.35942594E-07  
  20               1.66601235E-02   1.27450039E+02   8.38124170E-01   1.60473468E-01   7.74765465E-04   5.25676896E-04   4.77862838E-05   2.62311794E-05   2.29832003E-05   6.35991904E-07  
  21               1.94929355E-02   1.33839328E+02   8.38124255E-01   1.60473484E-01   7.74708013E-04   5.25637914E-04   4.77827402E-05   2.62292343E-05   2.29832027E-05   6.35944742E-07  
  22               2.27798515E-02   1.40503816E+02   8.38124146E-01   1.60473463E-01   7.74780490E-04   5.25687090E-04   4.77872105E-05   2.62316881E-05   2.29831997E-05   6.36004237E-07  
  23               2.65940231E-02   1.47671567E+02   8.38124143E-01   1.60473463E-01   7.74780191E-04   5.25686887E-04   4.77871922E-05   2.62316780E-05   2.29831996E-05   6.36003992E-07  
  24               3.10203690E-02   1.55029440E+02   8.38124118E-01   1.60473458E-01   7.74780735E-04   5.25687256E-04   4.77872257E-05   2.62316965E-05   2.29831989E-05   6.36004439E-07  
  25               3.61587424E-02   1.62802579E+02   8.38124012E-01   1.60473438E-01   7.74780757E-04   5.25687271E-04   4.77872272E-05   2.62316973E-05   2.29831960E-05   6.36004457E-07  
  26               4.21264839E-02   1.70710016E+02   8.38123543E-01   1.60473348E-01   7.74780869E-04   5.25687347E-04   4.77872341E-05   2.62317011E-05   2.29831831E-05   6.36004549E-07  
  27               4.90573882E-02   1.79055030E+02   8.38121799E-01   1.60473014E-01   7.74781342E-04   5.25687668E-04   4.77872634E-05   2.62317172E-05   2.29831353E-05   6.36004937E-07  
  28               5.71035160E-02   1.87525466E+02   8.38115138E-01   1.60471739E-01   7.74783314E-04   5.25689006E-04   4.77873851E-05   2.62317840E-05   2.29829527E-05   6.36006556E-07  
  29               6.64359012E-02   1.96583680E+02   8.38093371E-01   1.60467571E-01   7.74790463E-04   5.25693857E-04   4.77878261E-05   2.62320261E-05   2.29823558E-05   6.36012424E-07  
  30               7.72474038E-02   2.05896118E+02   8.38035661E-01   1.60456521E-01   7.74816606E-04   5.25711595E-04   4.77894387E-05   2.62329113E-05   2.29807732E-05   6.36033885E-07  
  31               8.97672037E-02   2.15026206E+02   8.37599525E-01   1.60373015E-01   7.74848403E-04   5.25733169E-04   4.77914000E-05   2.62339879E-05   2.29688134E-05   6.36059987E-07  
  32               1.04266561E-01   2.23911765E+02   8.38123244E-01   1.60473291E-01   7.75386679E-04   5.26098388E-04   4.78246002E-05   2.62522124E-05   2.29831750E-05   6.36501849E-07  
  33               1.21064451E-01   2.32362899E+02   8.38123433E-01   1.60473327E-01   7.75260269E-04   5.26012619E-04   4.78168036E-05   2.62479326E-05   2.29831801E-05   6.36398081E-07  
  34               1.40535437E-01   2.40630752E+02   8.38123861E-01   1.60473409E-01   7.74972512E-04   5.25817376E-04   4.77990553E-05   2.62381902E-05   2.29831919E-05   6.36161866E-07  
  35               1.63117244E-01   2.48903900E+02   8.38123237E-01   1.60473289E-01   7.75391563E-04   5.26101702E-04   4.78249019E-05   2.62523781E-05   2.29831748E-05   6.36505858E-07  
  36               1.89325221E-01   2.57497707E+02   8.38123243E-01   1.60473290E-01   7.75387207E-04   5.26098747E-04   4.78246334E-05   2.62522307E-05   2.29831749E-05   6.36502283E-07  
  37               2.19733118E-01   2.66494224E+02   8.38123237E-01   1.60473289E-01   7.75391602E-04   5.26101728E-04   4.78249047E-05   2.62523796E-05   2.29831747E-05   6.36505890E-07  
  38               2.54994605E-01   2.76011743E+02   8.38123237E-01   1.60473289E-01   7.75391602E-04   5.26101728E-04   4.78249049E-05   2.62523798E-05   2.29831747E-05   6.36505890E-07  
  39               2.95864895E-01   2.86193230E+02   8.38123237E-01   1.60473289E-01   7.75391602E-04   5.26101728E-04   4.78249051E-05   2.62523799E-05   2.29831747E-05   6.36505891E-07  
  40               3.43179020E-01   2.97531919E+02   8.38123237E-01   1.60473289E-01   7.75391602E-04   5.26101728E-04   4.78249053E-05   2.62523801E-05   2.29831747E-05   6.36505891E-07  
  41               3.97822116E-01   3.11270705E+02   8.38123237E-01   1.60473289E-01   7.75391602E-04   5.26101728E-04   4.78249056E-05   2.62523802E-05   2.29831747E-05   6.36505891E-07  
  42               4.60791729E-01   3.25471473E+02   8.38123236E-01   1.60473289E-01   7.75391602E-04   5.26101728E-04   4.78249059E-05   2.62523804E-05   2.29831747E-05   6.36505891E-07  
  43               5.33289603E-01   3.40233070E+02   8.38123236E-01   1.60473289E-01   7.75391601E-04   5.26101728E-04   4.78249062E-05   2.62523806E-05   2.29831747E-05   6.36505891E-07  
  44               6.16672810E-01   3.55491479E+02   8.38123230E-01   1.60473288E-01   7.75391602E-04   5.26101729E-04   4.78249066E-05   2.62523809E-05   2.29831745E-05   6.36505892E-07  
  45               7.12526326E-01   3.71350740E+02   8.38123231E-01   1.60473287E-01   7.75391599E-04   5.26101726E-04   4.78249068E-05   2.62523811E-05   2.29831745E-05   6.36505890E-07  
  46               8.22618611E-01   3.87756356E+02   8.38123231E-01   1.60473287E-01   7.75391600E-04   5.26101727E-04   4.78249073E-05   2.62523814E-05   2.29831744E-05   6.36505891E-07  
  47               9.48929979E-01   4.04803572E+02   8.38122807E-01   1.60473205E-01   7.75391769E-04   5.26101842E-04   4.78249183E-05   2.62523874E-05   2.29831628E-05   6.36506030E-07  
  48               1.09368668E+00   4.22430643E+02   8.38122849E-01   1.60473164E-01   7.75391377E-04   5.26101576E-04   4.78248947E-05   2.62523745E-05   2.29831569E-05   6.36505709E-07  
  49               1.25933757E+00   4.40727054E+02   8.38122849E-01   1.60473162E-01   7.75391079E-04   5.26101374E-04   4.78248769E-05   2.62523649E-05   2.29831565E-05   6.36505465E-07  
  50               1.44862011E+00   4.59620691E+02   8.38122783E-01   1.60473147E-01   7.75398291E-04   5.26106267E-04   4.78253224E-05   2.62526095E-05   2.29831544E-05   6.36511386E-07  
  51               1.66448760E+00   4.79198044E+02   8.38122401E-01   1.60473115E-01   7.75398482E-04   5.26106396E-04   4.78253349E-05   2.62526164E-05   2.29831498E-05   6.36511543E-07  
  52               1.91028711E+00   4.99379754E+02   8.38122151E-01   1.60473363E-01   7.75399483E-04   5.26107076E-04   4.78253974E-05   2.62526508E-05   2.29831853E-05   6.36512365E-07  
  53               2.19006225E+00   5.20284725E+02   8.38119522E-01   1.60472820E-01   7.75404927E-04   5.26110770E-04   4.78257341E-05   2.62528357E-05   2.29831075E-05   6.36516835E-07  
  54               2.50836620E+00   5.41845083E+02   8.38119846E-01   1.60472505E-01   7.75399837E-04   5.26107316E-04   4.78254212E-05   2.62526641E-05   2.29830624E-05   6.36512658E-07  
  55               2.87012288E+00   5.64173352E+02   8.38119864E-01   1.60472378E-01   7.75461025E-04   5.26148832E-04   4.78291962E-05   2.62547364E-05   2.29830442E-05   6.36562887E-07  
  56               3.28035362E+00   5.87160283E+02   8.38120048E-01   1.60472194E-01   7.75461221E-04   5.26148966E-04   4.78292095E-05   2.62547438E-05   2.29830178E-05   6.36563049E-07  
  57               3.74435179E+00   6.10889331E+02   8.38120346E-01   1.60471897E-01   7.75460601E-04   5.26148545E-04   4.78291725E-05   2.62547236E-05   2.29829753E-05   6.36562541E-07  
  58               4.26885582E+00   6.35274183E+02   8.38120799E-01   1.60471445E-01   7.75459635E-04   5.26147889E-04   4.78291143E-05   2.62546918E-05   2.29829106E-05   6.36561749E-07  
