# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   7.88398754E+01   8.38401838E-01   1.60526622E-01   4.61102082E-04   2.93346360E-04   2.27773029E-04   3.16426128E-109  5.94368269E-05   2.29893887E-05  
  2                8.68333151E-05   1.04927997E+02   8.38329388E-01   1.60512750E-01   4.61101922E-04   2.93346259E-04   2.27772950E-04   2.20823392E-104  5.94368065E-05   2.29874021E-05  
  3                1.67135751E-04   1.22819948E+02   8.38401759E-01   1.60526606E-01   4.61142394E-04   2.93372006E-04   2.27792942E-04   8.21656979E-89   5.94420238E-05   2.29893865E-05  
  4                2.55943437E-04   1.35687040E+02   8.38401714E-01   1.60526598E-01   4.61142747E-04   2.93372231E-04   2.27793116E-04   3.67774157E-80   5.94420696E-05   2.29893853E-05  
  5                3.56145359E-04   1.46251701E+02   8.38401319E-01   1.60526522E-01   4.61142874E-04   2.93372312E-04   2.27793179E-04   3.35066274E-74   5.94420865E-05   2.29893744E-05  
  6                4.70218276E-04   1.55805437E+02   8.38399338E-01   1.60526143E-01   4.61141864E-04   2.93371669E-04   2.27792680E-04   1.64581954E-69   5.94419568E-05   2.29893201E-05  
  7                6.00794733E-04   1.64283401E+02   8.38391590E-01   1.60524660E-01   4.61138280E-04   2.93369389E-04   2.27790910E-04   8.28109626E-66   5.94414952E-05   2.29891077E-05  
  8                7.50870473E-04   1.72255020E+02   8.38366560E-01   1.60519867E-01   4.61124737E-04   2.93360773E-04   2.27784220E-04   1.15892696E-62   5.94397500E-05   2.29884213E-05  
  9                9.23708063E-04   1.79903211E+02   8.38295807E-01   1.60506320E-01   4.61100899E-04   2.93345607E-04   2.27772444E-04   6.58385668E-60   5.94366778E-05   2.29864812E-05  
  10               1.12291434E-03   1.87349123E+02   8.37900411E-01   1.60430615E-01   4.60981461E-04   2.93269623E-04   2.27713445E-04   1.91579276E-57   5.94212827E-05   2.29756393E-05  
  11               1.35266954E-03   1.94815613E+02   8.38401068E-01   1.60526474E-01   4.61507095E-04   2.93604023E-04   2.27973095E-04   3.66331569E-55   5.94890383E-05   2.29893676E-05  
  12               1.61780328E-03   2.02267843E+02   8.38401063E-01   1.60526473E-01   4.61509937E-04   2.93605832E-04   2.27974499E-04   4.69623011E-53   5.94894052E-05   2.29893674E-05  
