# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.76532465E+02   8.38243537E-01   1.60496316E-01   6.73475483E-04   4.30064203E-04   3.95734606E-60   6.51497070E-05   5.71510162E-05   2.29850308E-05  
  2                5.13816141E-04   2.04770441E+02   8.38243537E-01   1.60496315E-01   6.73475615E-04   4.30064287E-04   4.04302862E-52   6.51497197E-05   5.71510280E-05   2.29850308E-05  
  3                1.07869294E-03   2.25937015E+02   8.38243537E-01   1.60496315E-01   6.73475886E-04   4.30064459E-04   4.38192262E-47   6.51497459E-05   5.71510537E-05   2.29850308E-05  
  4                1.72147951E-03   2.40974833E+02   8.38243536E-01   1.60496315E-01   6.73476066E-04   4.30064575E-04   4.77363773E-44   6.51497633E-05   5.71510709E-05   2.29850308E-05  
  5                2.46168270E-03   2.51017879E+02   8.38243536E-01   1.60496315E-01   6.73476207E-04   4.30064665E-04   3.08073488E-42   6.51497770E-05   5.71510843E-05   2.29850308E-05  
  6                3.31861789E-03   2.61292742E+02   8.38243536E-01   1.60496315E-01   6.73476328E-04   4.30064742E-04   1.60406732E-40   6.51497888E-05   5.71510959E-05   2.29850308E-05  
  7                4.31301101E-03   2.69214193E+02   8.38243536E-01   1.60496315E-01   6.73476438E-04   4.30064812E-04   2.68680340E-39   6.51497994E-05   5.71511064E-05   2.29850307E-05  
  8                5.46867766E-03   2.78101969E+02   8.38243536E-01   1.60496315E-01   6.73476541E-04   4.30064878E-04   5.34982141E-38   6.51498093E-05   5.71511162E-05   2.29850307E-05  
  9                6.81286621E-03   2.85208281E+02   8.38243535E-01   1.60496315E-01   6.73476639E-04   4.30064941E-04   5.01448456E-37   6.51498189E-05   5.71511256E-05   2.29850307E-05  
  10               8.37774853E-03   2.93452700E+02   8.38243535E-01   1.60496315E-01   6.73476735E-04   4.30065002E-04   5.97871742E-36   6.51498281E-05   5.71511347E-05   2.29850307E-05  
  11               1.02005785E-02   3.00090690E+02   8.38243535E-01   1.60496315E-01   6.73476829E-04   4.30065062E-04   3.90906434E-35   6.51498373E-05   5.71511437E-05   2.29850307E-05  
  12               1.23246642E-02   3.08018556E+02   8.38243535E-01   1.60496315E-01   6.73476922E-04   4.30065122E-04   3.37065214E-34   6.51498463E-05   5.71511527E-05   2.29850307E-05  
  13               1.48001749E-02   3.14562766E+02   8.38243535E-01   1.60496314E-01   6.73477015E-04   4.30065181E-04   1.80836597E-33   6.51498553E-05   5.71511616E-05   2.29850306E-05  
  14               1.76855823E-02   3.22479689E+02   8.38243535E-01   1.60496314E-01   6.73477115E-04   4.30065244E-04   1.28159432E-32   6.51498649E-05   5.71511710E-05   2.29850305E-05  
  15               2.10482592E-02   3.29143324E+02   8.38243535E-01   1.60496313E-01   6.73477208E-04   4.30065304E-04   6.10007775E-32   6.51498740E-05   5.71511800E-05   2.29850304E-05  
  16               2.49659108E-02   3.37354584E+02   8.38243536E-01   1.60496312E-01   6.73477302E-04   4.30065364E-04   3.90041639E-31   6.51498830E-05   5.71511889E-05   2.29850303E-05  
  17               2.95282815E-02   3.44439439E+02   8.38243534E-01   1.60496310E-01   6.73477418E-04   4.30065438E-04   1.77723424E-30   6.51498943E-05   5.71511999E-05   2.29850300E-05  
  18               3.48406785E-02   3.53020781E+02   8.38243537E-01   1.60496307E-01   6.73477511E-04   4.30065497E-04   1.04360166E-29   6.51499033E-05   5.71512089E-05   2.29850296E-05  
  19               4.10252076E-02   3.60507990E+02   8.38243539E-01   1.60496305E-01   6.73477605E-04   4.30065557E-04   4.50841390E-29   6.51499123E-05   5.71512179E-05   2.29850292E-05  
  20               4.82226870E-02   3.69581741E+02   8.38243489E-01   1.60496289E-01   6.73477787E-04   4.30065674E-04   2.48781684E-28   6.51499300E-05   5.71512346E-05   2.29850270E-05  
  21               5.65946956E-02   3.77702795E+02   8.38243500E-01   1.60496277E-01   6.73477840E-04   4.30065707E-04   1.05898192E-27   6.51499351E-05   5.71512402E-05   2.29850253E-05  
  22               6.63280978E-02   3.87462854E+02   8.38243511E-01   1.60496266E-01   6.73477891E-04   4.30065740E-04   5.64428995E-27   6.51499400E-05   5.71512458E-05   2.29850237E-05  
  23               7.76362300E-02   3.96336868E+02   8.38243523E-01   1.60496252E-01   6.73478905E-04   4.30066388E-04   2.38308789E-26   6.51500382E-05   5.71513332E-05   2.29850218E-05  
  24               9.07619546E-02   4.06980147E+02   8.38243548E-01   1.60496227E-01   6.73478980E-04   4.30066435E-04   1.24947361E-25   6.51500454E-05   5.71513408E-05   2.29850181E-05  
  25               1.05979506E-01   4.16835583E+02   8.38243579E-01   1.60496196E-01   6.73479045E-04   4.30066477E-04   5.32938631E-25   6.51500518E-05   5.71513477E-05   2.29850137E-05  
  26               1.23604884E-01   4.28558591E+02   8.38243143E-01   1.60496044E-01   6.73479064E-04   4.30066489E-04   2.77403700E-24   6.51500536E-05   5.71513507E-05   2.29849919E-05  
  27               1.44002968E-01   4.39584410E+02   8.38243256E-01   1.60495923E-01   6.73478261E-04   4.30065976E-04   1.19924620E-23   6.51499759E-05   5.71512840E-05   2.29849746E-05  
