# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  34               5.23920202E-02   1.53534914E+02   8.38105109E-01   1.60469821E-01   7.79259752E-04   5.30013322E-04   5.52692570E-05   3.31888040E-05   2.29841763E-05   1.30894236E-71  
  35               6.36316737E-02   1.64264830E+02   8.38105068E-01   1.60469813E-01   7.79259765E-04   5.30013331E-04   5.52692579E-05   3.31888046E-05   2.29841752E-05   7.90063979E-67  
  36               7.72654256E-02   1.70746761E+02   8.38104509E-01   1.60469706E-01   7.79259807E-04   5.30013360E-04   5.52692610E-05   3.31888064E-05   2.29841599E-05   2.99315037E-64  
  37               9.38040651E-02   1.82099138E+02   8.38103734E-01   1.60469558E-01   7.79260196E-04   5.30013625E-04   5.52692887E-05   3.31888230E-05   2.29841386E-05   3.76241470E-60  
  38               1.13857427E-01   1.89335231E+02   8.38072588E-01   1.60463594E-01   7.79261206E-04   5.30014312E-04   5.52693604E-05   3.31888661E-05   2.29832845E-05   8.21771597E-58  
  39               1.38140687E-01   2.01744068E+02   8.38105091E-01   1.60469817E-01   7.79288305E-04   5.30032743E-04   5.52712824E-05   3.31900202E-05   2.29841758E-05   3.63094783E-54  
  40               1.67507811E-01   2.09846222E+02   8.37992715E-01   1.60448301E-01   7.79283638E-04   5.30029568E-04   5.52709515E-05   3.31898215E-05   2.29810940E-05   4.90938652E-52  
  41               2.03023731E-01   2.22247627E+02   8.37596312E-01   1.60372403E-01   7.79273875E-04   5.30022929E-04   5.52702592E-05   3.31894058E-05   2.29702231E-05   4.66851038E-49  
  42               2.45988718E-01   2.30125391E+02   8.38104216E-01   1.60469650E-01   7.79869451E-04   5.30428009E-04   5.53125007E-05   3.32147715E-05   2.29841518E-05   2.38695866E-47  
  43               2.98028543E-01   2.42005600E+02   8.38104927E-01   1.60469786E-01   7.79396668E-04   5.30106446E-04   5.52789685E-05   3.31946356E-05   2.29841713E-05   5.76111683E-45  
  44               3.61100997E-01   2.49807605E+02   8.38104209E-01   1.60469648E-01   7.79874105E-04   5.30431175E-04   5.53128311E-05   3.32149698E-05   2.29841516E-05   1.53440438E-43  
  45               4.37603011E-01   2.61989783E+02   8.38104209E-01   1.60469648E-01   7.79874132E-04   5.30431193E-04   5.53128331E-05   3.32149710E-05   2.29841516E-05   1.82346931E-41  
  46               5.30425832E-01   2.70689973E+02   8.38104209E-01   1.60469648E-01   7.79874121E-04   5.30431186E-04   5.53128325E-05   3.32149706E-05   2.29841516E-05   4.11744920E-40  
  47               6.42947049E-01   2.84263795E+02   8.38104209E-01   1.60469648E-01   7.79874110E-04   5.30431178E-04   5.53128318E-05   3.32149701E-05   2.29841516E-05   3.80313898E-38  
