# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  34               3.48812754E-02   2.43968125E+02   8.38217926E-01   1.60491376E-01   7.05580185E-04   4.61792710E-04   3.16454303E-05   5.70910559E-05   2.29853912E-05   4.02011631E-44  
  35               4.02304341E-02   2.51010786E+02   8.38217931E-01   1.60491377E-01   7.05577083E-04   4.61790681E-04   3.16452912E-05   5.70908052E-05   2.29853914E-05   7.59800723E-43  
  36               4.63968095E-02   2.60155076E+02   8.38217925E-01   1.60491376E-01   7.05580806E-04   4.61793117E-04   3.16454581E-05   5.70911067E-05   2.29853912E-05   2.76757356E-41  
  37               5.35002371E-02   2.67623006E+02   8.38217925E-01   1.60491376E-01   7.05580797E-04   4.61793111E-04   3.16454577E-05   5.70911062E-05   2.29853912E-05   4.27756668E-40  
  38               6.16812186E-02   2.77470574E+02   8.38217925E-01   1.60491376E-01   7.05580845E-04   4.61793143E-04   3.16454599E-05   5.70911104E-05   2.29853912E-05   1.28553089E-38  
  39               7.10950227E-02   2.85809387E+02   8.38217925E-01   1.60491376E-01   7.05580863E-04   4.61793154E-04   3.16454607E-05   5.70911122E-05   2.29853912E-05   1.88316557E-37  
  40               8.19200540E-02   2.96648167E+02   8.38217925E-01   1.60491376E-01   7.05580883E-04   4.61793167E-04   3.16454616E-05   5.70911141E-05   2.29853912E-05   5.00463974E-36  
  41               9.43545922E-02   3.06375671E+02   8.38217925E-01   1.60491376E-01   7.05580904E-04   4.61793181E-04   3.16454625E-05   5.70911161E-05   2.29853912E-05   7.71678451E-35  
  42               1.08613985E-01   3.19491157E+02   8.38217925E-01   1.60491376E-01   7.05580927E-04   4.61793196E-04   3.16454636E-05   5.70911184E-05   2.29853912E-05   2.41612381E-33  
  43               1.24911204E-01   3.33513782E+02   8.38217924E-01   1.60491376E-01   7.05580952E-04   4.61793212E-04   3.16454647E-05   5.70911208E-05   2.29853911E-05   7.11827413E-32  
  44               1.43528118E-01   3.47571775E+02   8.38217924E-01   1.60491376E-01   7.05580979E-04   4.61793230E-04   3.16454659E-05   5.70911235E-05   2.29853911E-05   1.60213260E-30  
  45               1.64789845E-01   3.62561072E+02   8.38217918E-01   1.60491374E-01   7.05581025E-04   4.61793260E-04   3.16454680E-05   5.70911278E-05   2.29853909E-05   3.39814444E-29  
  46               1.89064361E-01   3.77655741E+02   8.38217919E-01   1.60491372E-01   7.05581048E-04   4.61793275E-04   3.16454690E-05   5.70911302E-05   2.29853906E-05   5.74372733E-28  
  47               2.16755284E-01   3.93712928E+02   8.38217662E-01   1.60491319E-01   7.05581173E-04   4.61793357E-04   3.16454747E-05   5.70911409E-05   2.29853830E-05   9.16608833E-27  
  48               2.48308455E-01   4.09905135E+02   8.38217694E-01   1.60491288E-01   7.05580797E-04   4.61793111E-04   3.16454578E-05   5.70911112E-05   2.29853785E-05   1.19793317E-25  
  49               2.84209847E-01   4.27076300E+02   8.38217703E-01   1.60491270E-01   7.05585353E-04   4.61796093E-04   3.16456622E-05   5.70914806E-05   2.29853760E-05   1.47824085E-24  
  50               3.25021213E-01   4.44399344E+02   8.38217717E-01   1.60491233E-01   7.05585344E-04   4.61796087E-04   3.16456618E-05   5.70914807E-05   2.29853707E-05   1.52724508E-23  
  51               3.71371399E-01   4.62746798E+02   8.38217388E-01   1.60491101E-01   7.05585361E-04   4.61796099E-04   3.16456626E-05   5.70914831E-05   2.29853518E-05   1.49722712E-22  
  52               4.23946092E-01   4.81257143E+02   8.38214412E-01   1.60490718E-01   7.05586446E-04   4.61796809E-04   3.16457113E-05   5.70915719E-05   2.29852969E-05   1.25191580E-21  
  53               4.83516747E-01   5.00824571E+02   8.38214959E-01   1.60490178E-01   7.05582614E-04   4.61794300E-04   3.16455394E-05   5.70912629E-05   2.29852196E-05   9.96400231E-21  
  54               5.50936800E-01   5.20557514E+02   8.38215334E-01   1.60489695E-01   7.05643214E-04   4.61833962E-04   3.16482573E-05   5.70961675E-05   2.29851504E-05   6.87187635E-20  
  55               6.27226532E-01   5.41400131E+02   8.38216130E-01   1.60488902E-01   7.05641770E-04   4.61833017E-04   3.16481926E-05   5.70960520E-05   2.29850368E-05   4.53425299E-19  
  56               7.13512454E-01   5.62449196E+02   8.38217298E-01   1.60487737E-01   7.05640048E-04   4.61831891E-04   3.16481154E-05   5.70959141E-05   2.29848699E-05   2.63763567E-18  
  57               8.11004636E-01   5.84657737E+02   8.38218958E-01   1.60486083E-01   7.05636843E-04   4.61829793E-04   3.16479717E-05   5.70956563E-05   2.29846332E-05   1.47351773E-17  
  58               9.21031341E-01   6.07073174E+02   8.38220950E-01   1.60484098E-01   7.05632749E-04   4.61827113E-04   3.16477881E-05   5.70953269E-05   2.29843488E-05   7.34275744E-17  
  59               1.04508716E+00   6.30663132E+02   8.38223260E-01   1.60481797E-01   7.05628060E-04   4.61824045E-04   3.16475779E-05   5.70949494E-05   2.29840192E-05   3.51829434E-16  
  60               1.18493260E+00   6.54501303E+02   8.38225576E-01   1.60479489E-01   7.05623145E-04   4.61820827E-04   3.16473574E-05   5.70945537E-05   2.29836888E-05   1.52413805E-15  
  61               1.34253020E+00   6.79561606E+02   8.38227883E-01   1.60477190E-01   7.05618388E-04   4.61817714E-04   3.16471441E-05   5.70941711E-05   2.29833594E-05   6.36983684E-15  
  62               1.51989372E+00   7.04895770E+02   8.38229940E-01   1.60475134E-01   7.05614003E-04   4.61814845E-04   3.16469475E-05   5.70938190E-05   2.29830650E-05   2.43256556E-14  
  63               1.71910271E+00   7.31419600E+02   8.38231808E-01   1.60473254E-01   7.05610221E-04   4.61812369E-04   3.16467780E-05   5.70935159E-05   2.29827957E-05   8.95409764E-14  
  64               1.94251666E+00   7.58175452E+02   8.38233345E-01   1.60471667E-01   7.05607139E-04   4.61810352E-04   3.16466398E-05   5.70932700E-05   2.29825683E-05   3.03228023E-13  
  65               2.19299930E+00   7.86126108E+02   8.38234568E-01   1.60470248E-01   7.05605011E-04   4.61808959E-04   3.16465444E-05   5.70931018E-05   2.29823649E-05   9.92012598E-13  
  66               2.47403875E+00   8.14388591E+02   8.38235501E-01   1.60469065E-01   7.05607094E-04   4.61810322E-04   3.16466381E-05   5.70932749E-05   2.29821951E-05   3.02049700E-12  
  67               2.78917158E+00   8.43905258E+02   8.38236481E-01   1.60468071E-01   7.05609806E-04   4.61812098E-04   3.16467606E-05   5.70934994E-05   2.29820517E-05   8.91962304E-12  
  68               3.14191946E+00   8.73720601E+02   8.38237276E-01   1.60467252E-01   7.05608372E-04   4.61811160E-04   3.16467011E-05   5.70933891E-05   2.29882589E-05   2.46681840E-11  
  69               3.53578461E+00   9.04722589E+02   8.38237928E-01   1.60466525E-01   7.05607324E-04   4.61810474E-04   3.16466778E-05   5.70933104E-05   2.30054079E-05   6.61349851E-11  
  70               3.97478086E+00   9.35932586E+02   8.38238357E-01   1.60465886E-01   7.05607101E-04   4.61810328E-04   3.16467810E-05   5.70932988E-05   2.30517658E-05   1.66714616E-10  
  71               4.46398287E+00   9.68340778E+02   8.38238461E-01   1.60465232E-01   7.05608837E-04   4.61811464E-04   3.16473562E-05   5.70934460E-05   2.31764361E-05   4.08630560E-10  
  72               5.00898127E+00   1.00097125E+03   8.38237801E-01   1.60464469E-01   7.05616380E-04   4.61816399E-04   3.16497574E-05   5.70940635E-05   2.34815396E-05   9.48261749E-10  
