# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H                H2O              N2               H2S              Mg              
  34               6.48119432E-02   6.08739124E+02   8.38559828E-01   1.60525584E-01   5.15128791E-04   3.11967178E-16   2.75899166E-04   6.02556158E-05   2.29911402E-05   0.00000000E+00  
  35               7.33484329E-02   6.31244263E+02   8.38560458E-01   1.60524951E-01   5.15129236E-04   1.38086775E-15   2.75899361E-04   6.02564029E-05   2.29910495E-05   0.00000000E+00  
  36               8.28814765E-02   6.55105260E+02   8.38560955E-01   1.60524444E-01   5.15129980E-04   5.98417910E-15   2.75899713E-04   6.02572603E-05   2.29909769E-05   0.00000000E+00  
  37               9.35267832E-02   6.78698372E+02   8.38561299E-01   1.60524072E-01   5.15131088E-04   2.29744392E-14   2.75900258E-04   6.02581939E-05   2.29909236E-05   0.00000000E+00  
  38               1.05403327E-01   7.03756000E+02   8.38561426E-01   1.60523733E-01   5.15132589E-04   8.69453538E-14   2.75901012E-04   6.02592055E-05   2.29908750E-05   0.00000000E+00  
  39               1.18635989E-01   7.28484355E+02   8.38561603E-01   1.60523484E-01   5.15136970E-04   2.94604631E-13   2.75903306E-04   6.02605844E-05   2.29908392E-05   0.00000000E+00  
  40               1.33351247E-01   7.54727493E+02   8.38561643E-01   1.60523212E-01   5.15141665E-04   9.86555621E-13   2.75905766E-04   6.02620287E-05   2.29907999E-05   0.00000000E+00  
  41               1.49689150E-01   7.80540318E+02   8.38561897E-01   1.60522947E-01   5.15142894E-04   2.98220776E-12   2.75906368E-04   6.02630965E-05   2.29907613E-05   0.00000000E+00  
  42               1.67837661E-01   8.07982808E+02   8.38562315E-01   1.60522501E-01   5.15143916E-04   8.95482447E-12   2.75906857E-04   6.02641702E-05   2.29962288E-05   0.00000000E+00  
  43               1.87986782E-01   8.34972711E+02   8.38563045E-01   1.60521692E-01   5.15144516E-04   2.45273902E-11   2.75907117E-04   6.02652235E-05   2.30118068E-05   0.00000000E+00  
  44               2.10323117E-01   8.63671975E+02   8.38564554E-01   1.60519953E-01   5.15144277E-04   6.68974225E-11   2.75906927E-04   6.02662071E-05   2.30608186E-05   0.00000000E+00  
  45               2.35036111E-01   8.91780122E+02   8.38567223E-01   1.60516650E-01   5.15143263E-04   1.67323019E-10   2.75906318E-04   6.02671282E-05   2.31939954E-05   0.00000000E+00  
  46               2.62308157E-01   9.21610260E+02   8.38572341E-01   1.60510072E-01   5.15141683E-04   4.16871490E-10   2.75905405E-04   6.02680152E-05   2.35675796E-05   0.00000000E+00  
  47               2.92344716E-01   9.50674146E+02   8.38581455E-01   1.60499539E-01   5.15134987E-04   9.56920111E-10   2.75901747E-04   6.02683429E-05   2.42916478E-05   0.00000000E+00  
  48               3.25440389E-01   9.81571844E+02   8.38598561E-01   1.60482508E-01   5.15109289E-04   2.19578225E-09   2.75887905E-04   6.02664990E-05   2.42890001E-05   0.00000000E+00  
  49               3.61889425E-01   1.01164970E+03   8.38620438E-01   1.60460722E-01   5.15075238E-04   4.67835342E-09   2.75869570E-04   6.02637523E-05   2.42855895E-05   5.23645810E-16  
  50               4.01975395E-01   1.04366753E+03   8.38648066E-01   1.60433191E-01   5.15034586E-04   9.98904420E-09   2.75847643E-04   6.02603485E-05   2.42812254E-05   3.51248056E-15  
  51               4.45988960E-01   1.07470902E+03   8.38675407E-01   1.60405936E-01   5.14993736E-04   1.98920875E-08   2.75825392E-04   6.02571048E-05   2.42767985E-05   2.00676281E-14  
  52               4.94233237E-01   1.10775659E+03   8.38703323E-01   1.60378088E-01   5.14955685E-04   3.97490848E-08   2.75803795E-04   6.02544523E-05   2.42720822E-05   1.16699073E-13  
  53               5.47018232E-01   1.13964351E+03   8.38726472E-01   1.60354969E-01   5.14927667E-04   7.43669688E-08   2.75784010E-04   6.02532115E-05   2.42678546E-05   5.74264181E-13  
  54               6.04794913E-01   1.17366886E+03   8.38747399E-01   1.60334035E-01   5.14915543E-04   1.39958587E-07   2.75760145E-04   6.02533839E-05   2.42635227E-05   2.85665300E-12  
  55               6.68076199E-01   1.20647748E+03   8.38763135E-01   1.60318279E-01   5.14934078E-04   2.48081903E-07   2.75718522E-04   6.02549014E-05   2.42595070E-05   1.20884331E-11  
  56               7.37386356E-01   1.24161522E+03   8.38776516E-01   1.60304919E-01   5.15002371E-04   4.43535712E-07   2.75630735E-04   6.02572427E-05   2.42549215E-05   5.16725084E-11  
  57               8.13289747E-01   1.27542647E+03   8.38786169E-01   1.60295518E-01   5.15152382E-04   7.49970540E-07   2.75452634E-04   6.02602127E-05   2.42498765E-05   1.89630647E-10  
  58               8.96445936E-01   1.31175407E+03   8.38794428E-01   1.60287932E-01   5.15424553E-04   1.28153694E-06   2.75125954E-04   6.02633854E-05   2.42425799E-05   7.05104278E-10  
  59               9.87662643E-01   1.34670374E+03   8.38800807E-01   1.60282964E-01   5.15871348E-04   2.08040337E-06   2.74597572E-04   6.02666662E-05   2.42315680E-05   2.28536102E-09  
  60               1.08793571E+00   1.38255533E+03   8.38806268E-01   1.60279444E-01   5.16547711E-04   3.33118607E-06   2.73859143E-04   6.02699294E-05   2.42100856E-05   7.09276107E-09  
  61               1.19852285E+00   1.41603624E+03   8.38809960E-01   1.60277316E-01   5.17503923E-04   5.03454491E-06   2.73046205E-04   6.02743140E-05   2.41680904E-05   1.90117763E-08  
  62               1.32041238E+00   1.45159198E+03   8.38807147E-01   1.60274654E-01   5.18748683E-04   7.65164669E-06   2.72487993E-04   6.02774505E-05   2.40668486E-05   5.12649715E-08  
