# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   3.18050293E+02   8.38536691E-01   1.60520756E-01   1.73645128E-31   5.27977861E-04   3.19449568E-04   6.03370757E-05   0.00000000E+00   0.00000000E+00  
  2                1.60201297E-04   3.85128087E+02   8.38537496E-01   1.60519937E-01   7.61487135E-26   5.27984459E-04   3.19453545E-04   6.03378741E-05   0.00000000E+00   0.00000000E+00  
  3                3.18254868E-04   4.12771001E+02   8.38537661E-01   1.60519257E-01   5.22594386E-24   5.28003843E-04   3.19465231E-04   6.03402012E-05   0.00000000E+00   0.00000000E+00  
  4                4.91907952E-04   4.38730263E+02   8.38537861E-01   1.60519020E-01   1.82665390E-22   5.28024497E-04   3.19477692E-04   6.03426596E-05   0.00000000E+00   0.00000000E+00  
  5                6.85739494E-04   4.50432621E+02   8.38537857E-01   1.60518999E-01   7.35469221E-22   5.28039739E-04   3.19486882E-04   6.03444892E-05   0.00000000E+00   0.00000000E+00  
  6                9.04350466E-04   4.65810929E+02   8.38537995E-01   1.60518837E-01   4.41354128E-21   5.28053611E-04   3.19495245E-04   6.03461554E-05   0.00000000E+00   0.00000000E+00  
  7                1.15175644E-03   4.73602831E+02   8.38537945E-01   1.60518864E-01   9.91706862E-21   5.28066913E-04   3.19503266E-04   6.03477516E-05   0.00000000E+00   0.00000000E+00  
  8                1.43236657E-03   4.86595717E+02   8.38538034E-01   1.60518753E-01   3.92902586E-20   5.28079480E-04   3.19510843E-04   6.03492607E-05   0.00000000E+00   0.00000000E+00  
  9                1.75096508E-03   4.93126487E+02   8.38537982E-01   1.60518783E-01   7.28193838E-20   5.28091847E-04   3.19518300E-04   6.03507444E-05   0.00000000E+00   0.00000000E+00  
  10               2.11301036E-03   5.05182659E+02   8.38538052E-01   1.60518693E-01   2.37464599E-19   5.28103795E-04   3.19525504E-04   6.03521787E-05   0.00000000E+00   0.00000000E+00  
  11               2.52461372E-03   5.11030958E+02   8.38538000E-01   1.60518724E-01   3.94836491E-19   5.28115732E-04   3.19532701E-04   6.03536106E-05   0.00000000E+00   0.00000000E+00  
  12               2.99285170E-03   5.22656084E+02   8.38538058E-01   1.60518646E-01   1.14316773E-18   5.28127425E-04   3.19539752E-04   6.03550140E-05   0.00000000E+00   0.00000000E+00  
  13               3.52570178E-03   5.28319170E+02   8.38538009E-01   1.60518674E-01   1.80944599E-18   5.28139213E-04   3.19546860E-04   6.03564279E-05   0.00000000E+00   0.00000000E+00  
  14               4.13223951E-03   5.39936855E+02   8.38538060E-01   1.60518603E-01   4.89651293E-18   5.28150872E-04   3.19553890E-04   6.03578269E-05   0.00000000E+00   0.00000000E+00  
  15               4.82264882E-03   5.45662014E+02   8.38538015E-01   1.60518627E-01   7.57046927E-18   5.28162696E-04   3.19561020E-04   6.03592449E-05   0.00000000E+00   0.00000000E+00  
  16               5.60845085E-03   5.57557328E+02   8.38538062E-01   1.60518560E-01   1.97112430E-17   5.28174484E-04   3.19568128E-04   6.03606591E-05   0.00000000E+00   0.00000000E+00  
  17               6.50249553E-03   5.63723089E+02   8.38538025E-01   1.60518576E-01   3.07335323E-17   5.28186490E-04   3.19575367E-04   6.03620987E-05   0.00000000E+00   0.00000000E+00  
  18               7.51930554E-03   5.76238980E+02   8.38538070E-01   1.60518510E-01   7.90921293E-17   5.28198535E-04   3.19582630E-04   6.03635436E-05   0.00000000E+00   0.00000000E+00  
  19               8.67507557E-03   5.82992042E+02   8.38538039E-01   1.60518520E-01   1.25252682E-16   5.28210870E-04   3.19590068E-04   6.03650224E-05   0.00000000E+00   0.00000000E+00  
  20               9.98801872E-03   5.96216342E+02   8.38538081E-01   1.60518456E-01   3.19112240E-16   5.28223338E-04   3.19597587E-04   6.03665178E-05   0.00000000E+00   0.00000000E+00  
