# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   5.25567778E+02   8.38489640E-01   1.60503512E-01   2.61568816E-17   4.07191243E-04   3.70558476E-04   1.36070104E-04   5.96884478E-05   0.00000000E+00  
  2                2.88464450E-05   5.45827681E+02   8.38488536E-01   1.60504588E-01   9.93273129E-17   4.07192949E-04   3.70560028E-04   1.36070674E-04   5.96886979E-05   0.00000000E+00  
  3                5.18913830E-05   5.62905960E+02   8.38489371E-01   1.60503747E-01   3.21393198E-16   4.07192076E-04   3.70559235E-04   1.36070383E-04   5.96885701E-05   0.00000000E+00  
  4                8.04214994E-05   5.67230004E+02   8.38487779E-01   1.60505292E-01   3.69195458E-16   4.07193871E-04   3.70560867E-04   1.36070983E-04   5.96888331E-05   0.00000000E+00  
  5                1.15840000E-04   5.80900267E+02   8.38488694E-01   1.60504379E-01   9.20607445E-16   4.07193070E-04   3.70560139E-04   1.36070715E-04   5.96887159E-05   0.00000000E+00  
  6                1.59823212E-04   5.84620991E+02   8.38487715E-01   1.60505337E-01   1.04696725E-15   4.07194263E-04   3.70561225E-04   1.36071114E-04   5.96888909E-05   0.00000000E+00  
  7                2.14470441E-04   5.97664331E+02   8.38488740E-01   1.60504316E-01   2.42454049E-15   4.07193358E-04   3.70560401E-04   1.36070811E-04   5.96887584E-05   0.00000000E+00  
  8                2.82343688E-04   6.01574844E+02   8.38487905E-01   1.60505064E-01   2.81721049E-15   4.07194412E-04   3.70561360E-04   1.36071163E-04   5.96889131E-05   0.00000000E+00  
  9                3.66656372E-04   6.14408581E+02   8.38489055E-01   1.60503918E-01   6.19282202E-15   4.07193888E-04   3.70560883E-04   1.36070988E-04   5.96888366E-05   0.00000000E+00  
  10               4.71343545E-04   6.18598250E+02   8.38488340E-01   1.60504617E-01   7.31124821E-15   4.07195027E-04   3.70561920E-04   1.36071369E-04   5.96890040E-05   0.00000000E+00  
  11               6.01363664E-04   6.31281357E+02   8.38489607E-01   1.60503356E-01   1.52864726E-14   4.07194294E-04   3.70561253E-04   1.36071124E-04   5.96888970E-05   0.00000000E+00  
  12               7.62840842E-04   6.35669429E+02   8.38488709E-01   1.60504043E-01   1.81278267E-14   4.07195616E-04   3.70562457E-04   1.36071566E-04   5.96890915E-05   0.00000000E+00  
  13               9.63445006E-04   6.48269749E+02   8.38490067E-01   1.60502684E-01   3.62395682E-14   4.07197064E-04   3.70563774E-04   1.36072050E-04   5.96893044E-05   0.00000000E+00  
  14               1.21261813E-03   6.52859096E+02   8.38489282E-01   1.60503453E-01   4.30458033E-14   4.07198826E-04   3.70565378E-04   1.36072639E-04   5.96895636E-05   0.00000000E+00  
  15               1.52213630E-03   6.65510106E+02   8.38490734E-01   1.60502003E-01   8.30767221E-14   4.07199008E-04   3.70565544E-04   1.36072700E-04   5.96895915E-05   0.00000000E+00  
  16               1.90650405E-03   6.70335912E+02   8.38489689E-01   1.60502794E-01   9.88648243E-14   4.07201372E-04   3.70567695E-04   1.36073490E-04   5.96899396E-05   0.00000000E+00  
  17               2.38376695E-03   6.83123574E+02   8.38491221E-01   1.60501262E-01   1.85306085E-13   4.07201443E-04   3.70567760E-04   1.36073514E-04   5.96899518E-05   0.00000000E+00  
  18               2.97617138E-03   6.88100947E+02   8.38490277E-01   1.60502188E-01   2.19572448E-13   4.07204559E-04   3.70570596E-04   1.36074555E-04   5.96904109E-05   0.00000000E+00  
  19               3.71136269E-03   7.00978029E+02   8.38491821E-01   1.60500636E-01   3.99039418E-13   4.07207755E-04   3.70573506E-04   1.36075623E-04   5.96908823E-05   0.00000000E+00  
  20               4.62341787E-03   7.06024659E+02   8.38490755E-01   1.60501682E-01   4.68527742E-13   4.07212121E-04   3.70577479E-04   1.36077083E-04   5.96915256E-05   0.00000000E+00  
  21               5.75459134E-03   7.18924539E+02   8.38492238E-01   1.60500193E-01   8.24074402E-13   4.07214297E-04   3.70579460E-04   1.36077810E-04   5.96918486E-05   0.00000000E+00  
  22               7.15687909E-03   7.24011110E+02   8.38491058E-01   1.60501349E-01   9.57656630E-13   4.07220130E-04   3.70584770E-04   1.36079760E-04   5.96927085E-05   0.00000000E+00  
  23               8.89454522E-03   7.37041654E+02   8.38492457E-01   1.60499938E-01   1.64224183E-12   4.07223868E-04   3.70588173E-04   1.36081009E-04   5.96932622E-05   0.00000000E+00  
  24               1.10464573E-02   7.42227310E+02   8.38491204E-01   1.60501163E-01   1.89523850E-12   4.07231439E-04   3.70595063E-04   1.36083539E-04   5.96943785E-05   0.00000000E+00  
  25               1.37098422E-02   7.55421771E+02   8.38492493E-01   1.60499855E-01   3.17764944E-12   4.07237096E-04   3.70600213E-04   1.36085430E-04   5.96952155E-05   0.00000000E+00  
  26               1.70041808E-02   7.60827829E+02   8.38491225E-01   1.60501089E-01   3.66295129E-12   4.07246596E-04   3.70608859E-04   1.36088606E-04   5.96966168E-05   0.00000000E+00  
