# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   5.48846128E+01   8.38134035E-01   1.60475348E-01   7.69210198E-04   5.20495192E-04   3.16320194E-109  2.33792507E-06   5.02765308E-05   2.29843090E-05  
  2                2.89161944E-05   8.36154223E+01   8.38134035E-01   1.60475348E-01   7.69210242E-04   5.20495221E-04   1.86018591E-109  2.33792520E-06   5.02765337E-05   2.29843090E-05  
  3                5.05252380E-05   9.15424770E+01   8.38134035E-01   1.60475348E-01   7.69210312E-04   5.20495269E-04   1.40725479E-109  2.33792541E-06   5.02765383E-05   2.29843090E-05  
  4                7.65212535E-05   9.52675271E+01   8.38134034E-01   1.60475348E-01   7.69210402E-04   5.20495330E-04   1.14349924E-109  2.33792569E-06   5.02765442E-05   2.29843090E-05  
  5                1.08293545E-04   9.74474834E+01   8.38121944E-01   1.60473033E-01   7.69210521E-04   5.20495410E-04   9.61212414E-110  2.33792605E-06   5.02765519E-05   2.29839774E-05  
  6                1.47102502E-04   1.01902802E+02   8.38134045E-01   1.60475350E-01   7.69203423E-04   5.20490607E-04   1.06812361E-107  2.33790448E-06   5.02760880E-05   2.29843093E-05  
  7                1.94413921E-04   1.05478760E+02   8.38048042E-01   1.60458883E-01   7.69154441E-04   5.20457463E-04   5.39388618E-104  2.33775560E-06   5.02728865E-05   2.29819508E-05  
  8                2.52040191E-04   1.11186975E+02   8.38133899E-01   1.60475322E-01   7.69301752E-04   5.20557142E-04   1.52431495E-98   2.33820333E-06   5.02825149E-05   2.29843053E-05  
  9                3.22234932E-04   1.15540957E+02   8.38133898E-01   1.60475322E-01   7.69301963E-04   5.20557286E-04   9.23605069E-95   2.33820398E-06   5.02825287E-05   2.29843052E-05  
  10               4.07819880E-04   1.21539153E+02   8.38133898E-01   1.60475322E-01   7.69302204E-04   5.20557448E-04   5.61645567E-90   2.33820471E-06   5.02825444E-05   2.29843052E-05  
  11               5.12269778E-04   1.25783337E+02   8.38133897E-01   1.60475322E-01   7.69302474E-04   5.20557631E-04   6.96925187E-87   2.33820553E-06   5.02825621E-05   2.29843052E-05  
  12               6.39832902E-04   1.31749725E+02   8.38133896E-01   1.60475321E-01   7.69302774E-04   5.20557834E-04   7.44590595E-83   2.33820644E-06   5.02825817E-05   2.29843052E-05  
  13               7.95697717E-04   1.36071536E+02   8.38133891E-01   1.60475321E-01   7.69303106E-04   5.20558059E-04   3.58944249E-80   2.33820745E-06   5.02826034E-05   2.29843051E-05  
  14               9.86177648E-04   1.42544792E+02   8.38133881E-01   1.60475319E-01   7.69303467E-04   5.20558303E-04   1.94597065E-76   2.33820855E-06   5.02826270E-05   2.29843048E-05  
  15               1.21890871E-03   1.47486836E+02   8.38133805E-01   1.60475304E-01   7.69303862E-04   5.20558571E-04   8.06630120E-74   2.33820975E-06   5.02826529E-05   2.29843027E-05  
  16               1.50324392E-03   1.54522704E+02   8.38133676E-01   1.60475279E-01   7.69304017E-04   5.20558675E-04   2.29068834E-70   2.33821022E-06   5.02826629E-05   2.29842992E-05  
  17               1.85066780E-03   1.59785593E+02   8.38130732E-01   1.60474716E-01   7.69305074E-04   5.20559391E-04   5.38318963E-68   2.33821344E-06   5.02827321E-05   2.29842184E-05  
  18               2.27545301E-03   1.66926485E+02   8.38133893E-01   1.60475321E-01   7.69305419E-04   5.20559624E-04   5.26788150E-65   2.33821449E-06   5.02827546E-05   2.29843051E-05  
  19               2.79497685E-03   1.72238111E+02   8.38110213E-01   1.60470787E-01   7.69309020E-04   5.20562060E-04   5.91630630E-63   2.33822543E-06   5.02829900E-05   2.29836557E-05  
  20               3.43043438E-03   1.79572379E+02   8.38133884E-01   1.60475319E-01   7.69311812E-04   5.20563950E-04   2.61403040E-60   2.33823392E-06   5.02831725E-05   2.29843048E-05  
  21               4.20766935E-03   1.85019778E+02   8.37993127E-01   1.60448369E-01   7.69331789E-04   5.20577468E-04   1.71012349E-58   2.33829464E-06   5.02844782E-05   2.29804448E-05  
  22               5.15799742E-03   1.92562454E+02   8.38133812E-01   1.60475305E-01   7.69359859E-04   5.20596462E-04   3.90208874E-56   2.33837996E-06   5.02863129E-05   2.29843029E-05  
  23               6.31958265E-03   1.98316889E+02   8.37645732E-01   1.60381854E-01   7.69461568E-04   5.20665284E-04   1.80817134E-54   2.33868909E-06   5.02929607E-05   2.29709182E-05  
  24               7.73885377E-03   2.06186799E+02   8.38133692E-01   1.60475282E-01   7.69440375E-04   5.20650944E-04   2.50376970E-52   2.33862468E-06   5.02915756E-05   2.29842996E-05  
