# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   2.33243996E+02   8.38401903E-01   1.60526621E-01   1.71266496E-44   4.54940300E-04   3.08093612E-04   2.18977585E-04   5.93147322E-05   2.29908022E-05  
  2                2.62221607E-04   2.68996261E+02   8.38401897E-01   1.60526623E-01   1.00725375E-38   4.54941986E-04   3.08094754E-04   2.18978396E-04   5.93149527E-05   2.29908025E-05  
  3                5.42629734E-04   2.88694552E+02   8.38401904E-01   1.60526604E-01   5.39079076E-36   4.54947098E-04   3.08098216E-04   2.18980857E-04   5.93156218E-05   2.29907998E-05  
  4                8.63605520E-04   2.99161527E+02   8.38401908E-01   1.60526591E-01   1.02438287E-34   4.54951151E-04   3.08100961E-04   2.18982807E-04   5.93161522E-05   2.29907979E-05  
  5                1.23458449E-03   3.10624254E+02   8.38401933E-01   1.60526558E-01   2.17574357E-33   4.54954617E-04   3.08103308E-04   2.18984476E-04   5.93166059E-05   2.29907931E-05  
  6                1.66494390E-03   3.17764217E+02   8.38401942E-01   1.60526541E-01   1.24929278E-32   4.54957798E-04   3.08105462E-04   2.18986007E-04   5.93170223E-05   2.29907907E-05  
  7                2.16526181E-03   3.27474918E+02   8.38401989E-01   1.60526484E-01   1.26728919E-31   4.54960700E-04   3.08107427E-04   2.18987404E-04   5.93174022E-05   2.29907825E-05  
  8                2.74750182E-03   3.33697166E+02   8.38402008E-01   1.60526458E-01   5.01282125E-31   4.54963530E-04   3.08109344E-04   2.18988766E-04   5.93177727E-05   2.29907789E-05  
  9                3.42564125E-03   3.42776410E+02   8.38402094E-01   1.60526366E-01   3.60567787E-30   4.54966237E-04   3.08111178E-04   2.18990069E-04   5.93181271E-05   2.29907657E-05  
  10               4.21584000E-03   3.48666556E+02   8.38402118E-01   1.60526326E-01   1.18529586E-29   4.54968938E-04   3.08113007E-04   2.18991369E-04   5.93184806E-05   2.29907599E-05  
  11               5.13729505E-03   3.57300964E+02   8.38402249E-01   1.60526189E-01   6.62658019E-29   4.54971438E-04   3.08114700E-04   2.18992573E-04   5.93188080E-05   2.29907403E-05  
  12               6.21218154E-03   3.62936359E+02   8.38402293E-01   1.60526138E-01   1.88674527E-28   4.54974328E-04   3.08116657E-04   2.18993964E-04   5.93191862E-05   2.29907330E-05  
  13               7.46638786E-03   3.71517345E+02   8.38402450E-01   1.60525935E-01   9.15822691E-28   4.54976757E-04   3.08118302E-04   2.18995133E-04   5.93195044E-05   2.29907040E-05  
  14               8.92980557E-03   3.77222215E+02   8.38402521E-01   1.60525858E-01   2.44031059E-27   4.54979411E-04   3.08120099E-04   2.18996410E-04   5.93198519E-05   2.29906930E-05  
  15               1.06370829E-02   3.86038868E+02   8.38402802E-01   1.60525572E-01   1.09763495E-26   4.54981726E-04   3.08121667E-04   2.18997525E-04   5.93201552E-05   2.29906520E-05  
  16               1.26280920E-02   3.92077622E+02   8.38402912E-01   1.60525454E-01   2.87507751E-26   4.54985176E-04   3.08124004E-04   2.18999185E-04   5.93206065E-05   2.29906351E-05  
  17               1.49492706E-02   4.01322424E+02   8.38403207E-01   1.60525012E-01   1.23837327E-25   4.54987416E-04   3.08125521E-04   2.19000263E-04   5.93209000E-05   2.29905718E-05  
  18               1.76540814E-02   4.07793270E+02   8.38403398E-01   1.60524815E-01   3.22326573E-25   4.54990065E-04   3.08127315E-04   2.19001538E-04   5.93212469E-05   2.29905435E-05  
  19               2.08042164E-02   4.17561366E+02   8.38403993E-01   1.60524215E-01   1.34255713E-24   4.54992055E-04   3.08128662E-04   2.19002496E-04   5.93215080E-05   2.29904577E-05  
  20               2.44703860E-02   4.24657983E+02   8.38404279E-01   1.60523915E-01   3.54784166E-24   4.54997459E-04   3.08132322E-04   2.19005097E-04   5.93222142E-05   2.29904146E-05  
  21               2.87356400E-02   4.35133911E+02   8.38404642E-01   1.60522978E-01   1.45545086E-23   4.54999376E-04   3.08133620E-04   2.19006020E-04   5.93224658E-05   2.29902805E-05  
  22               3.36949712E-02   4.43055219E+02   8.38405111E-01   1.60522456E-01   3.96393698E-23   4.55001812E-04   3.08135270E-04   2.19007193E-04   5.93227853E-05   2.29902057E-05  
  23               3.94569091E-02   4.54536470E+02   8.38405899E-01   1.60521237E-01   1.64344456E-22   4.55003258E-04   3.08136250E-04   2.19007889E-04   5.93229756E-05   2.29900311E-05  
  24               4.61430356E-02   4.63740234E+02   8.38406363E-01   1.60520741E-01   4.79943352E-22   4.55017601E-04   3.08145963E-04   2.19014793E-04   5.93248475E-05   2.29899600E-05  
  25               5.38907857E-02   4.76675966E+02   8.38405521E-01   1.60518656E-01   2.07502993E-21   4.55021619E-04   3.08148684E-04   2.19016727E-04   5.93253733E-05   2.29896614E-05  
  26               6.28580198E-02   4.87010672E+02   8.38406773E-01   1.60517401E-01   6.21043063E-21   4.55022754E-04   3.08149452E-04   2.19017273E-04   5.93255233E-05   2.29894818E-05  
  27               7.32353075E-02   5.00054020E+02   8.38408390E-01   1.60515783E-01   2.36123730E-20   4.55023189E-04   3.08149747E-04   2.19017483E-04   5.93255823E-05   2.29892500E-05  
  28               8.52280646E-02   5.11408807E+02   8.38409482E-01   1.60514626E-01   7.05878759E-20   4.55051999E-04   3.08169258E-04   2.19031350E-04   5.93293408E-05   2.29890843E-05  
  29               9.90708329E-02   5.25733651E+02   8.38411198E-01   1.60512907E-01   2.66972388E-19   4.55053859E-04   3.08170518E-04   2.19032245E-04   5.93295858E-05   2.29888380E-05  
  30               1.15031691E-01   5.38627276E+02   8.38412452E-01   1.60511646E-01   8.23939400E-19   4.55056849E-04   3.08172543E-04   2.19033684E-04   5.93299782E-05   2.29886574E-05  
  31               1.33414208E-01   5.54638764E+02   8.38414165E-01   1.60509927E-01   3.14946417E-18   4.55059315E-04   3.08174213E-04   2.19034872E-04   5.93303026E-05   2.29884113E-05  
  32               1.54551575E-01   5.69376810E+02   8.38415428E-01   1.60508656E-01   1.00378596E-17   4.55062913E-04   3.08176650E-04   2.19036603E-04   5.93307747E-05   2.29882292E-05  
  33               1.78809942E-01   5.87404834E+02   8.38417012E-01   1.60507065E-01   3.87776747E-17   4.55066271E-04   3.08178924E-04   2.19038220E-04   5.93312157E-05   2.29880013E-05  
  34               2.06579823E-01   6.04524929E+02   8.38418209E-01   1.60505857E-01   1.29061620E-16   4.55070690E-04   3.08181916E-04   2.19040346E-04   5.93317953E-05   2.29878284E-05  
  35               2.38288683E-01   6.25268973E+02   8.38419602E-01   1.60504454E-01   5.13151862E-16   4.55075145E-04   3.08184933E-04   2.19042491E-04   5.93323800E-05   2.29876274E-05  
  36               2.74421015E-01   6.45385415E+02   8.38420656E-01   1.60503387E-01   1.78892144E-15   4.55080587E-04   3.08188619E-04   2.19045110E-04   5.93330936E-05   2.29874745E-05  
  37               3.15537966E-01   6.69284330E+02   8.38421777E-01   1.60502248E-01   7.22169246E-15   4.55086290E-04   3.08192481E-04   2.19047856E-04   5.93338417E-05   2.29873114E-05  
  38               3.62218782E-01   6.92822611E+02   8.38422610E-01   1.60501384E-01   2.58769740E-14   4.55092888E-04   3.08196950E-04   2.19051032E-04   5.93347067E-05   2.29871877E-05  
  39               4.15056243E-01   7.20318308E+02   8.38423411E-01   1.60500517E-01   1.04208225E-13   4.55099940E-04   3.08201725E-04   2.19054426E-04   5.93356311E-05   2.29870634E-05  
  40               4.74633775E-01   7.48119230E+02   8.38423876E-01   1.60499818E-01   3.83183932E-13   4.55107875E-04   3.08207099E-04   2.19058245E-04   5.93366710E-05   2.29869633E-05  
  41               5.41564607E-01   7.79802791E+02   8.38424271E-01   1.60499155E-01   1.51793846E-12   4.55118669E-04   3.08214410E-04   2.19063441E-04   5.93380840E-05   2.29868679E-05  
  42               6.16813592E-01   8.08849362E+02   8.38424661E-01   1.60498729E-01   4.83803637E-12   4.55130084E-04   3.08222140E-04   2.19068936E-04   5.93395782E-05   2.29868061E-05  
  43               7.01396461E-01   8.42189093E+02   8.38425073E-01   1.60498265E-01   1.66833177E-11   4.55138787E-04   3.08228034E-04   2.19073125E-04   5.93407191E-05   2.29940783E-05  
