# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  34               1.73025039E-01   3.04184771E+02   8.38113168E-01   1.60471356E-01   7.78323238E-04   5.28932698E-04   3.07598825E-35   4.11596673E-05   3.95313361E-05   2.61966550E-07  
  35               2.09818671E-01   3.14227266E+02   8.38113167E-01   1.60471355E-01   7.78324341E-04   5.28933449E-04   4.39304360E-34   4.11597260E-05   3.95313923E-05   2.61966922E-07  
  36               2.54367031E-01   3.22911616E+02   8.38113165E-01   1.60471355E-01   7.78325519E-04   5.28934249E-04   3.76723770E-33   4.11597886E-05   3.95314522E-05   2.61967319E-07  
  37               3.08279134E-01   3.33982034E+02   8.38113163E-01   1.60471354E-01   7.78326771E-04   5.28935100E-04   5.05897499E-32   4.11598552E-05   3.95315159E-05   2.61967742E-07  
  38               3.73471982E-01   3.43802280E+02   8.38113160E-01   1.60471354E-01   7.78328109E-04   5.28936009E-04   4.33833990E-31   4.11599263E-05   3.95315839E-05   2.61968193E-07  
  39               4.52247250E-01   3.56099781E+02   8.38113158E-01   1.60471353E-01   7.78329528E-04   5.28936974E-04   5.50994860E-30   4.11600017E-05   3.95316561E-05   2.61968671E-07  
  40               5.47378759E-01   3.67393980E+02   8.38113153E-01   1.60471352E-01   7.78331055E-04   5.28938012E-04   4.83514068E-29   4.11600829E-05   3.95317338E-05   2.61969186E-07  
  41               6.62170440E-01   3.81386179E+02   8.38113151E-01   1.60471351E-01   7.78332660E-04   5.28939103E-04   6.06095940E-28   4.11601682E-05   3.95318155E-05   2.61969727E-07  
  42               8.00507668E-01   3.94692365E+02   8.38112996E-01   1.60471322E-01   7.78334439E-04   5.28940312E-04   5.62850368E-27   4.11602627E-05   3.95319060E-05   2.61970327E-07  
  43               9.66972134E-01   4.10944148E+02   8.38113008E-01   1.60471306E-01   7.78336002E-04   5.28941374E-04   7.13875069E-26   4.11603459E-05   3.95319855E-05   2.61970854E-07  
  44               1.16697748E+00   4.26846771E+02   8.38113001E-01   1.60471304E-01   7.78341199E-04   5.28944907E-04   7.05652250E-25   4.11606213E-05   3.95322496E-05   2.61972604E-07  
  45               1.40677931E+00   4.46028027E+02   8.38112993E-01   1.60471300E-01   7.78343310E-04   5.28946341E-04   9.11263749E-24   4.11607335E-05   3.95323570E-05   2.61973316E-07  
  46               1.69340531E+00   4.65342454E+02   8.38112589E-01   1.60471224E-01   7.78345600E-04   5.28947897E-04   9.63051961E-23   4.11608552E-05   3.95324735E-05   2.61974088E-07  
  47               2.03497319E+00   4.88279495E+02   8.38109358E-01   1.60470959E-01   7.78349462E-04   5.28950523E-04   1.25589556E-21   4.11610602E-05   3.95326699E-05   2.61975389E-07  
  48               2.44112225E+00   5.11618930E+02   8.38109660E-01   1.60470659E-01   7.78348009E-04   5.28949535E-04   1.34672352E-20   4.11609840E-05   3.95325963E-05   2.61974902E-07  
  49               2.92258115E+00   5.38651828E+02   8.38109597E-01   1.60470591E-01   7.78421125E-04   5.28999224E-04   1.63773648E-19   4.11648514E-05   3.95363101E-05   2.61999513E-07  
  50               3.49158999E+00   5.64852829E+02   8.38109676E-01   1.60470508E-01   7.78424097E-04   5.29001244E-04   1.45592963E-18   4.11650095E-05   3.95364613E-05   2.62000515E-07  
  51               4.16258144E+00   5.93843527E+02   8.38109840E-01   1.60470338E-01   7.78427165E-04   5.29003329E-04   1.30873988E-17   4.11651727E-05   3.95366174E-05   2.62001549E-07  
  52               4.95281165E+00   6.21968355E+02   8.38110096E-01   1.60470076E-01   7.78430302E-04   5.29005462E-04   8.98881479E-17   4.11653396E-05   3.95367771E-05   2.62002607E-07  
  53               5.88059168E+00   6.52408082E+02   8.38110540E-01   1.60469626E-01   7.78433342E-04   5.29007528E-04   6.00802651E-16   4.11655015E-05   3.95369318E-05   2.62003633E-07  
  54               6.96610028E+00   6.81594509E+02   8.38111119E-01   1.60469041E-01   7.78436351E-04   5.29009574E-04   3.14091685E-15   4.11656619E-05   3.95370850E-05   2.62004648E-07  
  55               8.23256533E+00   7.13077074E+02   8.38111970E-01   1.60468184E-01   7.78439131E-04   5.29011463E-04   1.60926384E-14   4.11658102E-05   3.95372266E-05   2.62005587E-07  
  56               9.71022820E+00   7.43823989E+02   8.38112942E-01   1.60467199E-01   7.78441881E-04   5.29013333E-04   6.89970252E-14   4.11659571E-05   3.95373667E-05   2.62006516E-07  
  57               1.14298893E+01   7.77781031E+02   8.38114229E-01   1.60465879E-01   7.78444349E-04   5.29015010E-04   3.02304635E-13   4.11660891E-05   3.95374924E-05   2.62007354E-07  
  58               1.34260789E+01   8.12090598E+02   8.38115456E-01   1.60464427E-01   7.78447030E-04   5.29016833E-04   1.18200640E-12   4.11662326E-05   3.95376291E-05   2.62008306E-07  
  59               1.57352990E+01   8.50666779E+02   8.38116979E-01   1.60462631E-01   7.78450093E-04   5.29018915E-04   4.82492054E-12   4.11663963E-05   3.95377852E-05   2.62009709E-07  
  60               1.84075824E+01   8.90623813E+02   8.38118725E-01   1.60460856E-01   7.78457396E-04   5.29023880E-04   1.81785161E-11   4.11667845E-05   3.95381566E-05   2.62015316E-07  
  61               2.14903796E+01   9.32451888E+02   8.38120410E-01   1.60459105E-01   7.78464632E-04   5.29028797E-04   6.44524370E-11   4.11671691E-05   3.95385247E-05   2.62042887E-07  
  62               2.50245539E+01   9.74580296E+02   8.38121790E-01   1.60457538E-01   7.78468304E-04   5.29031294E-04   2.05894999E-10   4.11673655E-05   3.95387118E-05   2.62230660E-07  
  63               2.90516546E+01   1.01829216E+03   8.38122722E-01   1.60456044E-01   7.78473842E-04   5.29035058E-04   6.20106123E-10   4.11676606E-05   3.95389936E-05   2.63431104E-07  
  64               3.36242230E+01   1.06195434E+03   8.38122615E-01   1.60454656E-01   7.78484315E-04   5.29042174E-04   1.69775158E-09   4.11682169E-05   3.95395263E-05   2.70112307E-07  
  65               3.88228681E+01   1.10735702E+03   8.38122142E-01   1.60453408E-01   7.78511982E-04   5.29060946E-04   4.44393940E-09   4.11696836E-05   3.95409333E-05   3.00141769E-07  
  66               4.47234615E+01   1.15232919E+03   8.38122958E-01   1.60452469E-01   7.78516667E-04   5.29063824E-04   1.06527697E-08   4.11699470E-05   3.95411844E-05   4.03271421E-07  
  67               5.14174400E+01   1.19477496E+03   8.38123441E-01   1.60451728E-01   7.78520673E-04   5.29064165E-04   2.27285731E-08   4.11702726E-05   3.95414939E-05   6.35989579E-07  
  68               5.89807704E+01   1.23721864E+03   8.38123750E-01   1.60451010E-01   7.78514633E-04   5.29046544E-04   4.59016058E-08   4.11706434E-05   3.95418400E-05   1.03295135E-06  
  69               6.75059700E+01   1.27753582E+03   8.38123922E-01   1.60450390E-01   7.78458952E-04   5.28950096E-04   8.52015902E-08   4.11710324E-05   3.95421708E-05   1.57633077E-06  
  70               7.71466207E+01   1.31867877E+03   8.38124260E-01   1.60449737E-01   7.78240056E-04   5.28620668E-04   1.53808409E-07   4.11713651E-05   3.95423139E-05   2.34671829E-06  
  71               8.80324031E+01   1.35867501E+03   8.38125030E-01   1.60449183E-01   7.77671024E-04   5.27868738E-04   2.62748032E-07   4.11716300E-05   3.95418862E-05   3.31089860E-06  
  72               1.00270094E+02   1.40062912E+03   8.38126430E-01   1.60448546E-01   7.76608130E-04   5.26604743E-04   4.46152598E-07   4.11721270E-05   3.95398596E-05   4.64845611E-06  
  73               1.13987259E+02   1.44254258E+03   8.38128242E-01   1.60447874E-01   7.75123947E-04   5.24939086E-04   7.32521865E-07   4.11739005E-05   3.95329944E-05   6.31651995E-06  
  74               1.29287328E+02   1.48747396E+03   8.38130769E-01   1.60446944E-01   7.72982388E-04   5.22596787E-04   1.21105630E-06   4.11800908E-05   3.95105246E-05   8.64976726E-06  
  75               1.46350254E+02   1.53337625E+03   8.38133795E-01   1.60445817E-01   7.70230864E-04   5.19618613E-04   1.96155620E-06   4.11989619E-05   3.94457424E-05   1.16050032E-05  
  76               1.65307012E+02   1.58311435E+03   8.38137799E-01   1.60444225E-01   7.66393391E-04   5.15454536E-04   3.21379542E-06   4.12522179E-05   3.92734633E-05   1.57317803E-05  
  77               1.86188737E+02   1.63438639E+03   8.38142069E-01   1.60442150E-01   7.61561784E-04   5.10156379E-04   5.18046466E-06   4.13591794E-05   3.89667739E-05   2.09738544E-05  
  78               2.08981133E+02   1.68594546E+03   8.38130405E-01   1.60436652E-01   7.56138030E-04   5.03813442E-04   8.12244945E-06   4.14831362E-05   3.86588193E-05   2.72281637E-05  
  79               2.33648380E+02   1.73643259E+03   8.38116221E-01   1.60433662E-01   7.69174231E-04   4.95992725E-04   1.22685046E-05   4.15441284E-05   3.85203264E-05   3.49445681E-05  
  80               2.60289979E+02   1.78693475E+03   8.38120483E-01   1.60430588E-01   7.61769012E-04   4.88019771E-04   1.80892939E-05   4.15435148E-05   3.84850538E-05   4.27813483E-05  
  81               2.89207058E+02   1.83676400E+03   8.38121949E-01   1.60427061E-01   7.54337192E-04   4.79613798E-04   2.59341655E-05   4.14630644E-05   3.86023894E-05   5.10141347E-05  
  82               3.20651405E+02   1.88713032E+03   8.38118292E-01   1.60422766E-01   7.47835760E-04   4.70460698E-04   3.65801235E-05   4.13390125E-05   3.87954857E-05   5.99444149E-05  
  83               3.54727282E+02   1.93690451E+03   8.38101685E-01   1.60416978E-01   7.45218792E-04   4.60880325E-04   5.04007403E-05   4.11458852E-05   3.91164111E-05   6.92484602E-05  
  84               3.91073250E+02   1.98641245E+03   8.38065462E-01   1.60409160E-01   7.50916077E-04   4.50237885E-04   6.81753575E-05   4.09194277E-05   3.94924015E-05   7.95522232E-05  
  85               4.28919142E+02   2.03366247E+03   8.38000565E-01   1.60398673E-01   7.70123505E-04   4.38642036E-04   8.95723371E-05   4.06445471E-05   3.99580238E-05   9.07604106E-05  
  86               4.71056008E+02   2.08294021E+03   8.37919155E-01   1.60387488E-01   8.01628022E-04   4.24932744E-04   1.17431696E-04   4.03311906E-05   4.04880462E-05   1.04004961E-04  
  87               5.14639832E+02   2.12975177E+03   8.37899873E-01   1.60382341E-01   7.93323474E-04   4.16104004E-04   1.49906168E-04   3.99769206E-05   4.10949120E-05   1.12324775E-04  
