# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  34               5.70842042E-02   4.93075953E+02   8.38505177E-01   1.60533363E-01   4.68614108E-04   3.17020367E-04   1.26836366E-20   6.02011153E-05   8.28845978E-05   2.29908303E-05  
  35               6.46343416E-02   5.12407030E+02   8.38508540E-01   1.60530010E-01   4.68609585E-04   3.17017307E-04   8.96342458E-20   6.02004475E-05   8.28837999E-05   2.29903501E-05  
  36               7.30906684E-02   5.30966239E+02   8.38511289E-01   1.60527269E-01   4.68605785E-04   3.17014737E-04   5.09773700E-19   6.01998670E-05   8.28831300E-05   2.29899575E-05  
  37               8.25616388E-02   5.51374726E+02   8.38513842E-01   1.60524723E-01   4.68602357E-04   3.17012418E-04   3.02061488E-18   6.01993279E-05   8.28825259E-05   2.29895930E-05  
  38               9.31623660E-02   5.70965456E+02   8.38515723E-01   1.60522848E-01   4.68599769E-04   3.17010668E-04   1.47121063E-17   6.01988896E-05   8.28820706E-05   2.29893243E-05  
  39               1.05015565E-01   5.92520702E+02   8.38517375E-01   1.60521200E-01   4.68597578E-04   3.17009186E-04   7.46346009E-17   6.01984927E-05   8.28816857E-05   2.29890883E-05  
  40               1.18254700E-01   6.13177721E+02   8.38518547E-01   1.60520031E-01   4.68596005E-04   3.17008122E-04   3.16299904E-16   6.01981638E-05   8.28814103E-05   2.29889209E-05  
  41               1.33023483E-01   6.35901574E+02   8.38519564E-01   1.60519015E-01   4.68594698E-04   3.17007238E-04   1.39386712E-15   6.01978514E-05   8.28811824E-05   2.29887755E-05  
  42               1.49500570E-01   6.57665561E+02   8.38520276E-01   1.60518300E-01   4.68593796E-04   3.17006629E-04   5.21482054E-15   6.01975678E-05   8.28810267E-05   2.29886731E-05  
  43               1.67878469E-01   6.81644796E+02   8.38520892E-01   1.60517672E-01   4.68593110E-04   3.17006166E-04   2.02999057E-14   6.01972785E-05   8.28809100E-05   2.29885831E-05  
  44               1.88354506E-01   7.04588915E+02   8.38521297E-01   1.60517221E-01   4.68592813E-04   3.17005965E-04   6.80002418E-14   6.01970005E-05   8.28808627E-05   2.29885185E-05  
  45               2.11132171E-01   7.29829970E+02   8.38521528E-01   1.60516791E-01   4.68592993E-04   3.17006088E-04   2.36166472E-13   6.01967423E-05   8.28809007E-05   2.29884569E-05  
  46               2.36428188E-01   7.53916149E+02   8.38521597E-01   1.60516456E-01   4.68595460E-04   3.17007758E-04   7.13355318E-13   6.01967383E-05   8.28813442E-05   2.29884086E-05  
  47               2.64484704E-01   7.80375753E+02   8.38521881E-01   1.60516162E-01   4.68598219E-04   3.17009625E-04   2.22738139E-12   6.01967399E-05   8.28818399E-05   2.29883661E-05  
  48               2.95620275E-01   8.05627147E+02   8.38522139E-01   1.60515891E-01   4.68598060E-04   3.17009519E-04   6.12801339E-12   6.01963433E-05   8.28818199E-05   2.29914429E-05  
  49               3.30161971E-01   8.33393147E+02   8.38522496E-01   1.60515497E-01   4.68597789E-04   3.17009337E-04   1.74219380E-11   6.01959140E-05   8.28817803E-05   2.30002947E-05  
  50               3.68433956E-01   8.59865944E+02   8.38522961E-01   1.60514918E-01   4.68597456E-04   3.17009113E-04   4.40937997E-11   6.01954625E-05   8.28817300E-05   2.30235757E-05  
  51               4.10757044E-01   8.88882340E+02   8.38523816E-01   1.60513755E-01   4.68596976E-04   3.17008789E-04   1.14814851E-10   6.01949805E-05   8.28816539E-05   2.30944398E-05  
  52               4.57460973E-01   9.16465934E+02   8.38525015E-01   1.60511752E-01   4.68596972E-04   3.17008786E-04   2.68325525E-10   6.01945497E-05   8.28816614E-05   2.32676637E-05  
  53               5.08905696E-01   9.46586670E+02   8.38527506E-01   1.60507788E-01   4.68598618E-04   3.17009895E-04   6.42440952E-10   6.01943202E-05   8.28819600E-05   2.37370986E-05  
  54               5.65576763E-01   9.75217581E+02   8.38532498E-01   1.60501719E-01   4.68597792E-04   3.17009315E-04   1.39493631E-09   6.01937596E-05   8.28818161E-05   2.42919616E-05  
  55               6.27991987E-01   1.00646827E+03   8.38543101E-01   1.60491179E-01   4.68583119E-04   3.16999308E-04   3.09961384E-09   6.01913974E-05   8.28792043E-05   2.42902869E-05  
  56               6.96674379E-01   1.03620410E+03   8.38557257E-01   1.60477090E-01   4.68563199E-04   3.16985544E-04   6.30824983E-09   6.01883116E-05   8.28755881E-05   2.42880326E-05  
  57               7.72158608E-01   1.06856175E+03   8.38577677E-01   1.60456746E-01   4.68536244E-04   3.16966352E-04   1.30988262E-08   6.01841903E-05   8.28704359E-05   2.42847406E-05  
  58               8.54993101E-01   1.09934288E+03   8.38599734E-01   1.60434756E-01   4.68508539E-04   3.16944404E-04   2.51130179E-08   6.01796052E-05   8.28639574E-05   2.42811005E-05  
  59               9.45806683E-01   1.13271008E+03   8.38625584E-01   1.60408963E-01   4.68484582E-04   3.16917608E-04   4.89681780E-08   6.01744344E-05   8.28534357E-05   2.42766787E-05  
  60               1.04537846E+00   1.16450229E+03   8.38648899E-01   1.60385674E-01   4.68486437E-04   3.16883371E-04   8.89161079E-08   6.01694699E-05   8.28281941E-05   2.42724248E-05  
  61               1.15464566E+00   1.19893155E+03   8.38672521E-01   1.60362061E-01   4.68560318E-04   3.16814070E-04   1.64027666E-07   6.01644865E-05   8.27393133E-05   2.42676860E-05  
  62               1.27461296E+00   1.23188323E+03   8.38691714E-01   1.60342996E-01   4.68847399E-04   3.16612522E-04   2.84309674E-07   6.01599816E-05   8.23905097E-05   2.42632032E-05  
  63               1.40652094E+00   1.26752368E+03   8.38710054E-01   1.60325364E-01   4.69607631E-04   3.16032075E-04   4.99993113E-07   6.01556080E-05   8.12580762E-05   2.42580237E-05  
  64               1.55209218E+00   1.30194564E+03   8.38725552E-01   1.60312228E-01   4.71224578E-04   3.14621753E-04   8.34379207E-07   6.01514236E-05   7.83048024E-05   2.42524915E-05  
  65               1.71387906E+00   1.33954885E+03   8.38742089E-01   1.60301053E-01   4.74124636E-04   3.11791433E-04   1.41916620E-06   6.01468521E-05   7.22019176E-05   2.42446098E-05  
  66               1.89550604E+00   1.37649792E+03   8.38758364E-01   1.60293635E-01   4.78608952E-04   3.07081454E-04   2.31604948E-06   6.01419491E-05   6.24591669E-05   2.42325061E-05  
  67               2.10152449E+00   1.41480356E+03   8.38773979E-01   1.60288388E-01   4.84648850E-04   3.00634336E-04   3.73934916E-06   6.01375489E-05   5.06841849E-05   2.42075163E-05  
  68               2.33608887E+00   1.45118137E+03   8.38782245E-01   1.60284488E-01   4.91598522E-04   2.93789813E-04   5.72234228E-06   6.01345850E-05   4.05439589E-05   2.41542527E-05  
