# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  34               3.23206951E-02   1.86135915E+02   8.38141561E-01   1.60476787E-01   7.54892222E-04   5.07395356E-04   5.42918825E-05   5.93116062E-06   2.29845361E-05   1.29891811E-05  
  35               3.72889814E-02   1.96144678E+02   8.38118993E-01   1.60472466E-01   7.54903971E-04   5.07403253E-04   5.42927274E-05   5.93125294E-06   2.29839172E-05   1.29893832E-05  
  36               4.30067311E-02   2.04021676E+02   8.37983807E-01   1.60446582E-01   7.54928478E-04   5.07419726E-04   5.42944898E-05   5.93144549E-06   2.29802100E-05   1.29898048E-05  
  37               4.95812831E-02   2.14843514E+02   8.37733401E-01   1.60398638E-01   7.55050466E-04   5.07501719E-04   5.43032631E-05   5.93240395E-06   2.29733431E-05   1.29919037E-05  
  38               5.71334880E-02   2.23258992E+02   8.38156739E-01   1.60479693E-01   7.55338753E-04   5.07695489E-04   5.43239966E-05   5.93466901E-06   2.29849523E-05   1.29968641E-05  
  39               6.58136034E-02   2.33139292E+02   8.38157090E-01   1.60479760E-01   7.55102500E-04   5.07536693E-04   5.43070050E-05   5.93281278E-06   2.29849620E-05   1.29927989E-05  
  40               7.57989002E-02   2.40748416E+02   8.38156523E-01   1.60479652E-01   7.55484079E-04   5.07793169E-04   5.43344481E-05   5.93581084E-06   2.29849464E-05   1.29993645E-05  
  41               8.72911942E-02   2.50780895E+02   8.38156523E-01   1.60479652E-01   7.55483815E-04   5.07792992E-04   5.43344289E-05   5.93580877E-06   2.29849464E-05   1.29993598E-05  
  42               1.00512475E-01   2.59102030E+02   8.38156525E-01   1.60479652E-01   7.55483134E-04   5.07792534E-04   5.43343797E-05   5.93580341E-06   2.29849465E-05   1.29993480E-05  
  43               1.15709696E-01   2.70584586E+02   8.38156528E-01   1.60479653E-01   7.55480670E-04   5.07790878E-04   5.43342022E-05   5.93578406E-06   2.29849466E-05   1.29993055E-05  
  44               1.33120935E-01   2.82498860E+02   8.38156523E-01   1.60479652E-01   7.55484188E-04   5.07793242E-04   5.43344550E-05   5.93581170E-06   2.29849464E-05   1.29993659E-05  
  45               1.53055184E-01   2.94821264E+02   8.38156523E-01   1.60479652E-01   7.55484215E-04   5.07793261E-04   5.43344567E-05   5.93581192E-06   2.29849464E-05   1.29993662E-05  
  46               1.75883967E-01   3.07573634E+02   8.38156523E-01   1.60479652E-01   7.55484213E-04   5.07793260E-04   5.43344562E-05   5.93581190E-06   2.29849464E-05   1.29993660E-05  
  47               2.02021056E-01   3.20808747E+02   8.38156523E-01   1.60479652E-01   7.55484211E-04   5.07793258E-04   5.43344557E-05   5.93581189E-06   2.29849464E-05   1.29993658E-05  
