# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   3.23611452E+02   8.38417368E-01   1.60497303E-01   7.16473335E-31   4.72526167E-04   2.86198571E-04   2.36755215E-04   5.92298100E-05   2.29853533E-05  
  2                1.52862824E-05   3.58561913E+02   8.38419018E-01   1.60495659E-01   1.57308118E-27   4.72523934E-04   2.86197219E-04   2.36754096E-04   5.92295301E-05   2.29851178E-05  
  3                2.16785386E-05   3.66004253E+02   8.38418999E-01   1.60495676E-01   5.85829036E-27   4.72524046E-04   2.86197286E-04   2.36754152E-04   5.92295440E-05   2.29851203E-05  
  4                2.96090028E-05   3.74806747E+02   8.38418489E-01   1.60495536E-01   2.70513100E-26   4.72523630E-04   2.86197034E-04   2.36753943E-04   5.92294916E-05   2.29851002E-05  
  5                3.94761451E-05   3.79157832E+02   8.38418449E-01   1.60495557E-01   5.23755873E-26   4.72532185E-04   2.86202216E-04   2.36758230E-04   5.92305637E-05   2.29851032E-05  
  6                5.17635556E-05   3.87143325E+02   8.38418478E-01   1.60495528E-01   1.91073608E-25   4.72532141E-04   2.86202189E-04   2.36758207E-04   5.92305576E-05   2.29850990E-05  
  7                6.70660095E-05   3.91392901E+02   8.38418407E-01   1.60495598E-01   3.50845452E-25   4.72532245E-04   2.86202252E-04   2.36758260E-04   5.92305701E-05   2.29851091E-05  
  8                8.61290111E-05   3.99129470E+02   8.38418433E-01   1.60495572E-01   1.13825861E-24   4.72532208E-04   2.86202230E-04   2.36758241E-04   5.92305646E-05   2.29851054E-05  
  9                1.09872108E-04   4.03528784E+02   8.38418360E-01   1.60495636E-01   2.06676675E-24   4.72532550E-04   2.86202437E-04   2.36758413E-04   5.92306064E-05   2.29851145E-05  
  10               1.39444598E-04   4.11301485E+02   8.38416085E-01   1.60495176E-01   6.28657331E-24   4.72531441E-04   2.86201765E-04   2.36757857E-04   5.92304660E-05   2.29850487E-05  
  11               1.76264989E-04   4.16089608E+02   8.38416130E-01   1.60494991E-01   1.16717976E-23   4.72559310E-04   2.86218645E-04   2.36771820E-04   5.92339574E-05   2.29850222E-05  
  12               2.22102051E-04   4.24166287E+02   8.38416107E-01   1.60495012E-01   3.46580122E-23   4.72560387E-04   2.86219298E-04   2.36772360E-04   5.92340902E-05   2.29850252E-05  
  13               2.79140100E-04   4.29518698E+02   8.38415727E-01   1.60494995E-01   6.69725780E-23   4.72560308E-04   2.86219250E-04   2.36772320E-04   5.92340774E-05   2.29850227E-05  
