# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  1                1.00000000E-05   4.78435697E+01   8.38143181E-01   1.60477099E-01   7.64408331E-04   5.16171612E-04   2.90560854E-06   5.26945892E-05   3.16323001E-109  2.29819245E-05  
  2                1.95219617E-04   6.25293608E+01   8.38143181E-01   1.60477099E-01   7.64408348E-04   5.16171623E-04   2.90560860E-06   5.26945908E-05   7.15927500E-110  2.29819245E-05  
  3                4.13541394E-04   7.10636692E+01   8.38143181E-01   1.60477099E-01   7.64408359E-04   5.16171631E-04   2.90560865E-06   5.26945919E-05   4.91893721E-110  2.29819245E-05  
  4                6.68097941E-04   7.84372565E+01   8.38143181E-01   1.60477099E-01   7.64408365E-04   5.16171635E-04   2.90560867E-06   5.26945926E-05   3.86999769E-110  2.29819245E-05  
  5                9.57859493E-04   8.32466803E+01   8.38143181E-01   1.60477099E-01   7.64408369E-04   5.16171638E-04   2.90560869E-06   5.26945931E-05   3.23206338E-110  2.29819245E-05  
  6                1.28792626E-03   8.91926989E+01   8.38143181E-01   1.60477099E-01   7.64408373E-04   5.16171640E-04   2.90560870E-06   5.26945934E-05   2.78731000E-110  2.29819245E-05  
  7                1.66630967E-03   9.32729367E+01   8.38143181E-01   1.60477099E-01   7.64408374E-04   5.16171641E-04   2.90560871E-06   5.26945935E-05   2.45048989E-110  2.29819245E-05  
  8                2.10195094E-03   9.89314655E+01   8.38143181E-01   1.60477099E-01   7.64408374E-04   5.16171641E-04   2.90560871E-06   5.26945936E-05   2.18182285E-110  2.29819245E-05  
  9                2.60478404E-03   1.02890739E+02   8.38140702E-01   1.60476624E-01   7.64408376E-04   5.16171643E-04   2.90560872E-06   5.26945938E-05   2.95462405E-107  2.29818565E-05  
  10               3.18618512E-03   1.08776328E+02   8.38137454E-01   1.60476002E-01   7.64409834E-04   5.16172627E-04   2.90561426E-06   5.26946942E-05   2.38034465E-101  2.29817674E-05  
  11               3.85964695E-03   1.12851682E+02   8.38049789E-01   1.60459217E-01   7.64415893E-04   5.16176719E-04   2.90563729E-06   5.26951120E-05   1.23569593E-97   2.29793637E-05  
  12               4.64070533E-03   1.19062233E+02   8.38143064E-01   1.60477076E-01   7.64487490E-04   5.16225065E-04   2.90590944E-06   5.27000475E-05   1.92173291E-92   2.29819213E-05  
  13               5.54699272E-03   1.23471376E+02   8.38143044E-01   1.60477073E-01   7.64501066E-04   5.16234232E-04   2.90596105E-06   5.27009835E-05   4.36927002E-89   2.29819207E-05  
  14               6.59876820E-03   1.30241080E+02   8.38143159E-01   1.60477095E-01   7.64423514E-04   5.16181864E-04   2.90566626E-06   5.26956374E-05   2.34165588E-84   2.29819239E-05  
  15               7.81978674E-03   1.35044690E+02   8.38143042E-01   1.60477072E-01   7.64501654E-04   5.16234629E-04   2.90596328E-06   5.27010241E-05   2.66596300E-81   2.29819207E-05  
  16               9.23803186E-03   1.42314271E+02   8.38143042E-01   1.60477072E-01   7.64501105E-04   5.16234258E-04   2.90596119E-06   5.27009863E-05   4.72698665E-77   2.29819207E-05  
  17               1.08854249E-02   1.47596010E+02   8.38143028E-01   1.60477070E-01   7.64501773E-04   5.16234709E-04   2.90596373E-06   5.27010324E-05   3.07661864E-74   2.29819203E-05  
  18               1.27991130E-02   1.55530510E+02   8.38143000E-01   1.60477064E-01   7.64501787E-04   5.16234719E-04   2.90596379E-06   5.27010334E-05   2.34535857E-70   2.29819195E-05  
  19               1.50227035E-02   1.61363218E+02   8.38142767E-01   1.60477020E-01   7.64501826E-04   5.16234745E-04   2.90596394E-06   5.27010362E-05   9.33278723E-68   2.29819131E-05  
  20               1.76080187E-02   1.69810396E+02   8.38142344E-01   1.60476939E-01   7.64502063E-04   5.16234905E-04   2.90596484E-06   5.27010526E-05   2.69801645E-64   2.29819015E-05  
